"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"win",15987,3592,5642,1802,0.8987014447130249,0.8165381275856786,0.8987014447130249,0.6110028156811782,0.8556518946692356,,
"draw",475,1128,23315,2105,0.18410852713178294,0.29631940112289457,0.18410852713178294,0.9538518185165487,0.22710972985895292,,
"loss",4026,1815,18554,2628,0.6050495942290351,0.6892655367231638,0.6050495942290351,0.9108940055967402,0.6444177671068427,,
"Overall",,,,,,,,,,0.7581689671761093,0.47899296599382235
"win",16241,3218,6016,1548,0.9129799314182923,0.8346266509070353,0.9129799314182923,0.6515053064760667,0.8720468213058419,,
"draw",495,930,23513,2085,0.19186046511627908,0.3473684210526316,0.19186046511627908,0.9619522971811971,0.24719101123595505,,
"loss",4434,1705,18664,2220,0.6663660955816051,0.7222674702720313,0.6663660955816051,0.9162943688939074,0.6931915891503166,,
"Overall",,,,,,,,,,0.7834067276024128,0.5342055417369933
"win",16346,2936,6298,1443,0.9188824554499971,0.8477336375894616,0.9188824554499971,0.6820446177171323,0.8818753203312562,,
"draw",578,1024,23419,2002,0.224031007751938,0.36079900124843944,0.224031007751938,0.9581066153909095,0.2764227642276423,,
"loss",4539,1600,18769,2115,0.6821460775473399,0.7393712330998534,0.6821460775473399,0.9214492611321126,0.7096068162276243,,
"Overall",,,,,,,,,,0.7942493431521297,0.5610034233012415
"win",16415,2744,6490,1374,0.9227612569565462,0.8567774936061381,0.9227612569565462,0.7028373402642408,0.8885460647396342,,
"draw",611,976,23467,1969,0.23682170542635658,0.38500315059861373,0.23682170542635658,0.9600703677944605,0.2932565394768419,,
"loss",4712,1565,18804,1942,0.7081454764051698,0.7506770750358451,0.7081454764051698,0.9231675585448476,0.728791276776738,,
"Overall",,,,,,,,,,0.8044258594530586,0.5843056581491999
"win",16425,2678,6556,1364,0.9233234021024228,0.8598125948803853,0.9233234021024228,0.7099848386398094,0.8904369511005097,,
"draw",635,1039,23404,1945,0.24612403100775193,0.3793309438470729,0.24612403100775193,0.9574929427647998,0.29854254818993886,,
"loss",4746,1500,18869,1908,0.7132551848512173,0.7598463016330451,0.7132551848512173,0.9263586823113555,0.7358139534883721,,
"Overall",,,,,,,,,,0.8069422343929246,0.5908190260170433
"win",16541,2565,6669,1248,0.9298442857945922,0.8657489793782058,0.9298442857945922,0.7222222222222222,0.8966526629624609,,
"draw",679,941,23502,1901,0.2631782945736434,0.4191358024691358,0.2631782945736434,0.9615022705887166,0.3233333333333333,,
"loss",4865,1432,18937,1789,0.7311391644123836,0.772590122280451,0.7311391644123836,0.9296970887132407,0.7512933364218979,,
"Overall",,,,,,,,,,0.8172667727491396,0.6124165609181205
"win",16575,2472,6762,1214,0.9317555792905728,0.8702157820129154,0.9317555792905728,0.7322936972059779,0.8999348463459659,,
"draw",726,908,23535,1854,0.2813953488372093,0.44430844553243576,0.2813953488372093,0.962852350366158,0.3445657332700522,,
"loss",4965,1377,18992,1689,0.7461677186654644,0.7828760643330179,0.7461677186654644,0.9323972703618243,0.7640812557710065,,
"Overall",,,,,,,,,,0.8239647707508418,0.6273959727856045
"win",16615,2369,6865,1174,0.9340041598740795,0.8752107037505268,0.9340041598740795,0.7434481264890621,0.9036521360781007,,
"draw",749,943,23500,1831,0.29031007751937987,0.4426713947990544,0.29031007751937987,0.9614204475719019,0.35065543071161054,,
"loss",5016,1331,19038,1638,0.7538322813345356,0.7902946273830156,0.7538322813345356,0.9346556041042761,0.7716329513114376,,
"Overall",,,,,,,,,,0.8281833993264996,0.6373111898956534
"win",16613,2306,6928,1176,0.9338917308449042,0.8781119509487817,0.9338917308449042,0.7502707385748322,0.9051432930151466,,
"draw",762,932,23511,1818,0.29534883720930233,0.4498229043683589,0.29534883720930233,0.9618704741643824,0.35657463734206835,,
"loss",5085,1325,19044,1569,0.7642019837691614,0.7932917316692668,0.7642019837691614,0.9349501693750307,0.7784751990202082,,
"Overall",,,,,,,,,,0.8311438404322244,0.6443129547912307
"win",16664,2241,6993,1125,0.9367586710888751,0.881459931235123,0.9367586710888751,0.7573099415204678,0.908268381751785,,
"draw",798,897,23546,1782,0.30930232558139537,0.47079646017699117,0.30930232558139537,0.9633023769586385,0.37333333333333335,,
"loss",5142,1281,19088,1512,0.7727682596934174,0.8005604857543204,0.7727682596934174,0.9371103146938976,0.7864189034182151,,
"Overall",,,,,,,,,,0.836472634422529,0.655696664561138
