"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"win",2654,0,1399,0,1.0,1.0,1.0,1.0,1.0,,
"draw",411,0,3642,0,1.0,1.0,1.0,1.0,1.0,,
"loss",988,0,3065,0,1.0,1.0,1.0,1.0,1.0,,
"Overall",,,,,,,,,,1.0,1.0
"win",5303,0,2803,0,1.0,1.0,1.0,1.0,1.0,,
"draw",749,0,7357,0,1.0,1.0,1.0,1.0,1.0,,
"loss",2054,0,6052,0,1.0,1.0,1.0,1.0,1.0,,
"Overall",,,,,,,,,,1.0,1.0
"win",8028,0,4132,0,1.0,1.0,1.0,1.0,1.0,,
"draw",1153,0,11007,0,1.0,1.0,1.0,1.0,1.0,,
"loss",2979,0,9181,0,1.0,1.0,1.0,1.0,1.0,,
"Overall",,,,,,,,,,1.0,1.0
"win",10737,0,5476,0,1.0,1.0,1.0,1.0,1.0,,
"draw",1530,0,14683,0,1.0,1.0,1.0,1.0,1.0,,
"loss",3946,0,12267,0,1.0,1.0,1.0,1.0,1.0,,
"Overall",,,,,,,,,,1.0,1.0
"win",13314,0,6953,0,1.0,1.0,1.0,1.0,1.0,,
"draw",1964,0,18303,0,1.0,1.0,1.0,1.0,1.0,,
"loss",4989,0,15278,0,1.0,1.0,1.0,1.0,1.0,,
"Overall",,,,,,,,,,1.0,1.0
"win",16076,0,8244,0,1.0,1.0,1.0,1.0,1.0,,
"draw",2312,0,22008,0,1.0,1.0,1.0,1.0,1.0,,
"loss",5932,0,18388,0,1.0,1.0,1.0,1.0,1.0,,
"Overall",,,,,,,,,,1.0,1.0
"win",18714,0,9659,0,1.0,1.0,1.0,1.0,1.0,,
"draw",2668,0,25705,0,1.0,1.0,1.0,1.0,1.0,,
"loss",6991,0,21382,0,1.0,1.0,1.0,1.0,1.0,,
"Overall",,,,,,,,,,1.0,1.0
"win",21353,0,11074,0,1.0,1.0,1.0,1.0,1.0,,
"draw",3129,0,29298,0,1.0,1.0,1.0,1.0,1.0,,
"loss",7945,0,24482,0,1.0,1.0,1.0,1.0,1.0,,
"Overall",,,,,,,,,,1.0,1.0
"win",24039,0,12441,0,1.0,1.0,1.0,1.0,1.0,,
"draw",3477,0,33003,0,1.0,1.0,1.0,1.0,1.0,,
"loss",8964,0,27516,0,1.0,1.0,1.0,1.0,1.0,,
"Overall",,,,,,,,,,1.0,1.0
"win",26684,0,13850,0,1.0,1.0,1.0,1.0,1.0,,
"draw",3869,0,36665,0,1.0,1.0,1.0,1.0,1.0,,
"loss",9981,0,30553,0,1.0,1.0,1.0,1.0,1.0,,
"Overall",,,,,,,,,,1.0,1.0
