"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"win",15441,3674,5560,2348,0.868008319748159,0.8077949254512163,0.868008319748159,0.602122590426684,0.8368198569260785,,
"draw",493,1298,23145,2087,0.19108527131782946,0.2752652149637074,0.19108527131782946,0.9468968620873052,0.22557767101349807,,
"loss",3871,2246,18123,2783,0.5817553351367598,0.6328265489619095,0.5817553351367598,0.8897344003142029,0.6062172108683737,,
"Overall",,,,,,,,,,0.7328942012359841,0.4344392183939657
"win",15815,3366,5868,1974,0.8890325482039463,0.824513841822637,0.8890325482039463,0.6354775828460039,0.8555585609954017,,
"draw",550,1197,23246,2030,0.2131782945736434,0.31482541499713795,0.2131782945736434,0.9510289244364439,0.2542177027963947,,
"loss",4128,1967,18402,2526,0.6203787195671776,0.6772764561115668,0.6203787195671776,0.9034316854042909,0.6475802023688132,,
"Overall",,,,,,,,,,0.758353994745217,0.48698710139971313
"win",16013,3057,6177,1776,0.9001630220923043,0.8396958573675931,0.9001630220923043,0.6689408706952567,0.8688786999104697,,
"draw",584,1102,23341,1996,0.22635658914728682,0.34638196915776986,0.22635658914728682,0.9549155177351389,0.273792780121894,,
"loss",4389,1878,18491,2265,0.6596032461677187,0.7003350885591192,0.6596032461677187,0.9078010702538171,0.6793591827257952,,
"Overall",,,,,,,,,,0.7765977130592459,0.5270760760448844
"win",16040,2848,6386,1749,0.9016808139861713,0.8492164337145277,0.9016808139861713,0.6915746155512238,0.8746625950868392,,
"draw",669,1163,23280,1911,0.2593023255813954,0.365174672489083,0.2593023255813954,0.9524199157222927,0.3032638259292838,,
"loss",4519,1784,18585,2135,0.6791403666967237,0.716960177693162,0.6791403666967237,0.9124159261623055,0.6975380103419001,,
"Overall",,,,,,,,,,0.7855530474040632,0.5494575125653749
"win",15997,2767,6467,1792,0.8992635898589015,0.8525367725431677,0.8992635898589015,0.7003465453757851,0.875276995048286,,
"draw",659,1220,23223,1921,0.2554263565891473,0.35071846726982436,0.2554263565891473,0.9500879597430757,0.2955819690513568,,
"loss",4567,1813,18556,2087,0.6863540727382026,0.7158307210031348,0.6863540727382026,0.910992194020325,0.7007825686665644,,
"Overall",,,,,,,,,,0.7853680198349554,0.5510993198261124
"win",16149,2663,6571,1640,0.9078081960762269,0.8584414203699766,0.9078081960762269,0.7116092700888023,0.8824349061501052,,
"draw",675,1116,23327,1905,0.2616279069767442,0.3768844221105528,0.2616279069767442,0.9543427566174365,0.30885380919698013,,
"loss",4696,1724,18645,1958,0.7057409077246769,0.7314641744548287,0.7057409077246769,0.9153615788698513,0.7183723420529295,,
"Overall",,,,,,,,,,0.7963586574399586,0.5729940108121659
"win",16127,2504,6730,1662,0.9065714767552983,0.865600343513499,0.9065714767552983,0.7288282434481265,0.885612300933553,,
"draw",766,1242,23201,1814,0.29689922480620157,0.38147410358565736,0.29689922480620157,0.9491879065581148,0.33391455972101136,,
"loss",4730,1654,18715,1924,0.7108506161707244,0.7409147869674185,0.7108506161707244,0.9187981736953214,0.7255714066574629,,
"Overall",,,,,,,,,,0.8001702253635792,0.5844461035872575
"win",16185,2488,6746,1604,0.9098319186013829,0.8667594923151074,0.9098319186013829,0.7305609703270523,0.8877735724864242,,
"draw",754,1198,23245,1826,0.29224806201550385,0.3862704918032787,0.29224806201550385,0.9509880129280367,0.3327449249779347,,
"loss",4745,1653,18716,1909,0.7131048993086865,0.7416380118787121,0.7131048993086865,0.9188472679071138,0.7270916334661355,,
"Overall",,,,,,,,,,0.8024275617066943,0.5883245903499195
"win",16234,2447,6787,1555,0.9125864298161785,0.86901129489856,0.9125864298161785,0.7350010829542993,0.8902659720318069,,
"draw",763,1183,23260,1817,0.2957364341085271,0.3920863309352518,0.2957364341085271,0.9516016855541464,0.33716305788775963,,
"loss",4794,1602,18767,1860,0.7204688908926962,0.7495309568480301,0.7204688908926962,0.9213510727085277,0.734712643678161,,
"Overall",,,,,,,,,,0.8063871516856012,0.5964443389590506
"win",16212,2399,6835,1577,0.9113497104952498,0.8710977378969427,0.9113497104952498,0.7401992635910765,0.8907692307692308,,
"draw",787,1211,23232,1793,0.3050387596899225,0.3938938938938939,0.3050387596899225,0.9504561633187416,0.3438182612494539,,
"loss",4829,1585,18784,1825,0.7257288848812744,0.7528843155597131,0.7257288848812744,0.922185674308999,0.7390572390572391,,
"Overall",,,,,,,,,,0.8077563556969989,0.6004288083344416
