"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"win",2668,0,1385,0,1.0,1.0,1.0,1.0,1.0,,
"draw",387,0,3666,0,1.0,1.0,1.0,1.0,1.0,,
"loss",998,0,3055,0,1.0,1.0,1.0,1.0,1.0,,
"Overall",,,,,,,,,,1.0,1.0
"win",5336,0,2770,0,1.0,1.0,1.0,1.0,1.0,,
"draw",774,0,7332,0,1.0,1.0,1.0,1.0,1.0,,
"loss",1996,0,6110,0,1.0,1.0,1.0,1.0,1.0,,
"Overall",,,,,,,,,,1.0,1.0
"win",8005,0,4155,0,1.0,1.0,1.0,1.0,1.0,,
"draw",1161,0,10999,0,1.0,1.0,1.0,1.0,1.0,,
"loss",2994,0,9166,0,1.0,1.0,1.0,1.0,1.0,,
"Overall",,,,,,,,,,1.0,1.0
"win",10673,0,5540,0,1.0,1.0,1.0,1.0,1.0,,
"draw",1548,0,14665,0,1.0,1.0,1.0,1.0,1.0,,
"loss",3992,0,12221,0,1.0,1.0,1.0,1.0,1.0,,
"Overall",,,,,,,,,,1.0,1.0
"win",13342,0,6925,0,1.0,1.0,1.0,1.0,1.0,,
"draw",1935,0,18332,0,1.0,1.0,1.0,1.0,1.0,,
"loss",4990,0,15277,0,1.0,1.0,1.0,1.0,1.0,,
"Overall",,,,,,,,,,1.0,1.0
"win",16010,0,8310,0,1.0,1.0,1.0,1.0,1.0,,
"draw",2321,0,21999,0,1.0,1.0,1.0,1.0,1.0,,
"loss",5989,0,18331,0,1.0,1.0,1.0,1.0,1.0,,
"Overall",,,,,,,,,,1.0,1.0
"win",18678,0,9695,0,1.0,1.0,1.0,1.0,1.0,,
"draw",2708,0,25665,0,1.0,1.0,1.0,1.0,1.0,,
"loss",6987,0,21386,0,1.0,1.0,1.0,1.0,1.0,,
"Overall",,,,,,,,,,1.0,1.0
"win",21347,0,11080,0,1.0,1.0,1.0,1.0,1.0,,
"draw",3095,0,29332,0,1.0,1.0,1.0,1.0,1.0,,
"loss",7985,0,24442,0,1.0,1.0,1.0,1.0,1.0,,
"Overall",,,,,,,,,,1.0,1.0
"win",24015,0,12465,0,1.0,1.0,1.0,1.0,1.0,,
"draw",3482,0,32998,0,1.0,1.0,1.0,1.0,1.0,,
"loss",8983,0,27497,0,1.0,1.0,1.0,1.0,1.0,,
"Overall",,,,,,,,,,1.0,1.0
"win",26684,0,13850,0,1.0,1.0,1.0,1.0,1.0,,
"draw",3869,0,36665,0,1.0,1.0,1.0,1.0,1.0,,
"loss",9981,0,30553,0,1.0,1.0,1.0,1.0,1.0,,
"Overall",,,,,,,,,,1.0,1.0
