"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"win",15303,4527,4707,2486,0.860250716735061,0.7717095310136157,0.860250716735061,0.5097465886939572,0.8135782450357533,,
"draw",257,942,23501,2323,0.0996124031007752,0.21434528773978315,0.0996124031007752,0.9614613590803093,0.1360148187351151,,
"loss",3284,2710,17659,3370,0.4935377216711752,0.5478812145478812,0.4935377216711752,0.8669546860425156,0.519291587602783,,
"Overall",,,,,,,,,,0.6973319024534655,0.3392673760628794
"win",15628,3658,5576,2161,0.8785204339760526,0.8103287358705797,0.8785204339760526,0.6038553173056097,0.8430478759271746,,
"draw",358,961,23482,2222,0.1387596899224806,0.2714177407126611,0.1387596899224806,0.9606840404205703,0.18363682995639907,,
"loss",4020,2398,17971,2634,0.6041478809738503,0.6263633530694921,0.6041478809738503,0.8822720801217536,0.6150550795593636,,
"Overall",,,,,,,,,,0.7403323095141175,0.44401893401021797
"win",15655,3497,5737,2134,0.8800382258699196,0.8174081035923141,0.8800382258699196,0.6212908815247996,0.8475677431580088,,
"draw",424,1039,23404,2156,0.16434108527131783,0.2898154477101845,0.16434108527131783,0.9574929427647998,0.2097452386841454,,
"loss",4107,2301,18068,2547,0.6172227231740307,0.6409176029962547,0.6172227231740307,0.8870342186656194,0.6288470372071657,,
"Overall",,,,,,,,,,0.7469933020019983,0.46156274896142757
"win",15972,3573,5661,1817,0.8978582269942099,0.8171910974673829,0.8978582269942099,0.6130604288499025,0.855627578078963,,
"draw",391,929,23514,2189,0.15155038759689923,0.2962121212121212,0.15155038759689923,0.9619932086896044,0.20051282051282052,,
"loss",4107,2051,18318,2547,0.6172227231740307,0.6669373173108152,0.6172227231740307,0.8993077716137268,0.6411177021542305,,
"Overall",,,,,,,,,,0.7575028679273211,0.47636162044480135
"win",15971,3429,5805,1818,0.8978020124796222,0.8232474226804124,0.8978020124796222,0.6286549707602339,0.85890989271021,,
"draw",481,1010,23433,2099,0.18643410852713177,0.3226022803487592,0.18643410852713177,0.9586793765086119,0.23630557602554653,,
"loss",4190,1942,18427,2464,0.6296964232040878,0.6833007175472929,0.6296964232040878,0.9046590406991015,0.6554043485061787,,
"Overall",,,,,,,,,,0.7638678163046294,0.4935669977076734
"win",16097,3050,6184,1692,0.9048850413176682,0.8407061158406016,0.9048850413176682,0.6696989387047867,0.8716157678145983,,
"draw",529,1043,23400,2051,0.20503875968992247,0.33651399491094147,0.20503875968992247,0.9573292967311705,0.2548169556840077,,
"loss",4388,1916,18453,2266,0.6594529606251879,0.6960659898477157,0.6594529606251879,0.9059354902057047,0.6772650100324125,,
"Overall",,,,,,,,,,0.7776338674462495,0.5274588044947943
"win",16073,2999,6235,1716,0.9035358929675642,0.8427537751677853,0.9035358929675642,0.6752220056313624,0.8720870296519356,,
"draw",550,1065,23378,2030,0.2131782945736434,0.34055727554179566,0.2131782945736434,0.9564292435462095,0.26221692491060783,,
"loss",4423,1913,18456,2231,0.6647129546137661,0.6980744949494949,0.6647129546137661,0.9060827728410821,0.6809853733641262,,
"Overall",,,,,,,,,,0.7788180438885394,0.5313531029560662
"win",16195,2885,6349,1594,0.9103940637472595,0.8487945492662474,0.9103940637472595,0.687567684643708,0.878515826303941,,
"draw",606,1045,23398,1974,0.23488372093023255,0.3670502725620836,0.23488372093023255,0.9572474737143558,0.28645710233987237,,
"loss",4516,1776,18593,2138,0.6786895100691314,0.7177368086458995,0.6786895100691314,0.9128086798566449,0.6976672331221999,,
"Overall",,,,,,,,,,0.788846538134182,0.5526765142704002
"win",16232,3179,6055,1557,0.9124740007870032,0.8362268816650353,0.9124740007870032,0.6557288282434481,0.8726881720430109,,
"draw",486,926,23517,2094,0.1883720930232558,0.34419263456090654,0.1883720930232558,0.9621159432148263,0.2434869739478958,,
"loss",4419,1781,18588,2235,0.6641118124436429,0.712741935483871,0.6641118124436429,0.9125632087976827,0.6875680721954257,,
"Overall",,,,,,,,,,0.7821855456463013,0.5322426382655885
"win",16236,2757,6477,1553,0.9126988588453538,0.854841257305323,0.9126988588453538,0.7014294996751137,0.8828231200043499,,
"draw",627,1007,23436,1953,0.24302325581395348,0.38372093023255816,0.24302325581395348,0.9588021110338338,0.2975794969150451,,
"loss",4621,1775,18594,2033,0.6944694920348663,0.7224828017510945,0.6944694920348663,0.9128577740684374,0.7081992337164751,,
"Overall",,,,,,,,,,0.7950264589423824,0.5668986887169202
