"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"win",23203,6476,7374,3481,0.8695472942587318,0.7817985781192088,0.8695472942587318,0.5324187725631769,0.8233415538562532,,
"draw",521,1353,35312,3348,0.134660118893771,0.27801494130202775,0.134660118893771,0.9630983226510296,0.18143827267978407,,
"loss",5228,3753,26800,4753,0.5237952109007113,0.5821178042534239,0.5237952109007113,0.8771642719209243,0.5514186267271385,,
"Overall",,,,,,,,,,0.7142645680169734,0.377500454800191
"win",23818,5092,8758,2866,0.8925948133713086,0.8238671739882394,0.8925948133713086,0.632346570397112,0.8568550563010396,,
"draw",805,1211,35454,3064,0.2080640992504523,0.3993055555555556,0.2080640992504523,0.9669712259648165,0.2735768903993203,,
"loss",6405,3203,27350,3576,0.6417192666065524,0.666631973355537,0.6417192666065524,0.895165777501391,0.6539384348358773,,
"Overall",,,,,,,,,,0.7654808309073864,0.49820345116177256
"win",23982,4618,9232,2702,0.8987408184679958,0.8385314685314685,0.8987408184679958,0.6665703971119133,0.8675927935749946,,
"draw",967,1274,35391,2902,0.24993538382010855,0.4315037929495761,0.24993538382010855,0.9652529660439111,0.31653027823240587,,
"loss",6776,2917,27636,3205,0.6788898907925057,0.6990611781698133,0.6788898907925057,0.9045265604032338,0.6888278946833385,,
"Overall",,,,,,,,,,0.7826762717718458,0.5389310557342579
"win",24488,4704,9146,2196,0.9177034927297256,0.8388599616333242,0.9177034927297256,0.660361010830325,0.8765122771851958,,
"draw",960,1066,35599,2909,0.2481261307831481,0.4738400789733465,0.2481261307831481,0.9709259511795991,0.32569974554707376,,
"loss",6805,2511,28042,3176,0.6817954112814347,0.730463718334049,0.6817954112814347,0.9178149445226328,0.7052909778722081,,
"Overall",,,,,,,,,,0.7957023733162284,0.5602051962086665
"win",24716,4381,9469,1968,0.9262479388397542,0.8494346496202357,0.9262479388397542,0.683682310469314,0.886179882038687,,
"draw",1156,989,35676,2713,0.29878521581804085,0.5389277389277389,0.29878521581804085,0.9730260466384836,0.3844363152643831,,
"loss",7032,2260,28293,2949,0.7045386233844304,0.7567800258286699,0.7045386233844304,0.9260301770693549,0.7297255227520365,,
"Overall",,,,,,,,,,0.8117629644249272,0.5960040152188273
"win",24823,3735,10115,1861,0.9302578324089342,0.8692135303592688,0.9302578324089342,0.7303249097472925,0.8987002642916622,,
"draw",1327,980,35685,2542,0.3429826828637891,0.5752058951018639,0.3429826828637891,0.97327151234147,0.42972797927461137,,
"loss",7440,2229,28324,2541,0.7454162909528104,0.7694694384114179,0.7454162909528104,0.9270448073838903,0.7572519083969466,,
"Overall",,,,,,,,,,0.8286870281738787,0.6370642224869674
"win",25065,3386,10464,1619,0.9393269374906311,0.880988365962532,0.9393269374906311,0.7555234657039711,0.9092228167225901,,
"draw",1504,896,35769,2365,0.388730938226932,0.6266666666666667,0.388730938226932,0.9755625255693441,0.47982134311692454,,
"loss",7690,1993,28560,2291,0.7704638813746117,0.7941753588763812,0.7704638813746117,0.9347690897784179,0.782139951179821,,
"Overall",,,,,,,,,,0.8451916909261361,0.6730234160255315
"win",25280,3169,10681,1404,0.9473842002698246,0.8886076839256213,0.9473842002698246,0.7711913357400721,0.9170551212522445,,
"draw",1639,844,35821,2230,0.42362367536831225,0.6600886024969794,0.42362367536831225,0.976980771853266,0.5160579345088162,,
"loss",7901,1701,28852,2080,0.7916040476906122,0.8228494063736721,0.7916040476906122,0.9443262527411384,0.8069243731808201,,
"Overall",,,,,,,,,,0.8590319238170425,0.7024627196262432
"win",25416,3471,10379,1268,0.9524808874231749,0.879842143524769,0.9524808874231749,0.7493862815884477,0.9147217073653524,,
"draw",1427,618,36047,2442,0.36882915482036704,0.697799511002445,0.36882915482036704,0.9831446883949271,0.48258369969563747,,
"loss",7920,1682,28871,2061,0.7935076645626691,0.8248281607998333,0.7935076645626691,0.944948122933918,0.8088648317418169,,
"Overall",,,,,,,,,,0.857625696945774,0.6955867696467528
"win",25505,2879,10971,1179,0.9558162194573527,0.8985696166854565,0.9558162194573527,0.792129963898917,0.9263092903319532,,
"draw",1786,655,36010,2083,0.46161798914448177,0.731667349446948,0.46161798914448177,0.9821355516159825,0.5660855784469098,,
"loss",8198,1511,29042,1783,0.8213605851117123,0.8443712019775466,0.8213605851117123,0.950544954668936,0.8327069578466227,,
"Overall",,,,,,,,,,0.8755365865692999,0.7375781061898082
