"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"win",15575,4495,4739,2214,0.8755410647029063,0.7760338814150474,0.8755410647029063,0.5132120424518085,0.8227898254047915,,
"draw",299,906,23537,2281,0.11589147286821705,0.24813278008298756,0.11589147286821705,0.9629341733829726,0.15799207397622195,,
"loss",3408,2340,18029,3246,0.5121731289449954,0.592901878914405,0.5121731289449954,0.8851195444057146,0.5495887760038703,,
"Overall",,,,,,,,,,0.7135403175073086,0.36966105532184124
"win",15896,4168,5066,1893,0.8935859238855473,0.7922647527910686,0.8935859238855473,0.5486246480398527,0.8398805907061527,,
"draw",326,755,23688,2254,0.1263565891472868,0.301572617946346,0.1263565891472868,0.9691118111524772,0.17809341709915322,,
"loss",3734,2144,18225,2920,0.5611662158100391,0.6352500850629466,0.5611662158100391,0.8947420099170308,0.5959144589849984,,
"Overall",,,,,,,,,,0.7384820338230397,0.42378280137909985
"win",15817,3712,5522,1972,0.8891449772331216,0.8099237032106099,0.8891449772331216,0.5980073640892354,0.8476874430569699,,
"draw",451,981,23462,2129,0.1748062015503876,0.3149441340782123,0.1748062015503876,0.959865810252424,0.22482552342971085,,
"loss",3908,2154,18215,2746,0.5873159002103998,0.6446717255031342,0.5873159002103998,0.8942510677991065,0.6146586977036804,,
"Overall",,,,,,,,,,0.7466232468637827,0.45389315794773966
"win",16027,3715,5519,1762,0.9009500252965316,0.811822510383953,0.9009500252965316,0.5976824777994368,0.8540673043617276,,
"draw",405,817,23626,2175,0.1569767441860465,0.3314238952536825,0.1569767441860465,0.9665752976312236,0.2130457653866386,,
"loss",4024,2035,18334,2630,0.6047490231439735,0.6641359960389503,0.6047490231439735,0.9000932790024057,0.6330527806182648,,
"Overall",,,,,,,,,,0.7569847907338193,0.47118842180041165
"win",16168,3420,5814,1621,0.9088762718533926,0.8254033081478456,0.9088762718533926,0.6296296296296297,0.8651309628916178,,
"draw",465,822,23621,2115,0.18023255813953487,0.3613053613053613,0.18023255813953487,0.9663707400891871,0.24049650892164467,,
"loss",4240,1908,18461,2414,0.6372107003306282,0.6896551724137931,0.6372107003306282,0.9063282439000442,0.6623965005467897,,
"Overall",,,,,,,,,,0.7724160899974096,0.5076718346650898
"win",16046,3338,5896,1743,0.9020181010736972,0.8277961205117623,0.9020181010736972,0.6385098548841239,0.8633147714739192,,
"draw",518,963,23480,2062,0.2007751937984496,0.349763673193788,0.2007751937984496,0.9606022174037557,0.2551095789214479,,
"loss",4231,1927,18442,2423,0.6358581304478509,0.6870737252354661,0.6358581304478509,0.905395453875988,0.6604745551045894,,
"Overall",,,,,,,,,,0.769529659919328,0.5059093753694412
"win",16170,3061,6173,1619,0.9089887008825679,0.8408299100410795,0.9089887008825679,0.6685076889755253,0.873581847649919,,
"draw",503,866,23577,2077,0.19496124031007753,0.36742147552958365,0.19496124031007753,0.9645706337192652,0.2547480374778425,,
"loss",4522,1901,18468,2132,0.6795912233243162,0.7040323836213608,0.6795912233243162,0.9066719033825912,0.6915959317886367,,
"Overall",,,,,,,,,,0.7843318654479517,0.5393298527440161
"win",16163,2884,6350,1626,0.9085951992804542,0.848585079015068,0.9085951992804542,0.687675980073641,0.8775654251275926,,
"draw",573,895,23548,2007,0.22209302325581395,0.39032697547683926,0.22209302325581395,0.9633841999754531,0.283102766798419,,
"loss",4633,1875,18494,2021,0.696272918545236,0.7118930547019053,0.696272918545236,0.9079483528891944,0.7039963531378209,,
"Overall",,,,,,,,,,0.7907708248529031,0.5562663587673153
"win",16196,2933,6301,1593,0.9104502782618472,0.8466725913534424,0.9104502782618472,0.6823695040069309,0.8774039763800856,,
"draw",580,890,23553,2000,0.2248062015503876,0.3945578231292517,0.2248062015503876,0.9635887575174896,0.28641975308641976,,
"loss",4606,1818,18551,2048,0.6922152088969041,0.7169987546699875,0.6922152088969041,0.9107467229613628,0.7043890503135035,,
"Overall",,,,,,,,,,0.7912518965325833,0.5561200495772434
"win",16273,2854,6380,1516,0.9147787958850976,0.8507868458200449,0.9147787958850976,0.6909248429716266,0.8816231444360171,,
"draw",592,855,23588,1988,0.22945736434108527,0.4091223220456116,0.22945736434108527,0.9650206603117457,0.29401539607648375,,
"loss",4651,1798,18571,2003,0.6989780583107905,0.7211970848193519,0.6989780583107905,0.9117286071972115,0.7099137602075861,,
"Overall",,,,,,,,,,0.7962106353846723,0.5665741102699999
