"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"win",22943,7522,6328,3741,0.8598036276420327,0.7530937140981454,0.8598036276420327,0.45689530685920576,0.802918686241229,,
"draw",800,1653,35012,3069,0.20677177565262342,0.3261312678353037,0.20677177565262342,0.9549161325514796,0.2530844669408415,,
"loss",4160,3456,27097,5821,0.4167919046187757,0.5462184873949579,0.4167919046187757,0.8868850849343763,0.47280786497698474,,
"Overall",,,,,,,,,,0.6883850594562589,0.31237604517262363
"win",24106,6425,7425,2578,0.9033877979313446,0.7895581540074023,0.9033877979313446,0.5361010830324909,0.8426461592239797,,
"draw",1168,1165,35500,2701,0.3018867924528302,0.5006429489927132,0.3018867924528302,0.9682258284467475,0.3766526926797807,,
"loss",5156,2514,28039,4825,0.5165815048592325,0.6722294654498044,0.5165815048592325,0.9177167544921939,0.5842161917171832,,
"Overall",,,,,,,,,,0.7507277840824986,0.44858480101467646
"win",24923,5555,8295,1761,0.93400539649228,0.8177373843428046,0.93400539649228,0.5989169675090252,0.872012875686645,,
"draw",1397,769,35896,2472,0.36107521323339364,0.6449676823638042,0.36107521323339364,0.9790263193781535,0.46296603148301574,,
"loss",6004,1886,28667,3977,0.601542931569983,0.7609632446134347,0.601542931569983,0.9382712008640722,0.6719265849700632,,
"Overall",,,,,,,,,,0.797453989243598,0.5518661422855642
"win",25463,4686,9164,1221,0.9542422425423475,0.8445719592689641,0.9542422425423475,0.6616606498194946,0.8960639065331761,,
"draw",1722,478,36187,2147,0.4450762470922719,0.7827272727272727,0.4450762470922719,0.986963043774717,0.5674740484429066,,
"loss",6772,1413,29140,3209,0.6784891293457569,0.8273671350030544,0.6784891293457569,0.9537524956632737,0.7455686447209071,,
"Overall",,,,,,,,,,0.8377411555730991,0.6437377185019937
"win",25785,3914,9936,899,0.966309398890721,0.8682110508771339,0.966309398890721,0.7174007220216606,0.9146373907028714,,
"draw",2136,350,36315,1733,0.5520806409925045,0.8592115848753017,0.5520806409925045,0.990454111550525,0.6722265932336743,,
"loss",7303,1046,29507,2678,0.7316902114016631,0.8747155347945862,0.7316902114016631,0.965764409386967,0.79683578832515,,
"Overall",,,,,,,,,,0.8689988651502443,0.7158859292266451
"win",26117,3061,10789,567,0.9787513116474291,0.8950921927479608,0.9787513116474291,0.7789891696750902,0.9350542408077048,,
"draw",2446,240,36425,1423,0.6322047040578961,0.9106478034251675,0.6322047040578961,0.99345424792036,0.7463005339435546,,
"loss",7916,754,29799,2065,0.7931069031159202,0.913033448673587,0.7931069031159202,0.9753215723496874,0.8488552892606295,,
"Overall",,,,,,,,,,0.899960526965017,0.7858409338468675
"win",26326,2265,11585,358,0.9865837205816219,0.9207792662026512,0.9865837205816219,0.8364620938628159,0.9525463591135234,,
"draw",2838,155,36510,1031,0.7335228741276816,0.9482124958235884,0.7335228741276816,0.9957725351152326,0.8271640921014282,,
"loss",8451,499,30054,1530,0.8467087466185753,0.9442458100558659,0.8467087466185753,0.9836677249369947,0.8928212983994506,,
"Overall",,,,,,,,,,0.9279863818029309,0.8481483070297946
"win",26454,1490,12360,230,0.9913806026083046,0.9466790724305755,0.9913806026083046,0.8924187725631769,0.968514315003295,,
"draw",3186,101,36564,683,0.8234685965365728,0.9692728932156982,0.8234685965365728,0.9972453293331515,0.8904415874790386,,
"loss",8980,323,30230,1001,0.8997094479511071,0.9652800171987531,0.8997094479511071,0.9894282067227441,0.9313420452188342,,
"Overall",,,,,,,,,,0.9527803819016135,0.9020152211731727
"win",26581,793,13057,103,0.9961400089941538,0.9710309052385475,0.9961400089941538,0.9427436823104693,0.9834252099596729,,
"draw",3484,32,36633,385,0.900491082967175,0.9908987485779295,0.900491082967175,0.999127233056048,0.9435341909275557,,
"loss",9493,151,30402,488,0.9511071034966436,0.9843425964330154,0.9511071034966436,0.9950577684679083,0.96743949044586,,
"Overall",,,,,,,,,,0.9759214486603839,0.9507146837188558
"win",26684,4,13846,0,1.0,0.9998501199040767,1.0,0.99971119133574,0.9999250543356066,,
"draw",3868,0,36665,1,0.9997415352804342,1.0,0.9997415352804342,1.0,0.9998707509370557,,
"loss",9978,0,30553,3,0.9996994289149383,1.0,0.9996994289149383,1.0,0.9998496918683301,,
"Overall",,,,,,,,,,0.9999013174125425,0.9998013786124599
