"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"win",14557,4078,5156,3232,0.8183146888526618,0.7811644754494231,0.8183146888526618,0.5583712367338098,0.799308148473534,,
"draw",188,830,23613,2392,0.07286821705426356,0.18467583497053044,0.07286821705426356,0.9660434480219285,0.10450250138966091,,
"loss",3793,3577,16792,2861,0.5700330628193567,0.5146540027137042,0.5700330628193567,0.8243900044184791,0.5409298345693098,,
"Overall",,,,,,,,,,0.6860082152240684,0.3393701332242536
"win",15433,4216,5018,2356,0.8675586036314576,0.7854343732505471,0.8675586036314576,0.5434264674030755,0.8244564346386025,,
"draw",103,252,24191,2477,0.03992248062015504,0.29014084507042254,0.03992248062015504,0.9896902998813566,0.07018739352640546,,
"loss",3907,3112,17257,2747,0.587165614667869,0.5566319988602365,0.587165614667869,0.8472188129019589,0.5714912601477365,,
"Overall",,,,,,,,,,0.7194982052325797,0.38504094235178354
"win",15698,4001,5233,2091,0.8824554499971893,0.7968932433118432,0.8824554499971893,0.5667099848386398,0.8374946649594537,,
"draw",108,277,24166,2472,0.04186046511627907,0.2805194805194805,0.04186046511627907,0.9886675121711738,0.07284991568296796,,
"loss",4178,2761,17608,2476,0.6278929966937181,0.6021040495748667,0.6278929966937181,0.8644508812411017,0.6147281689104687,,
"Overall",,,,,,,,,,0.7395181882100433,0.4281858552965617
"win",15662,3364,5870,2127,0.8804317274720332,0.8231893198780617,0.8804317274720332,0.6356941737058696,0.8508488387885372,,
"draw",24,62,24381,2556,0.009302325581395349,0.27906976744186046,0.009302325581395349,0.9974634864787465,0.01800450112528132,,
"loss",4697,3214,17155,1957,0.7058911932672077,0.5937302490203514,0.7058911932672077,0.842211203299131,0.6449708204600069,,
"Overall",,,,,,,,,,0.7542833882248455,0.470586470036361
"win",16316,4189,5045,1473,0.9171960200123672,0.795708363813704,0.9171960200123672,0.5463504440112628,0.8521439389982765,,
"draw",62,113,24330,2518,0.024031007751937984,0.35428571428571426,0.024031007751937984,0.9953769995499734,0.04500907441016333,,
"loss",4150,2193,18176,2504,0.6236850015028554,0.6542645435913605,0.6236850015028554,0.8923363935392017,0.6386089097484036,,
"Overall",,,,,,,,,,0.7596491877289716,0.45631095079480855
"win",15741,3516,5718,2048,0.8848726741244589,0.8174170431531391,0.8848726741244589,0.6192332683560754,0.8498083463801759,,
"draw",51,108,24335,2529,0.019767441860465116,0.32075471698113206,0.019767441860465116,0.99558155709201,0.03723986856516977,,
"loss",4620,2987,17382,2034,0.6943192064923355,0.6073353490206389,0.6943192064923355,0.8533555893760125,0.6479209031624711,,
"Overall",,,,,,,,,,0.7553565481256708,0.46933701005771056
"win",15577,2935,6299,2212,0.8756534937320817,0.8414541918755402,0.8756534937320817,0.6821529131470652,0.8582132723616429,,
"draw",15,59,24384,2565,0.005813953488372093,0.20270270270270271,0.005813953488372093,0.9975862210039684,0.011303692539562924,,
"loss",5064,3373,16996,1590,0.7610459873760145,0.6002133459760578,0.7610459873760145,0.8344052236241347,0.6711284871777882,,
"Overall",,,,,,,,,,0.7643858934981312,0.5007123598001186
"win",16332,3832,5402,1457,0.9180954522457698,0.8099583415988891,0.9180954522457698,0.5850119124972926,0.8606434273970438,,
"draw",74,139,24304,2506,0.02868217054263566,0.3474178403755869,0.02868217054263566,0.9943133003313832,0.05298961689939133,,
"loss",4371,2275,18094,2283,0.6568981064021641,0.6576888353897081,0.6568981064021641,0.8883106681722225,0.6572932330827067,,
"Overall",,,,,,,,,,0.76886356067054,0.48347751589314525
"win",16671,4009,5225,1118,0.9371521726909888,0.8061411992263056,0.9371521726909888,0.565843621399177,0.8667238555720191,,
"draw",42,73,24370,2538,0.01627906976744186,0.3652173913043478,0.01627906976744186,0.997013459886266,0.031168831168831165,,
"loss",4330,1898,18471,2324,0.650736399158401,0.695247270391779,0.650736399158401,0.9068191860179685,0.6722558608911658,,
"Overall",,,,,,,,,,0.7787070273470748,0.4959971034612405
"win",16472,3679,5555,1317,0.9259654842880432,0.8174284154632524,0.9259654842880432,0.6015811132770197,0.8683183974696891,,
"draw",35,72,24371,2545,0.013565891472868217,0.32710280373831774,0.013565891472868217,0.9970543713946733,0.02605135839225902,,
"loss",4536,2229,18140,2118,0.6816952209197475,0.670509977827051,0.6816952209197475,0.8905690019146743,0.676056338028169,,
"Overall",,,,,,,,,,0.7787070273470748,0.5050399401481265
