"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"win",2515,326,1081,131,0.9504913076341648,0.8852516719464977,0.9504913076341648,0.7683013503909026,0.9167122289046837,,
"draw",103,62,3585,303,0.2536945812807882,0.6242424242424243,0.2536945812807882,0.9829997258020291,0.3607705779334501,,
"loss",841,206,2846,160,0.8401598401598401,0.8032473734479465,0.8401598401598401,0.9325032765399738,0.8212890624999999,,
"Overall",,,,,,,,,,0.8534418948926721,0.6911301142884855
"win",5015,851,1915,325,0.9391385767790262,0.854926696215479,0.9391385767790262,0.6923355025307303,0.895056219882206,,
"draw",73,33,7277,723,0.09170854271356783,0.6886792452830188,0.09170854271356783,0.995485636114911,0.16186252771618623,,
"loss",1568,566,5570,402,0.7959390862944162,0.7347703842549204,0.7959390862944162,0.9077574967405476,0.7641325536062378,,
"Overall",,,,,,,,,,0.8211201579077226,0.6094394845027853
"win",7535,1305,2817,503,0.9374222443393879,0.8523755656108597,0.9374222443393879,0.6834061135371179,0.892878303116483,,
"draw",86,83,10957,1034,0.07678571428571429,0.5088757396449705,0.07678571428571429,0.992481884057971,0.13343677269200932,,
"loss",2285,866,8292,717,0.7611592271818788,0.7251666137734053,0.7611592271818788,0.9054378685302468,0.7427271249796848,,
"Overall",,,,,,,,,,0.8146381578947368,0.5918970830405423
"win",9840,1608,3940,825,0.9226441631504922,0.859538784067086,0.9226441631504922,0.7101658255227109,0.8899742233075565,,
"draw",20,16,14689,1488,0.013262599469496022,0.5555555555555556,0.013262599469496022,0.998911934716083,0.02590673575129534,,
"loss",3193,1536,10637,847,0.7903465346534654,0.6751956016071051,0.7903465346534654,0.8738191078616611,0.7282472345763487,,
"Overall",,,,,,,,,,0.8050946771109604,0.5787065136732765
"win",12766,2654,4202,645,0.9519051524867645,0.8278858625162127,0.9519051524867645,0.6128938156359394,0.885574555166314,,
"draw",68,56,18270,1873,0.03503348789283874,0.5483870967741935,0.03503348789283874,0.9969442322383499,0.06585956416464891,,
"loss",3525,1198,14154,1390,0.7171922685656155,0.7463476603853483,0.7171922685656155,0.9219645648775404,0.7314795600747044,,
"Overall",,,,,,,,,,0.8071742241081561,0.561198439175213
"win",14649,2765,5591,1315,0.9176271611125031,0.8412197082806937,0.9176271611125031,0.6691000478697942,0.877763796512673,,
"draw",82,44,21951,2243,0.03526881720430108,0.6507936507936508,0.03526881720430108,0.9979995453512162,0.06691146470828234,,
"loss",4567,2213,16076,1464,0.7572541867020395,0.6735988200589971,0.7572541867020395,0.8789983049920718,0.712981031925689,,
"Overall",,,,,,,,,,0.7935032894736842,0.5514394563340015
"win",16956,2482,7175,1760,0.9059628125667878,0.872311966251672,0.9059628125667878,0.7429843636740189,0.888818996697594,,
"draw",40,42,25634,2657,0.014831294030404153,0.4878048780487805,0.014831294030404153,0.9983642311886587,0.028787333573227776,,
"loss",5808,3045,18368,1152,0.8344827586206897,0.65604879701796,0.8344827586206897,0.857796665576986,0.7345854676531969,,
"Overall",,,,,,,,,,0.803721848235999,0.5835148959459489
"win",20023,4101,6974,1329,0.9377575871112777,0.8300033161996352,0.9377575871112777,0.629706546275395,0.8805963585187792,,
"draw",86,164,29167,3010,0.027777777777777776,0.344,0.027777777777777776,0.9944086461423067,0.05140466228332337,,
"loss",5710,2343,22105,2269,0.7156285248778043,0.7090525270085682,0.7156285248778043,0.904163939790576,0.7123253493013972,,
"Overall",,,,,,,,,,0.7962192000493415,0.5454304759977557
"win",22870,4901,7599,1110,0.9537114261884904,0.8235209391091426,0.9537114261884904,0.60792,0.8838476551177754,,
"draw",86,63,32938,3393,0.024719747053751077,0.5771812080536913,0.024719747053751077,0.9980909669403958,0.047409040793825796,,
"loss",6351,2209,25250,2670,0.7040239441303625,0.7419392523364486,0.7040239441303625,0.9195527877927091,0.7224845003128377,,
"Overall",,,,,,,,,,0.8033717105263158,0.5543018296381375
"win",25229,4985,8865,1455,0.9454729425873183,0.835010260144304,0.9454729425873183,0.640072202166065,0.8868150022847904,,
"draw",74,69,36596,3795,0.019126389247867664,0.5174825174825175,0.019126389247867664,0.9981180962771035,0.03688933200398803,,
"loss",7349,2828,27725,2632,0.7362989680392746,0.72211850250565,0.7362989680392746,0.9074395313062547,0.7291397956146444,,
"Overall",,,,,,,,,,0.8055459614151083,0.5651109829560698
