"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"win",15230,4957,4277,2559,0.8561470571701614,0.7544459305493635,0.8561470571701614,0.46317955382282866,0.8020855277017063,,
"draw",143,538,23905,2437,0.05542635658914729,0.20998531571218795,0.05542635658914729,0.9779896084768646,0.08770315854032507,,
"loss",3149,3006,17363,3505,0.47324917342951606,0.5116165718927701,0.47324917342951606,0.8524227993519564,0.491685533609181,,
"Overall",,,,,,,,,,0.6854161270029234,0.3005298711204817
"win",14975,3937,5297,2814,0.8418123559503063,0.791825296108291,0.8418123559503063,0.5736408923543427,0.8160540584725211,,
"loss",4208,3903,16466,2446,0.6324015629696423,0.5188016274195537,0.6324015629696423,0.8083852913741469,0.5699966136132746,,
"draw",0,0,24443,2580,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.7098767716389742,0.3765997210145253
"win",16013,4368,4866,1776,0.9001630220923043,0.7856827437319072,0.9001630220923043,0.5269655620532814,0.8390358920618286,,
"loss",3924,2718,17651,2730,0.5897204688908927,0.5907859078590786,0.5897204688908927,0.8665619323481761,0.5902527075812274,,
"draw",0,0,24443,2580,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.73777892906043,0.4080634976172238
"win",15581,3919,5315,2208,0.8758783517904323,0.799025641025641,0.8758783517904323,0.575590210093134,0.8356888090321543,,
"loss",4312,3211,17158,2342,0.6480312593928464,0.573175594842483,0.6480312593928464,0.8423584859345083,0.6083092332651477,,
"draw",0,0,24443,2580,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.7361506864522814,0.4219184650567209
"win",16757,5149,4085,1032,0.9419866209455281,0.7649502419428467,0.9419866209455281,0.44238683127572015,0.8442876936641894,,
"draw",62,150,24293,2518,0.024031007751937984,0.29245283018867924,0.024031007751937984,0.9938632737389027,0.04441260744985673,,
"loss",3374,1531,18838,3280,0.507063420498948,0.6878695208970438,0.507063420498948,0.9248367617457902,0.5837875248723937,,
"Overall",,,,,,,,,,0.7472523405987492,0.3995316064468034
"win",15892,3969,5265,1897,0.8933610658271965,0.8001611197824883,0.8933610658271965,0.5701754385964912,0.8441965471447543,,
"loss",4281,2881,17488,2373,0.6433724075743913,0.5977380619938565,0.6433724075743913,0.8585595758260102,0.6197162709901564,,
"draw",0,0,24443,2580,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.7465122303223181,0.43784022565746106
"win",16326,4243,4991,1463,0.9177581651582438,0.793718702902426,0.9177581651582438,0.5405024907948884,0.8512435476302205,,
"draw",57,118,24325,2523,0.022093023255813953,0.32571428571428573,0.022093023255813953,0.9951724420079369,0.041379310344827586,,
"loss",4022,2257,18112,2632,0.604448452058912,0.6405478579391622,0.604448452058912,0.8891943639844863,0.6219747931647722,,
"Overall",,,,,,,,,,0.7550975095289199,0.4447891121647778
"win",16283,4083,5151,1506,0.9153409410309742,0.799518805852892,0.9153409410309742,0.5578297595841456,0.8535185427860044,,
"loss",4294,2363,18006,2360,0.6453261196272918,0.6450353011867207,0.6453261196272918,0.8839903775344887,0.6451806776350387,,
"draw",0,0,24443,2580,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.761462457906228,0.4618044573283263
"win",16185,4188,5046,1604,0.9098319186013829,0.7944338094536887,0.9098319186013829,0.5464587394411956,0.8482259839631046,,
"draw",6,22,24421,2574,0.002325581395348837,0.21428571428571427,0.002325581395348837,0.9990999468150391,0.004601226993865031,,
"loss",4148,2474,17895,2506,0.6233844304177938,0.6263968589549985,0.6233844304177938,0.878540920025529,0.6248870141608918,,
"Overall",,,,,,,,,,0.7526551456166969,0.4419954210574686
"win",16728,4726,4508,1061,0.9403564000224858,0.7797147385103012,0.9403564000224858,0.4881957981373186,0.8525342099227888,,
"draw",19,25,24418,2561,0.007364341085271318,0.4318181818181818,0.007364341085271318,0.9989772122898172,0.01448170731707317,,
"loss",3784,1741,18628,2870,0.5686804929365795,0.6848868778280544,0.5686804929365795,0.9145269772693799,0.6213974874784465,,
"Overall",,,,,,,,,,0.7597602042704363,0.43720947948192546
