"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"win",2548,468,917,120,0.9550224887556222,0.8448275862068966,0.9550224887556222,0.6620938628158844,0.896551724137931,,
"draw",60,49,3617,327,0.15503875968992248,0.5504587155963303,0.15503875968992248,0.9866339334424441,0.24193548387096775,,
"loss",723,205,2850,275,0.7244488977955912,0.7790948275862069,0.7244488977955912,0.9328968903436988,0.7507788161993769,,
"Overall",,,,,,,,,,0.8218603503577597,0.6051878937811817
"win",4852,846,1924,484,0.9092953523238381,0.8515268515268515,0.9092953523238381,0.6945848375451263,0.879463476527098,,
"loss",1569,839,5271,427,0.7860721442885772,0.651578073089701,0.7860721442885772,0.8626841243862521,0.712534059945504,,
"draw",0,0,7332,774,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.7921292869479398,0.5521229760686037
"win",7427,1645,2510,578,0.9277951280449719,0.8186728395061729,0.9277951280449719,0.6040914560770156,0.8698249106986005,,
"loss",2059,1029,8137,935,0.6877087508350034,0.6667746113989638,0.6877087508350034,0.8877372899847261,0.6770799079250247,,
"draw",0,0,10999,1161,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.7800986842105263,0.5073265610048963
"win",9666,1979,3561,1007,0.905649770448796,0.830055817947617,0.905649770448796,0.6427797833935018,0.8662066493413388,,
"loss",2940,1628,10593,1052,0.7364729458917836,0.6436077057793345,0.7364729458917836,0.8667866786678667,0.6869158878504673,,
"draw",0,0,14665,1548,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.777524208968112,0.5140363923105516
"win",12764,3598,3327,578,0.9566781591965222,0.7801002322454468,0.9566781591965222,0.4804332129963899,0.8594128736870454,,
"draw",72,80,18252,1863,0.037209302325581395,0.47368421052631576,0.037209302325581395,0.9956360462579097,0.06899856252994728,,
"loss",2770,983,14294,2220,0.5551102204408818,0.738076205702105,0.5551102204408818,0.9356549060679453,0.6336497769644287,,
"Overall",,,,,,,,,,0.7700202299304287,0.4553097297294648
"win",14672,3184,5126,1338,0.9164272329793879,0.8216845878136201,0.9164272329793879,0.6168471720818292,0.8664737494832576,,
"loss",4228,2236,16095,1761,0.7059609283686759,0.6540841584158416,0.7059609283686759,0.8780208390158748,0.6790331646992692,,
"draw",0,0,21999,2321,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.7771381578947368,0.5060817698944416
"win",17446,4088,5607,1232,0.934040047114252,0.8101606761400576,0.934040047114252,0.5783393501805054,0.8677011837262509,,
"draw",88,139,25526,2620,0.03249630723781388,0.3876651982378855,0.03249630723781388,0.9945840639002532,0.05996592844974446,,
"loss",4567,2045,19341,2420,0.653642478889366,0.690713853599516,0.653642478889366,0.9043766950341344,0.6716670343407602,,
"Overall",,,,,,,,,,0.7789447714376344,0.5001283769734566
"win",19845,4414,6666,1502,0.9296388251276526,0.8180469104249969,0.9296388251276526,0.6016245487364621,0.8702802262860149,,
"loss",5602,2566,21876,2383,0.7015654351909831,0.685847208619001,0.7015654351909831,0.8950167744047132,0.6936172847149137,,
"draw",0,0,29332,3095,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.7847472785024825,0.5168125328831096
"win",22268,5332,7133,1747,0.9272537997085155,0.8068115942028985,0.9272537997085155,0.5722422783794625,0.8628499467209145,,
"draw",14,29,32969,3468,0.00402067777139575,0.32558139534883723,0.00402067777139575,0.9991211588581126,0.007943262411347518,,
"loss",5962,2875,24622,3021,0.6636980964043193,0.6746633472898043,0.6636980964043193,0.8954431392515547,0.6691358024691358,,
"Overall",,,,,,,,,,0.7742324561403509,0.489417294548806
"win",25315,6676,7174,1369,0.9486958476989956,0.7913163077115438,0.9486958476989956,0.5179783393501805,0.8628887942053685,,
"draw",25,52,36613,3844,0.006461617989144482,0.3246753246753247,0.006461617989144482,0.998581753716078,0.012671059300557529,,
"loss",6107,2359,28194,3874,0.6118625388237652,0.7213560122844318,0.6118625388237652,0.9227899060648709,0.6621130807177319,,
"Overall",,,,,,,,,,0.7758178319435536,0.4772165241629093
