"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"win",16519,6029,3205,1270,0.9286075664736635,0.732614866063509,0.9286075664736635,0.3470868529348062,0.8190495078959764,,
"draw",37,87,24356,2543,0.01434108527131783,0.29838709677419356,0.01434108527131783,0.9964406987685636,0.027366863905325445,,
"loss",2634,1717,18652,4020,0.3958521190261497,0.6053780740059757,0.3958521190261497,0.9157052383523983,0.4786915038618809,,
"Overall",,,,,,,,,,0.7101358102357251,0.2941110740940439
"win",16441,5112,4122,1348,0.9242228343358255,0.7628172412193198,0.9242228343358255,0.44639376218323584,0.8357988917696102,,
"draw",81,116,24327,2499,0.031395348837209305,0.41116751269035534,0.031395348837209305,0.9952542650247514,0.0583363341735686,,
"loss",3401,1872,18497,3253,0.5111211301472798,0.6449838801441304,0.5111211301472798,0.9080956355245716,0.57030267460384,,
"Overall",,,,,,,,,,0.7372608518669281,0.38355471400801067
"win",16325,4582,4652,1464,0.9177019506436562,0.7808389534605634,0.9177019506436562,0.50379034004765,0.8437564606160843,,
"draw",140,183,24260,2440,0.05426356589147287,0.43343653250773995,0.05426356589147287,0.9925131939614613,0.09645194626248708,,
"loss",3777,2016,18353,2877,0.5676284941388638,0.6519937856033143,0.5676284941388638,0.9010260690264618,0.6068932272836829,,
"Overall",,,,,,,,,,0.7490656107760056,0.4254768953770086
"win",16366,4215,5019,1423,0.9200067457417506,0.7951994558087556,0.9200067457417506,0.5435347628330085,0.8530622882460255,,
"draw",214,338,24105,2366,0.08294573643410853,0.38768115942028986,0.08294573643410853,0.9861719101583275,0.13665389527458494,,
"loss",3967,1923,18446,2687,0.5961827472197174,0.6735144312393888,0.5961827472197174,0.9055918307231577,0.6324936224489797,,
"Overall",,,,,,,,,,0.7603522924915812,0.4590570271357163
"win",16391,3988,5246,1398,0.9214121086064422,0.8043083566416409,0.9214121086064422,0.5681178254277669,0.8588870257807588,,
"draw",284,379,24064,2296,0.11007751937984496,0.42835595776772245,0.11007751937984496,0.9844945383136277,0.17514646931853223,,
"loss",4100,1881,18488,2554,0.616170724376315,0.6855040963049657,0.616170724376315,0.9076537876184397,0.6489908982983775,,
"Overall",,,,,,,,,,0.7687895496428968,0.48242399037799866
"win",16453,3849,5385,1336,0.9248974085108775,0.8104127672150527,0.9248974085108775,0.583170890188434,0.8638786064949726,,
"draw",328,423,24020,2252,0.12713178294573643,0.4367509986684421,0.12713178294573643,0.9826944319437058,0.1969378564995497,,
"loss",4155,1815,18554,2499,0.6244364292155095,0.6959798994974874,0.6244364292155095,0.9108940055967402,0.6582699619771862,,
"Overall",,,,,,,,,,0.7747474373681679,0.4976335108440584
"win",16450,3593,5641,1339,0.9247287649671145,0.8207354188494737,0.9247287649671145,0.6108945202512454,0.8696341721294142,,
"draw",340,396,24047,2240,0.13178294573643412,0.46195652173913043,0.13178294573643412,0.9837990426707033,0.20506634499396867,,
"loss",4358,1886,18483,2296,0.6549443943492635,0.6979500320307496,0.6549443943492635,0.9074083165594776,0.6757636842921383,,
"Overall",,,,,,,,,,0.7825926062983385,0.5192745674832571
"win",16473,3506,5728,1316,0.9260216988026309,0.8245157415286051,0.9260216988026309,0.620316222655404,0.872325778436772,,
"draw",379,474,23969,2201,0.14689922480620154,0.44431418522860494,0.14689922480620154,0.9806079450149326,0.22079813574133406,,
"loss",4391,1800,18569,2263,0.6599038172527802,0.7092553706994024,0.6599038172527802,0.9116304187736266,0.6836901518100429,,
"Overall",,,,,,,,,,0.7861081301113866,0.5287450797646167
"win",16483,3417,5817,1306,0.9265838439485075,0.8282914572864322,0.9265838439485075,0.6299545159194282,0.874684921329831,,
"draw",413,487,23956,2167,0.16007751937984496,0.4588888888888889,0.16007751937984496,0.9800760954056376,0.23735632183908045,,
"loss",4446,1777,18592,2208,0.6681695220919748,0.7144464084846537,0.6681695220919748,0.9127595856448525,0.6905335093577697,,
"Overall",,,,,,,,,,0.789771675979721,0.5383088319265097
"win",16486,3277,5957,1303,0.9267524874922705,0.8341850933562718,0.9267524874922705,0.6451158761100282,0.8780357903706858,,
"draw",440,520,23923,2140,0.17054263565891473,0.4583333333333333,0.17054263565891473,0.9787260156281962,0.24858757062146888,,
"loss",4510,1790,18579,2144,0.6777877968139465,0.7158730158730159,0.6777877968139465,0.9121213608915509,0.6963100200710206,,
"Overall",,,,,,,,,,0.7932501942789476,0.5483522388652999
