"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"win",2563,713,695,82,0.9689981096408318,0.7823565323565324,0.9689981096408318,0.49360795454545453,0.865732139841243,,
"draw",55,4,3645,349,0.13613861386138615,0.9322033898305084,0.13613861386138615,0.9989038092628117,0.23758099352051834,,
"loss",554,164,2885,450,0.5517928286852589,0.7715877437325905,0.5517928286852589,0.9462118727451624,0.6434378629500581,,
"Overall",,,,,,,,,,0.7826301505057982,0.49114268454361576
"win",5115,1235,1539,217,0.9593023255813954,0.805511811023622,0.9593023255813954,0.5547945205479452,0.8757062146892656,,
"draw",132,17,7312,645,0.16988416988416988,0.8859060402684564,0.16988416988416988,0.9976804475371811,0.285097192224622,,
"loss",1243,364,5745,754,0.6224336504757135,0.7734909769757312,0.6224336504757135,0.9404157799967261,0.6897891231964484,,
"Overall",,,,,,,,,,0.8006415001233654,0.5407636578268386
"win",7543,1625,2602,390,0.9508382705155679,0.8227530541012217,0.9508382705155679,0.6155665956943459,0.8821706332962984,,
"draw",234,24,11003,899,0.20653133274492497,0.9069767441860465,0.20653133274492497,0.9978235240772649,0.33644859813084116,,
"loss",2077,657,8409,1017,0.6712992889463477,0.7596927578639356,0.6712992889463477,0.9275314361350099,0.7127659574468084,,
"Overall",,,,,,,,,,0.8103618421052632,0.5775980753110822
"win",10075,2138,3475,525,0.9504716981132075,0.8249406370261197,0.9504716981132075,0.6190985212898629,0.88326831192741,,
"draw",332,92,14569,1220,0.21391752577319587,0.7830188679245284,0.21391752577319587,0.9937248482368187,0.3360323886639676,,
"loss",2721,855,11297,1340,0.6700320118197488,0.7609060402684564,0.6700320118197488,0.929641211323239,0.7125834751865916,,
"Overall",,,,,,,,,,0.8097205945845926,0.5769271451667536
"win",12704,2449,4469,645,0.9516817739156491,0.8383818385798192,0.9516817739156491,0.645995952587453,0.8914462143007509,,
"draw",500,145,18207,1415,0.26109660574412535,0.7751937984496124,0.26109660574412535,0.9920989537925021,0.39062500000000006,,
"loss",3433,1036,14228,1570,0.6861882870277833,0.7681808010740658,0.6861882870277833,0.9321278825995807,0.7248733108108107,,
"Overall",,,,,,,,,,0.8208911037647407,0.6020711453804897
"win",15214,2886,5400,820,0.9488586753149557,0.8405524861878453,0.9488586753149557,0.6517016654598118,0.891427901798793,,
"draw",602,221,21772,1725,0.2587021916630855,0.7314702308626975,0.2587021916630855,0.9899513481562315,0.38222222222222224,,
"loss",4107,1290,17071,1852,0.6892095989259943,0.7609783212896053,0.6892095989259943,0.9297423887587822,0.7233180697428672,,
"Overall",,,,,,,,,,0.8192023026315789,0.5997508054349998
"win",17682,3180,6548,963,0.9483507642799678,0.8475697440322116,0.9483507642799678,0.673108552631579,0.8951325081631103,,
"draw",673,271,25401,2028,0.24916697519437245,0.7129237288135594,0.24916697519437245,0.9894437519476472,0.36927297668038406,,
"loss",5020,1547,19799,2007,0.7143873630283193,0.7644282016141313,0.7143873630283193,0.9275274056029232,0.7385611299102545,,
"Overall",,,,,,,,,,0.8238466147393649,0.6139791843885414
"win",20227,3519,7573,1108,0.9480665573002109,0.8518066200623263,0.9480665573002109,0.682744320230797,0.8973625252323595,,
"draw",830,338,28983,2276,0.26722472633612365,0.7106164383561644,0.26722472633612365,0.988472425906347,0.38839494618624243,,
"loss",5764,1749,22692,2222,0.721763085399449,0.767203513909224,0.721763085399449,0.9284399165336934,0.7437899219304472,,
"Overall",,,,,,,,,,0.8271193758287847,0.6222733927407516
"win",22792,3975,8466,1247,0.9481259619784517,0.8514962453767699,0.9481259619784517,0.6804919218712322,0.8972168641499035,,
"draw",920,411,32583,2566,0.26391279403327594,0.6912096168294516,0.26391279403327594,0.9875431896708492,0.3819804857795308,,
"loss",6417,1965,25560,2538,0.7165829145728643,0.7655690765926987,0.7165829145728643,0.9286103542234332,0.7402664820903271,,
"Overall",,,,,,,,,,0.8259046052631579,0.6187128651215551
"win",25263,4258,9592,1421,0.9467471143756558,0.8557636936418143,0.9467471143756558,0.6925631768953069,0.8989591673338672,,
"draw",1074,509,36156,2795,0.27759110881364696,0.6784586228679722,0.27759110881364696,0.9861175507977635,0.39398385913426265,,
"loss",7260,2170,28383,2721,0.7273820258491133,0.7698833510074231,0.7273820258491133,0.9289758779825221,0.7480294678275206,,
"Overall",,,,,,,,,,0.8288597227019292,0.6275809106771797
