"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"win",17789,9234,0,0,1.0,0.6582910853717204,1.0,0.0,0.7939391234490761,,
"draw",0,0,24443,2580,0.0,,0.0,1.0,,,
"loss",0,0,20369,6654,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6582910853717204,0.0
"win",17789,9234,0,0,1.0,0.6582910853717204,1.0,0.0,0.7939391234490761,,
"draw",0,0,24443,2580,0.0,,0.0,1.0,,,
"loss",0,0,20369,6654,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6582910853717204,0.0
"win",17789,9234,0,0,1.0,0.6582910853717204,1.0,0.0,0.7939391234490761,,
"draw",0,0,24443,2580,0.0,,0.0,1.0,,,
"loss",0,0,20369,6654,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6582910853717204,0.0
"win",17789,9234,0,0,1.0,0.6582910853717204,1.0,0.0,0.7939391234490761,,
"draw",0,0,24443,2580,0.0,,0.0,1.0,,,
"loss",0,0,20369,6654,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6582910853717204,0.0
"win",17789,9234,0,0,1.0,0.6582910853717204,1.0,0.0,0.7939391234490761,,
"draw",0,0,24443,2580,0.0,,0.0,1.0,,,
"loss",0,0,20369,6654,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6582910853717204,0.0
"win",17789,9234,0,0,1.0,0.6582910853717204,1.0,0.0,0.7939391234490761,,
"draw",0,0,24443,2580,0.0,,0.0,1.0,,,
"loss",0,0,20369,6654,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6582910853717204,0.0
"win",17789,9234,0,0,1.0,0.6582910853717204,1.0,0.0,0.7939391234490761,,
"draw",0,0,24443,2580,0.0,,0.0,1.0,,,
"loss",0,0,20369,6654,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6582910853717204,0.0
"win",17789,9234,0,0,1.0,0.6582910853717204,1.0,0.0,0.7939391234490761,,
"draw",0,0,24443,2580,0.0,,0.0,1.0,,,
"loss",0,0,20369,6654,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6582910853717204,0.0
"win",17789,9234,0,0,1.0,0.6582910853717204,1.0,0.0,0.7939391234490761,,
"draw",0,0,24443,2580,0.0,,0.0,1.0,,,
"loss",0,0,20369,6654,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6582910853717204,0.0
