"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"win",17693,9126,108,96,0.994603406599584,0.6597188560349007,0.994603406599584,0.011695906432748537,0.7932657819225251,,
"loss",102,102,20267,6552,0.015329125338142471,0.5,0.015329125338142471,0.9949923903971721,0.029746281714785654,,
"draw",0,0,24443,2580,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6585131184546498,0.009665049339853682
"win",17789,9234,0,0,1.0,0.6582910853717204,1.0,0.0,0.7939391234490761,,
"draw",0,0,24443,2580,0.0,,0.0,1.0,,,
"loss",0,0,20369,6654,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6582910853717204,0.0
"win",17728,8971,263,61,0.9965709146101523,0.6639949061762613,0.9965709146101523,0.028481698072341348,0.7969789606185939,,
"loss",252,72,20297,6402,0.03787195671776375,0.7777777777777778,0.03787195671776375,0.996465216750945,0.07222699914015476,,
"draw",0,0,24443,2580,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6653591385116382,0.03464169256971894
"win",17717,9117,117,72,0.995952554949688,0.6602444659760006,0.995952554949688,0.012670565302144249,0.7940748044730296,,
"loss",104,85,20284,6550,0.01562969642320409,0.5502645502645502,0.01562969642320409,0.9958269919976435,0.030396025135174632,,
"draw",0,0,24443,2580,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6594752618140103,0.01179983792152639
"win",17763,9177,57,26,0.9985384226207207,0.6593541202672606,0.9985384226207207,0.006172839506172839,0.7942498155559033,,
"loss",55,28,20341,6599,0.00826570483919447,0.6626506024096386,0.00826570483919447,0.998625362069812,0.01632774231853941,,
"draw",0,0,24443,2580,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6593642452725456,0.006819088524020578
"win",17780,9218,16,9,0.999494069368711,0.6585673012815764,0.999494069368711,0.0017327268789257093,0.7939803960970817,,
"loss",15,10,20359,6639,0.002254283137962128,0.6,0.002254283137962128,0.9995090578820757,0.0044916903728103,,
"draw",0,0,24443,2580,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6585131184546498,0.0017634009523532779
"win",17753,9070,164,36,0.997976277474844,0.6618573612198486,0.997976277474844,0.017760450508988522,0.7958845153770286,,
"loss",155,45,20324,6499,0.023294259092275324,0.775,0.023294259092275324,0.9977907604693407,0.04522906332068865,,
"draw",0,0,24443,2580,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.662694741516486,0.021618976797272205
"win",17778,9178,56,11,0.9993816403395357,0.6595192165009646,0.9993816403395357,0.006064544076239983,0.7946362722091853,,
"loss",56,11,20358,6598,0.008415990381725278,0.835820895522388,0.008415990381725278,0.9994599636702832,0.016664186876952834,,
"draw",0,0,24443,2580,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6599563334936905,0.007839651634470535
"win",17765,9186,48,24,0.998650851649896,0.6591592148714334,0.998650851649896,0.005198180636777128,0.7941439427805097,,
"loss",46,26,20343,6608,0.0069131349564171924,0.6388888888888888,0.0069131349564171924,0.9987235504933968,0.013678263455248288,,
"draw",0,0,24443,2580,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6591052066757946,0.005577494811272787
"win",17672,9057,177,117,0.993422901793243,0.6611545512364847,0.993422901793243,0.01916829109811566,0.7939260523833056,,
"loss",165,129,20240,6489,0.02479711451758341,0.5612244897959183,0.02479711451758341,0.9936668466787766,0.04749568221070812,,
"draw",0,0,24443,2580,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6600673500351553,0.018080381236897147
