"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"win",2644,1374,23,12,0.9954819277108434,0.658038825286212,0.9954819277108434,0.0164638511095204,0.7923284387174109,,
"loss",20,15,3045,973,0.02014098690835851,0.5714285714285714,0.02014098690835851,0.9950980392156863,0.038910505836575876,,
"draw",0,0,3649,404,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6572908956328646,0.015843549385813116
"win",5288,2818,0,0,1.0,0.6523562792992845,1.0,0.0,0.7896072868448559,,
"draw",0,0,7312,794,0.0,,0.0,1.0,,,
"loss",0,0,6082,2024,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6523562792992845,0.0
"win",7967,4055,112,26,0.9967471537595396,0.6627017135252038,0.9967471537595396,0.02687784977201824,0.7961029228078941,,
"loss",106,32,9134,2888,0.035404141616566465,0.7681159420289855,0.035404141616566465,0.9965088370063278,0.06768837803320561,,
"draw",0,0,10987,1173,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6638980263157894,0.03237233565616526
"win",10635,5457,84,37,0.9965329835082459,0.6608873974645787,0.9965329835082459,0.015159718462371413,0.7947242564639069,,
"loss",71,50,12178,3914,0.0178168130489335,0.5867768595041323,0.0178168130489335,0.9959110238796205,0.0345835362883585,,
"draw",0,0,14657,1556,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6603342996360945,0.0150075966381511
"win",13284,6925,38,20,0.9984966927239928,0.6573308921767529,0.9984966927239928,0.005457417779692661,0.7927669859457525,,
"loss",34,24,15211,4998,0.006756756756756757,0.5862068965517241,0.006756756756756757,0.9984246800131277,0.013359528487229863,,
"draw",0,0,18336,1931,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6571273498791138,0.005392090024543106
"win",16044,8248,19,9,0.9994393571295085,0.660464350403425,0.9994393571295085,0.0022982944236119513,0.7953401908538853,,
"loss",18,10,18354,5938,0.0030221625251846875,0.6428571428571429,0.0030221625251846875,0.9994554563275975,0.006016042780748663,,
"draw",0,0,22009,2311,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6604440789473685,0.0024913359327273232
"win",18628,9546,156,43,0.9976969632049703,0.6611769716760133,0.9976969632049703,0.016079158936301793,0.7953036610097128,,
"loss",149,50,21324,6850,0.021288755536505215,0.7487437185929648,0.021288755536505215,0.9976607092729485,0.04140038899694359,,
"draw",0,0,25670,2703,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6617911394635745,0.019201414202560718
"win",21377,10979,52,19,0.9991119835483268,0.6606811719619236,0.9991119835483268,0.0047139878524159184,0.7953936597707992,,
"loss",46,25,24462,7894,0.005793450881612091,0.647887323943662,0.005793450881612091,0.9989790501082206,0.011484209212333042,,
"draw",0,0,29336,3091,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6606531594042002,0.005104882577802727
"win",23933,12467,54,26,0.9989148128052089,0.6575,0.9989148128052089,0.004312754572318505,0.7930217531768254,,
"loss",49,31,27405,8995,0.005417956656346749,0.6125,0.005417956656346749,0.9988700976818778,0.010740903112669882,,
"draw",0,0,33003,3477,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6574013157894737,0.004437599779613555
"win",26519,13577,273,165,0.9938165192624794,0.6613876695929769,0.9938165192624794,0.01971119133574007,0.794219826295298,,
"loss",248,190,30363,9733,0.024847209698427013,0.5662100456621004,0.024847209698427013,0.9937812980722024,0.047605336404645364,,
"draw",0,0,36665,3869,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6603592046183451,0.018779697796114325
