"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"win",2668,1385,0,0,1.0,0.6582778188995806,1.0,0.0,0.7939294747805387,,
"draw",0,0,3666,387,0.0,,0.0,1.0,,,
"loss",0,0,3055,998,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6582778188995806,0.0
"win",5336,2770,0,0,1.0,0.6582778188995806,1.0,0.0,0.7939294747805387,,
"draw",0,0,7332,774,0.0,,0.0,1.0,,,
"loss",0,0,6110,1996,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6582778188995806,0.0
"win",8005,4155,0,0,1.0,0.6583059210526315,1.0,0.0,0.7939499132159683,,
"draw",0,0,10999,1161,0.0,,0.0,1.0,,,
"loss",0,0,9166,2994,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6583059210526315,0.0
"win",10673,5540,0,0,1.0,0.6582988959476963,1.0,0.0,0.7939448039872052,,
"draw",0,0,14665,1548,0.0,,0.0,1.0,,,
"loss",0,0,12221,3992,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6582988959476963,0.0
"win",13342,6925,0,0,1.0,0.6583115409286031,1.0,0.0,0.7939540004165551,,
"draw",0,0,18333,1934,0.0,,0.0,1.0,,,
"loss",0,0,15276,4991,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6583115409286031,0.0
"win",16010,8310,0,0,1.0,0.6583059210526315,1.0,0.0,0.7939499132159683,,
"draw",0,0,21999,2321,0.0,,0.0,1.0,,,
"loss",0,0,18331,5989,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6583059210526315,0.0
"win",18678,9695,0,0,1.0,0.6583019067423255,1.0,0.0,0.7939469936877006,,
"draw",0,0,25665,2708,0.0,,0.0,1.0,,,
"loss",0,0,21386,6987,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6583019067423255,0.0
"win",21347,11080,0,0,1.0,0.6583094334967774,1.0,0.0,0.7939524677353368,,
"draw",0,0,29332,3095,0.0,,0.0,1.0,,,
"loss",0,0,24442,7985,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6583094334967774,0.0
"win",24015,12465,0,0,1.0,0.6583059210526315,1.0,0.0,0.7939499132159683,,
"draw",0,0,32998,3482,0.0,,0.0,1.0,,,
"loss",0,0,27497,8983,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6583059210526315,0.0
