"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"0",3271,2256,2751,1726,0.654592755653392,0.5918219648995838,0.654592755653392,0.5494307968843619,0.621626757886735,,
"1",2183,2240,3524,2057,0.5148584905660377,0.49355640967669,0.5148584905660377,0.611380985426787,0.5039824541152027,,
"2",13,29,9493,469,0.026970954356846474,0.30952380952380953,0.026970954356846474,0.9969544213400546,0.049618320610687015,,
"3",4,8,9791,201,0.01951219512195122,0.3333333333333333,0.01951219512195122,0.9991835901622614,0.03686635944700461,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5468812475009996,0.15529818522449312
"0",3373,2023,2984,1624,0.6750050030018011,0.6250926612305412,0.6750050030018011,0.5959656480926703,0.6490907341479842,,
"1",2321,2196,3568,1919,0.5474056603773585,0.5138366172238211,0.5474056603773585,0.6190145732130465,0.530090213543451,,
"2",16,56,9466,466,0.03319502074688797,0.2222222222222222,0.03319502074688797,0.9941188825876917,0.05776173285198556,,
"3",7,10,9789,198,0.03414634146341464,0.4117647058823529,0.03414634146341464,0.9989794877028269,0.06306306306306307,,
"4",0,1,9966,37,0.0,0.0,0.0,0.9998996689073945,NaN,,
"5",0,1,9981,22,0.0,0.0,0.0,0.9998998196754157,NaN,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5714714114354258,0.2047018763311328
"0",3413,1900,3107,1584,0.6830098058835301,0.642386598908338,0.6830098058835301,0.6205312562412623,0.6620756547041707,,
"1",2386,2123,3641,1854,0.5627358490566038,0.5291638944333555,0.5627358490566038,0.6316793893129771,0.5454337638587268,,
"2",29,106,9416,453,0.06016597510373444,0.21481481481481482,0.06016597510373444,0.9888678848981306,0.09400324149108591,,
"3",14,26,9773,191,0.06829268292682927,0.35,0.06829268292682927,0.9973466680273497,0.1142857142857143,,
"4",0,2,9965,37,0.0,0.0,0.0,0.9997993378147888,NaN,,
"5",0,4,9978,22,0.0,0.0,0.0,0.999599278701663,NaN,,
"9",0,1,10001,2,0.0,0.0,0.0,0.9999000199960008,NaN,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5839664134346262,0.23376633008253445
"0",3523,2786,2221,1474,0.705023013808285,0.5584086226026311,0.705023013808285,0.44357898941481927,0.6232089156200247,,
"1",1697,1842,3922,2543,0.40023584905660375,0.47951398700197795,0.40023584905660375,0.6804302567661347,0.4363028666923769,,
"2",18,108,9414,464,0.03734439834024896,0.14285714285714285,0.03734439834024896,0.9886578449905482,0.05921052631578946,,
"3",1,22,9777,204,0.004878048780487805,0.043478260869565216,0.004878048780487805,0.997754872946219,0.008771929824561403,,
"4",0,7,9960,37,0.0,0.0,0.0,0.9992976823517609,NaN,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5236905237904838,0.1087042680968715
"0",3540,1710,3297,1457,0.7084250550330198,0.6742857142857143,0.7084250550330198,0.658478130617136,0.6909339318825023,,
"1",2512,2038,3726,1728,0.5924528301886792,0.5520879120879121,0.5924528301886792,0.6464260929909785,0.5715585893060295,,
"2",35,128,9394,447,0.07261410788381743,0.2147239263803681,0.07261410788381743,0.9865574459147238,0.10852713178294575,,
"3",20,15,9784,185,0.0975609756097561,0.5714285714285714,0.0975609756097561,0.9984692315542403,0.16666666666666669,,
"4",0,2,9965,37,0.0,0.0,0.0,0.9997993378147888,NaN,,
"6",0,1,9989,14,0.0,0.0,0.0,0.9998998998998999,NaN,,
"8",0,2,10000,2,0.0,0.0,0.0,0.9998000399920016,NaN,,
"9",0,1,10001,2,0.0,0.0,0.0,0.9999000199960008,NaN,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6104558176729308,0.2842469452346189
"0",3700,1785,3222,1297,0.740444266559936,0.6745670009115771,0.740444266559936,0.6434991012582385,0.7059721427208548,,
"1",2469,1874,3890,1771,0.582311320754717,0.5685010361501266,0.582311320754717,0.6748785565579458,0.5753233135267388,,
"2",29,105,9417,453,0.06016597510373444,0.21641791044776118,0.06016597510373444,0.9889729048519219,0.09415584415584417,,
"3",17,20,9779,188,0.08292682926829269,0.4594594594594595,0.08292682926829269,0.9979589754056536,0.14049586776859505,,
"4",0,3,9964,37,0.0,0.0,0.0,0.9996990067221833,NaN,,
"5",0,1,9981,22,0.0,0.0,0.0,0.9998998196754157,NaN,,
