"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"0",749,0,751,0,1.0,1.0,1.0,1.0,1.0,,
"1",636,0,864,0,1.0,1.0,1.0,1.0,1.0,,
"2",72,0,1428,0,1.0,1.0,1.0,1.0,1.0,,
"3",31,0,1469,0,1.0,1.0,1.0,1.0,1.0,,
"4",6,0,1494,0,1.0,1.0,1.0,1.0,1.0,,
"5",3,0,1497,0,1.0,1.0,1.0,1.0,1.0,,
"6",2,0,1498,0,1.0,1.0,1.0,1.0,1.0,,
"9",1,0,1499,0,1.0,1.0,1.0,1.0,1.0,,
"7",0,0,1500,0,,,,1.0,,,
"8",0,0,1500,0,,,,1.0,,,
"Overall",,,,,,,,,,1.0,1.0
"0",1499,0,1502,0,1.0,1.0,1.0,1.0,1.0,,
"1",1272,0,1729,0,1.0,1.0,1.0,1.0,1.0,,
"2",145,0,2856,0,1.0,1.0,1.0,1.0,1.0,,
"3",62,0,2939,0,1.0,1.0,1.0,1.0,1.0,,
"4",11,0,2990,0,1.0,1.0,1.0,1.0,1.0,,
"5",6,0,2995,0,1.0,1.0,1.0,1.0,1.0,,
"6",4,0,2997,0,1.0,1.0,1.0,1.0,1.0,,
"8",1,0,3000,0,1.0,1.0,1.0,1.0,1.0,,
"9",1,0,3000,0,1.0,1.0,1.0,1.0,1.0,,
"7",0,0,3001,0,,,,1.0,,,
"Overall",,,,,,,,,,1.0,1.0
"0",2248,0,2253,0,1.0,1.0,1.0,1.0,1.0,,
"1",1907,0,2594,0,1.0,1.0,1.0,1.0,1.0,,
"2",217,0,4284,0,1.0,1.0,1.0,1.0,1.0,,
"3",92,0,4409,0,1.0,1.0,1.0,1.0,1.0,,
"4",17,0,4484,0,1.0,1.0,1.0,1.0,1.0,,
"5",10,0,4491,0,1.0,1.0,1.0,1.0,1.0,,
"6",7,0,4494,0,1.0,1.0,1.0,1.0,1.0,,
"7",1,0,4500,0,1.0,1.0,1.0,1.0,1.0,,
"8",1,0,4500,0,1.0,1.0,1.0,1.0,1.0,,
"9",1,0,4500,0,1.0,1.0,1.0,1.0,1.0,,
"Overall",,,,,,,,,,1.0,1.0
"0",2527,1222,1782,471,0.842895263509006,0.6740464123766338,0.842895263509006,0.5932090545938749,0.74907366236846,,
"1",1484,672,2787,1059,0.5835627211954385,0.6883116883116883,0.5835627211954385,0.805724197745013,0.631623749733986,,
"2",49,31,5681,241,0.16896551724137931,0.6125,0.16896551724137931,0.9945728291316527,0.2648648648648649,,
"3",8,5,5874,115,0.06504065040650407,0.6153846153846154,0.06504065040650407,0.9991495152236775,0.11764705882352942,,
"4",2,0,5980,20,0.09090909090909091,1.0,0.09090909090909091,1.0,0.16666666666666669,,
"6",2,0,5993,7,0.2222222222222222,1.0,0.2222222222222222,1.0,0.3636363636363636,,
"5",0,0,5989,13,0.0,,0.0,1.0,,,
"7",0,0,6001,1,0.0,,0.0,1.0,,,
"8",0,0,6001,1,0.0,,0.0,1.0,,,
