"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"0",2972,2389,2618,2025,0.5947568541124675,0.5543741839209103,0.5947568541124675,0.5228679848212503,0.5738559567484071,,
"1",2051,2429,3335,2189,0.4837264150943396,0.4578125,0.4837264150943396,0.5785912560721721,0.47041284403669725,,
"2",14,110,9412,468,0.029045643153526972,0.11290322580645161,0.029045643153526972,0.9884478050829658,0.04620462046204621,,
"3",3,32,9767,202,0.014634146341463415,0.08571428571428572,0.014634146341463415,0.9967343606490459,0.025,,
"4",0,4,9963,37,0.0,0.0,0.0,0.9995986756295776,NaN,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5037984806077569,0.08425322570247162
"0",2928,2318,2689,2069,0.5859515709425656,0.5581395348837209,0.5859515709425656,0.5370481326143399,0.5717075075661429,,
"1",2110,2489,3275,2130,0.49764150943396224,0.4587953903022396,0.49764150943396224,0.5681818181818182,0.477429573481163,,
"2",13,86,9436,469,0.026970954356846474,0.13131313131313133,0.026970954356846474,0.9909682839739551,0.04475043029259897,,
"3",3,38,9761,202,0.014634146341463415,0.07317073170731707,0.014634146341463415,0.9961220532707419,0.02439024390243903,,
"4",0,11,9956,37,0.0,0.0,0.0,0.9988963579813385,NaN,,
"5",0,8,9974,22,0.0,0.0,0.0,0.999198557403326,NaN,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5051979208316674,0.08818911417141029
"0",3135,2352,2655,1862,0.6273764258555133,0.5713504647348278,0.6273764258555133,0.530257639304973,0.5980541777947348,,
"1",2111,2308,3456,2129,0.497877358490566,0.4777098891151844,0.497877358490566,0.5995836224843858,0.48758517149786346,,
"2",14,54,9468,468,0.029045643153526972,0.20588235294117646,0.029045643153526972,0.994328922495274,0.050909090909090904,,
"3",3,23,9776,202,0.014634146341463415,0.11538461538461539,0.014634146341463415,0.9976528217165017,0.025974025974025972,,
"4",0,1,9966,37,0.0,0.0,0.0,0.9998996689073945,NaN,,
"5",0,2,9980,22,0.0,0.0,0.0,0.9997996393508315,NaN,,
"6",0,1,9989,14,0.0,0.0,0.0,0.9998998998998999,NaN,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5260895641743303,0.119839405318372
"0",3306,2136,2871,1691,0.6615969581749049,0.607497243660419,0.6615969581749049,0.5733972438585979,0.633394003257017,,
"1",2251,2161,3603,1989,0.5308962264150944,0.5101994560290117,0.5308962264150944,0.6250867453157529,0.5203421174294961,,
"2",26,77,9445,456,0.05394190871369295,0.2524271844660194,0.05394190871369295,0.9919134635580761,0.08888888888888888,,
"3",5,25,9774,200,0.024390243902439025,0.16666666666666666,0.024390243902439025,0.997448719257067,0.0425531914893617,,
"4",1,11,9956,36,0.02702702702702703,0.08333333333333333,0.02702702702702703,0.9988963579813385,0.04081632653061225,,
"5",0,1,9981,22,0.0,0.0,0.0,0.9998998196754157,NaN,,
"6",0,3,9987,14,0.0,0.0,0.0,0.9996996996996997,NaN,,
"7",0,1,10000,3,0.0,0.0,0.0,0.9999000099990001,NaN,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5586765293882447,0.18394151264832959
"0",3222,2017,2990,1775,0.644786872123274,0.615002863141821,0.644786872123274,0.597163970441382,0.6295427901524032,,
"1",2277,2280,3484,1963,0.5370283018867924,0.49967083607636603,0.5370283018867924,0.604441360166551,0.5176764806183926,,
"2",28,135,9387,454,0.058091286307053944,0.17177914110429449,0.058091286307053944,0.9858223062381852,0.08682170542635659,,
"3",10,26,9773,195,0.04878048780487805,0.2777777777777778,0.04878048780487805,0.9973466680273497,0.08298755186721993,,
"4",0,4,9963,37,0.0,0.0,0.0,0.9995986756295776,NaN,,
"5",0,2,9980,22,0.0,0.0,0.0,0.9997996393508315,NaN,,
"6",0,1,9989,14,0.0,0.0,0.0,0.9998998998998999,NaN,,
"9",0,2,10000,2,0.0,0.0,0.0,0.9998000399920016,NaN,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5534786085565774,0.17993223960913662
"0",3479,2092,2915,1518,0.696217730638383,0.6244839346616406,0.696217730638383,0.5821849410824845,0.6584027252081757,,
"1",2218,2021,3743,2022,0.5231132075471698,0.5232366124085869,0.5231132075471698,0.6493754337265788,0.52317490270079,,
"2",28,113,9409,454,0.058091286307053944,0.19858156028368795,0.058091286307053944,0.9881327452215921,0.0898876404494382,,
"3",9,37,9762,196,0.04390243902439024,0.1956521739130435,0.04390243902439024,0.9962241045004593,0.07171314741035856,,
"4",0,4,9963,37,0.0,0.0,0.0,0.9995986756295776,NaN,,
"5",0,2,9980,22,0.0,0.0,0.0,0.9997996393508315,NaN,,
"8",0,1,10001,2,0.0,0.0,0.0,0.9999000199960008,NaN,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.573170731707317,0.21172794273889717
"0",3442,1934,3073,1555,0.6888132879727836,0.6402529761904762,0.6888132879727836,0.6137407629318954,0.6636460040489732,,
"1",2330,2067,3697,1910,0.5495283018867925,0.5299067546054128,0.5495283018867925,0.6413948646773074,0.5395391918490217,,
"2",37,127,9395,445,0.07676348547717843,0.22560975609756098,0.07676348547717843,0.986662465868515,0.11455108359133127,,
"3",20,30,9769,185,0.0975609756097561,0.4,0.0975609756097561,0.9969384631084804,0.15686274509803924,,
"4",0,10,9957,37,0.0,0.0,0.0,0.998996689073944,NaN,,
"5",0,2,9980,22,0.0,0.0,0.0,0.9997996393508315,NaN,,
"6",0,5,9985,14,0.0,0.0,0.0,0.9994994994994995,NaN,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5826669332267094,0.23340056276552046
"0",3562,1935,3072,1435,0.7128276966179707,0.6479898126250683,0.7128276966179707,0.6135410425404434,0.6788641128263769,,
"1",2326,1958,3806,1914,0.5485849056603773,0.5429505135387488,0.5485849056603773,0.6603053435114504,0.5457531675269827,,
"2",36,130,9392,446,0.07468879668049792,0.21686746987951808,0.07468879668049792,0.9863474060071413,0.11111111111111112,,
"3",16,27,9772,189,0.07804878048780488,0.37209302325581395,0.07804878048780488,0.9972446167976324,0.12903225806451613,,
"4",0,11,9956,37,0.0,0.0,0.0,0.9988963579813385,NaN,,
"5",0,2,9980,22,0.0,0.0,0.0,0.9997996393508315,NaN,,
"6",0,1,9989,14,0.0,0.0,0.0,0.9998998998998999,NaN,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5937624950019992,0.2520656598180343
"0",3618,1811,3196,1379,0.7240344206523914,0.66642107202063,0.7240344206523914,0.6383063710804873,0.6940341454057165,,
"1",2440,1921,3843,1800,0.5754716981132075,0.5595047007567072,0.5754716981132075,0.6667244968771686,0.5673758865248226,,
"2",36,122,9400,446,0.07468879668049792,0.22784810126582278,0.07468879668049792,0.9871875656374711,0.11249999999999999,,
"3",15,33,9766,190,0.07317073170731707,0.3125,0.07317073170731707,0.9966323094193285,0.11857707509881422,,
"4",0,5,9962,37,0.0,0.0,0.0,0.9994983445369721,NaN,,
"5",0,1,9981,22,0.0,0.0,0.0,0.9998998196754157,NaN,,
"9",0,2,10000,2,0.0,0.0,0.0,0.9998000399920016,NaN,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.610655737704918,0.2833844627337513
"0",3554,1796,3211,1443,0.711226736041625,0.6642990654205607,0.711226736041625,0.6413021769522669,0.6869624045617088,,
"1",2364,1963,3801,1876,0.5575471698113208,0.5463369540097065,0.5575471698113208,0.6594378903539209,0.5518851406560057,,
"2",46,194,9328,436,0.0954356846473029,0.19166666666666668,0.0954356846473029,0.9796261289645033,0.12742382271468145,,
"3",28,43,9756,177,0.13658536585365855,0.39436619718309857,0.13658536585365855,0.9956117971221553,0.20289855072463767,,
"4",1,7,9960,36,0.02702702702702703,0.125,0.02702702702702703,0.9992976823517609,0.044444444444444446,,
"5",0,4,9978,22,0.0,0.0,0.0,0.999599278701663,NaN,,
"6",0,4,9986,14,0.0,0.0,0.0,0.9995995995995997,NaN,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5990603758496601,0.2686925388404373
