"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"0",748,0,751,1,0.9986648865153538,1.0,0.9986648865153538,1.0,0.9993319973279893,,
"1",636,1,863,0,1.0,0.9984301412872841,1.0,0.9988425925925926,0.9992144540455618,,
"2",72,0,1428,0,1.0,1.0,1.0,1.0,1.0,,
"3",31,0,1469,0,1.0,1.0,1.0,1.0,1.0,,
"4",6,0,1494,0,1.0,1.0,1.0,1.0,1.0,,
"5",3,0,1497,0,1.0,1.0,1.0,1.0,1.0,,
"6",2,0,1498,0,1.0,1.0,1.0,1.0,1.0,,
"9",1,0,1499,0,1.0,1.0,1.0,1.0,1.0,,
"7",0,0,1500,0,,,,1.0,,,
"8",0,0,1500,0,,,,1.0,,,
"Overall",,,,,,,,,,0.9993333333333333,0.9988266775968166
"0",1340,180,1322,159,0.8939292861907938,0.881578947368421,0.8939292861907938,0.8801597869507324,0.8877111626366345,,
"1",1114,222,1507,158,0.8757861635220126,0.8338323353293413,0.8757861635220126,0.871602082128398,0.8542944785276073,,
"2",96,1,2855,49,0.6620689655172414,0.9896907216494846,0.6620689655172414,0.9996498599439776,0.793388429752066,,
"3",34,0,2939,28,0.5483870967741935,1.0,0.5483870967741935,1.0,0.7083333333333333,,
"4",9,0,2990,2,0.8181818181818182,1.0,0.8181818181818182,1.0,0.9,,
"5",4,0,2995,2,0.6666666666666666,1.0,0.6666666666666666,1.0,0.8,,
"8",1,0,3000,0,1.0,1.0,1.0,1.0,1.0,,
"6",0,0,2997,4,0.0,,0.0,1.0,,,
"7",0,0,3001,0,,,,1.0,,,
"9",0,0,3000,1,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.8657114295234921,0.7586904349547231
"0",1986,436,1817,262,0.8834519572953736,0.8199834847233691,0.8834519572953736,0.8064802485574789,0.8505353319057817,,
"1",1552,405,2189,355,0.8138437336130048,0.7930505876341338,0.8138437336130048,0.8438704703161141,0.8033126293995858,,
"2",81,3,4281,136,0.37327188940092165,0.9642857142857143,0.37327188940092165,0.9992997198879552,0.5382059800664453,,
"3",33,2,4407,59,0.358695652173913,0.9428571428571428,0.358695652173913,0.9995463823996371,0.5196850393700787,,
"4",1,0,4484,16,0.058823529411764705,1.0,0.058823529411764705,1.0,0.1111111111111111,,
"6",1,0,4494,6,0.14285714285714285,1.0,0.14285714285714285,1.0,0.25,,
"7",1,0,4500,0,1.0,1.0,1.0,1.0,1.0,,
"5",0,0,4491,10,0.0,,0.0,1.0,,,
"8",0,0,4500,1,0.0,,0.0,1.0,,,
"9",0,0,4500,1,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.8120417684958898,0.6557373003017031
"0",2888,191,2813,110,0.9633088725817212,0.9379668723611562,0.9633088725817212,0.9364181091877497,0.9504689814052987,,
"1",2371,165,3294,172,0.9323633503735745,0.9349369085173501,0.9323633503735745,0.9522983521248916,0.9336483559755857,,
"2",240,1,5711,50,0.8275862068965517,0.995850622406639,0.8275862068965517,0.9998249299719888,0.9039548022598871,,
"3",105,0,5879,18,0.8536585365853658,1.0,0.8536585365853658,1.0,0.9210526315789475,,
"4",20,0,5980,2,0.9090909090909091,1.0,0.9090909090909091,1.0,0.9523809523809523,,
"5",10,0,5989,3,0.7692307692307693,1.0,0.7692307692307693,1.0,0.8695652173913044,,
"6",8,0,5993,1,0.8888888888888888,1.0,0.8888888888888888,1.0,0.9411764705882353,,
"7",1,0,6001,0,1.0,1.0,1.0,1.0,1.0,,
"8",1,0,6001,0,1.0,1.0,1.0,1.0,1.0,,
"9",1,0,6000,1,0.5,1.0,0.5,1.0,0.6666666666666666,,
"Overall",,,,,,,,,,0.9405198267244252,0.8942426513880617
"0",3603,148,3607,145,0.9613127001067235,0.9605438549720074,0.9613127001067235,0.9605858854860186,0.9609281237498333,,
"1",3034,187,4136,146,0.9540880503144654,0.941943495808755,0.9540880503144654,0.9567430025445293,0.9479768786127167,,
"2",332,1,7140,30,0.9171270718232044,0.996996996996997,0.9171270718232044,0.9998599635905335,0.9553956834532374,,
