"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"0",3434,3003,2004,1563,0.6872123273964379,0.5334783284138573,0.6872123273964379,0.40023966446974235,0.6006646842749693,,
"1",1612,1834,3930,2628,0.38018867924528305,0.4677887405687754,0.38018867924528305,0.6818181818181818,0.419463960447567,,
"2",5,79,9443,477,0.01037344398340249,0.05952380952380952,0.01037344398340249,0.9917034236504936,0.0176678445229682,,
"3",0,33,9766,205,0.0,0.0,0.0,0.9966323094193285,NaN,,
"4",0,4,9963,37,0.0,0.0,0.0,0.9995986756295776,NaN,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5048980407836865,0.06958994166391297
"0",3466,3106,1901,1531,0.693616169701821,0.5273889227023737,0.693616169701821,0.37966846415018973,0.5991874837928948,,
"1",1512,1835,3929,2728,0.35660377358490564,0.4517478338810875,0.35660377358490564,0.6816446911866759,0.39857651245551606,,
"2",9,48,9474,473,0.01867219917012448,0.15789473684210525,0.01867219917012448,0.9949590422180214,0.033395176252319116,,
"3",0,28,9771,205,0.0,0.0,0.0,0.9971425655679151,NaN,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.498500599760096,0.05328977302714366
"0",3991,3445,1562,1006,0.7986792075245147,0.5367132867132867,0.7986792075245147,0.3119632514479728,0.6420011260355505,,
"1",1248,1291,4473,2992,0.2943396226415094,0.4915320992516739,0.2943396226415094,0.7760235947258848,0.36819589910016226,,
"2",2,27,9495,480,0.004149377593360996,0.06896551724137931,0.004149377593360996,0.997164461247637,0.007827788649706457,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.523890443822471,0.08618482263367122
"0",3865,3289,1718,1132,0.7734640784470682,0.540257198769919,0.7734640784470682,0.34311963251447974,0.6361616327874249,,
"1",1350,1461,4303,2890,0.31839622641509435,0.48025613660619,0.31839622641509435,0.7465301873698821,0.3829244078854064,,
"2",6,26,9496,476,0.012448132780082987,0.1875,0.012448132780082987,0.9972694812014282,0.023346303501945522,,
"3",0,7,9792,205,0.0,0.0,0.0,0.9992856413919787,NaN,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.521891243502599,0.08677854840731192
"0",3861,3162,1845,1136,0.7726635981588953,0.5497650576676634,0.7726635981588953,0.36848412222887955,0.6424292845257903,,
"1",1454,1459,4305,2786,0.3429245283018868,0.49914177823549605,0.3429245283018868,0.7468771686328938,0.4065427093527192,,
"2",2,52,9470,480,0.004149377593360996,0.037037037037037035,0.004149377593360996,0.9945389624028566,0.007462686567164179,,
"3",0,7,9792,205,0.0,0.0,0.0,0.9992856413919787,NaN,,
"4",0,5,9962,37,0.0,0.0,0.0,0.9994983445369721,NaN,,
"6",1,1,9989,13,0.07142857142857142,0.5,0.07142857142857142,0.9998998998998999,0.125,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
