"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"0",5170,4421,3089,2326,0.6897011739594451,0.5390470232509644,0.6897011739594451,0.4113182423435419,0.6051384093170247,,
"1",2516,2711,5936,3843,0.395659694920585,0.48134685287928064,0.395659694920585,0.6864808604140165,0.43431727947522875,,
"2",18,118,14164,706,0.024861878453038673,0.1323529411764706,0.024861878453038673,0.9917378518414788,0.04186046511627907,,
"3",6,40,14658,302,0.01948051948051948,0.13043478260869565,0.01948051948051948,0.9972785412981358,0.03389830508474576,,
"4",1,5,14945,55,0.017857142857142856,0.16666666666666666,0.017857142857142856,0.9996655518394649,0.03225806451612903,,
"5",0,0,14974,32,0.0,,0.0,1.0,,,
"6",0,0,14984,22,0.0,,0.0,1.0,,,
"7",0,0,15003,3,0.0,,0.0,1.0,,,
"8",0,0,15003,3,0.0,,0.0,1.0,,,
"9",0,0,15003,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5138611222177796,0.08726158297201025
"0",5388,4356,3154,2108,0.7187833511205977,0.5529556650246306,0.7187833511205977,0.4199733688415446,0.6250580046403712,,
"1",2531,2592,6055,3828,0.3980185563767888,0.4940464571540113,0.3980185563767888,0.7002428587949577,0.4408639609824072,,
"2",22,77,14205,702,0.03038674033149171,0.2222222222222222,0.03038674033149171,0.9946085982355413,0.053462940461725394,,
"3",6,34,14664,302,0.01948051948051948,0.15,0.01948051948051948,0.9976867601034154,0.03448275862068965,,
"4",0,0,14950,56,0.0,,0.0,1.0,,,
"5",0,0,14974,32,0.0,,0.0,1.0,,,
"6",0,0,14984,22,0.0,,0.0,1.0,,,
"7",0,0,15003,3,0.0,,0.0,1.0,,,
"8",0,0,15003,3,0.0,,0.0,1.0,,,
"9",0,0,15003,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5295881647341063,0.11341436073105393
"0",6225,4966,2544,1271,0.8304429028815368,0.5562505584844964,0.8304429028815368,0.33874833555259654,0.6662385615668647,,
