row ID,TruePositives,FalsePositives,TrueNegatives,FalseNegatives,Recall,Precision,Sensitivity,Specifity,F-measure,Accuracy,Cohen's kappa
0,3635,3374,1633,1362,0.727436462,0.518618919,0.727436462,0.326143399,0.605530568,,
1,1279,1577,4187,2961,0.301650943,0.447829132,0.301650943,0.726405274,0.36048478,,
2,5,98,9424,477,0.010373444,0.048543689,0.010373444,0.989708045,0.017094017,,
3,1,20,9779,204,0.004878049,0.047619048,0.004878049,0.997958975,0.008849558,,
5,0,15,9967,22,0,0,0,0.998497295,NaN,,
4,0,0,9967,37,0,,0,1,,,
6,0,0,9990,14,0,,0,1,,,
7,0,0,10001,3,0,,0,1,,,
8,0,0,10002,2,0,,0,1,,,
9,0,0,10002,2,0,,0,1,,,
Overall,,,,,,,,,,0.491803279,0.03841741
0,3947,3662,1345,1050,0.789873924,0.518727822,0.789873924,0.268623927,0.626209741,,
1,1083,1293,4471,3157,0.255424528,0.455808081,0.255424528,0.775676613,0.32738815,,
2,0,9,9513,482,0,0,0,0.99905482,NaN,,
3,0,7,9792,205,0,0,0,0.999285641,NaN,,
5,0,3,9979,22,0,0,0,0.999699459,NaN,,
4,0,0,9967,37,0,,0,1,,,
6,0,0,9990,14,0,,0,1,,,
7,0,0,10001,3,0,,0,1,,,
8,0,0,10002,2,0,,0,1,,,
9,0,0,10002,2,0,,0,1,,,
Overall,,,,,,,,,,0.50279888,0.042669554
0,3659,3208,1799,1338,0.732239344,0.532838212,0.732239344,0.359296984,0.616824005,,
1,1436,1661,4103,2804,0.338679245,0.463674524,0.338679245,0.711832061,0.391440643,,
2,3,27,9495,479,0.006224066,0.1,0.006224066,0.997164461,0.01171875,,
3,0,7,9792,205,0,0,0,0.999285641,NaN,,
4,0,3,9964,37,0,0,0,0.999699007,NaN,,
5,0,0,9982,22,0,,0,1,,,
6,0,0,9990,14,0,,0,1,,,
7,0,0,10001,3,0,,0,1,,,
8,0,0,10002,2,0,,0,1,,,
9,0,0,10002,2,0,,0,1,,,
Overall,,,,,,,,,,0.509596162,0.067252361
0,3814,3281,1726,1183,0.763257955,0.537561663,0.763257955,0.344717396,0.630830301,,
1,1372,1499,4265,2868,0.323584906,0.477882271,0.323584906,0.739937543,0.385881029,,
2,1,12,9510,481,0.002074689,0.076923077,0.002074689,0.998739761,0.004040404,,
