"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"0",3376,3154,1853,1621,0.6756053632179307,0.5169984686064318,0.6756053632179307,0.3700818853604953,0.5857551834822591,,
"1",1542,1931,3833,2698,0.36367924528301887,0.44399654477397066,0.36367924528301887,0.6649895905621096,0.39984441851419683,,
"2",0,1,9521,482,0.0,0.0,0.0,0.9998949800462088,NaN,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.49160335865653737,0.034960811859523155
"0",3435,3156,1851,1562,0.6874124474684811,0.5211652253072372,0.6874124474684811,0.36968244457759136,0.59285467725233,,
"1",1509,1903,3861,2731,0.35589622641509433,0.44226260257913247,0.35589622641509433,0.6698473282442748,0.3944066910611605,,
"2",0,1,9521,482,0.0,0.0,0.0,0.9998949800462088,NaN,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.49420231907237105,0.03905253383009766
"0",3304,3049,1958,1693,0.6611967180308185,0.5200692586179757,0.6611967180308185,0.39105252646295185,0.5822026431718061,,
"1",1622,2024,3740,2618,0.38254716981132075,0.4448710916072408,0.38254716981132075,0.648854961832061,0.4113619071772762,,
"2",0,5,9517,482,0.0,0.0,0.0,0.9994749002310439,NaN,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.4924030387844862,0.03919444135788608
"0",3478,3144,1863,1519,0.6960176105663398,0.5252189670794322,0.6960176105663398,0.372079089275015,0.5986745847319047,,
"1",1527,1854,3910,2713,0.3601415094339623,0.45164152617568765,0.3601415094339623,0.6783483691880638,0.4007348117045007,,
"2",1,0,9522,481,0.002074688796680498,1.0,0.002074688796680498,1.0,0.004140786749482402,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5003998400639744,0.05040395822080623
"0",3502,3173,1834,1495,0.7008204922953772,0.5246441947565543,0.7008204922953772,0.3662871979229079,0.6000685400959562,,
"1",1495,1832,3932,2745,0.35259433962264153,0.4493537721671175,0.35259433962264153,0.6821651630811936,0.3951367781155015,,
"2",0,2,9520,482,0.0,0.0,0.0,0.9997899600924176,NaN,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.499500199920032,0.04803657225167468
"0",3445,3064,1943,1552,0.6894136481889134,0.5292671685358734,0.6894136481889134,0.38805672059117235,0.5988180079958282,,
"1",1597,1893,3871,2643,0.3766509433962264,0.45759312320916906,0.3766509433962264,0.6715822345593337,0.4131953428201811,,
"2",0,5,9517,482,0.0,0.0,0.0,0.9994749002310439,NaN,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5039984006397441,0.05904108752133208
"0",3489,3115,1892,1508,0.6982189313588153,0.5283161720169595,0.6982189313588153,0.37787098062712204,0.6014998707008017,,
"1",1559,1836,3928,2681,0.36768867924528303,0.4592047128129602,0.36768867924528303,0.6814712005551701,0.4083824492468893,,
"2",1,4,9518,481,0.002074688796680498,0.2,0.002074688796680498,0.9995799201848351,0.004106776180698152,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5046981207516993,0.05908586395611548
"0",3519,3083,1924,1478,0.7042225335201121,0.5330202968797334,0.7042225335201121,0.384262033153585,0.606776446245366,,
"1",1561,1836,3928,2679,0.36816037735849055,0.4595231086252576,0.36816037735849055,0.6814712005551701,0.4087992667277727,,
"2",0,5,9517,482,0.0,0.0,0.0,0.9994749002310439,NaN,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.507796881247501,0.06499938159747987
"0",3471,3085,1922,1526,0.6946167700620373,0.5294386821232459,0.6946167700620373,0.38386259237068104,0.6008828875616723,,
"1",1577,1865,3899,2663,0.37193396226415093,0.458163858221964,0.37193396226415093,0.676439972241499,0.4105701640197865,,
"2",0,6,9516,482,0.0,0.0,0.0,0.9993698802772527,NaN,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5045981607357057,0.05961165275412994
"0",3521,3083,1924,1476,0.7046227736641986,0.5331617201695942,0.7046227736641986,0.384262033153585,0.6070166364968537,,
"1",1574,1822,3942,2666,0.3712264150943396,0.4634864546525324,0.3712264150943396,0.6839000693962526,0.41225772655840753,,
"2",0,4,9518,482,0.0,0.0,0.0,0.9995799201848351,NaN,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.509296281487405,0.06775438952171708
