"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"0",5060,4591,2919,2436,0.6750266808964781,0.5242980002072324,0.6750266808964781,0.38868175765645807,0.5901907039132208,,
"1",2434,2911,5736,3925,0.3827645856266709,0.45537885874649203,0.3827645856266709,0.6633514513704175,0.4159261790840738,,
"2",0,10,14272,724,0.0,0.0,0.0,0.9992998179526676,NaN,,
"3",0,0,14698,308,0.0,,0.0,1.0,,,
"4",0,0,14950,56,0.0,,0.0,1.0,,,
"5",0,0,14974,32,0.0,,0.0,1.0,,,
"6",0,0,14984,22,0.0,,0.0,1.0,,,
"7",0,0,15003,3,0.0,,0.0,1.0,,,
"8",0,0,15003,3,0.0,,0.0,1.0,,,
"9",0,0,15003,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.49940023990403837,0.051455492128095415
"0",5279,4558,2952,2217,0.7042422625400213,0.536647351834909,0.7042422625400213,0.3930758988015979,0.6091270985980499,,
"1",2476,2691,5956,3883,0.3893693977040415,0.479194890652216,0.3893693977040415,0.6887938013183763,0.4296373416623287,,
"2",0,2,14280,724,0.0,0.0,0.0,0.9998599635905335,NaN,,
"3",0,0,14698,308,0.0,,0.0,1.0,,,
"4",0,0,14950,56,0.0,,0.0,1.0,,,
"5",0,0,14974,32,0.0,,0.0,1.0,,,
"6",0,0,14984,22,0.0,,0.0,1.0,,,
"7",0,0,15003,3,0.0,,0.0,1.0,,,
"8",0,0,15003,3,0.0,,0.0,1.0,,,
"9",0,0,15003,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5167932826869253,0.08243118478818845
"0",5162,4353,3157,2334,0.6886339381003201,0.5425118234366789,0.6886339381003201,0.4203728362183755,0.606901416730351,,
"1",2651,2831,5816,3708,0.41688944802641925,0.48358263407515506,0.41688944802641925,0.672603214987857,0.4477662359598007,,
"2",2,7,14275,722,0.0027624309392265192,0.2222222222222222,0.0027624309392265192,0.9995098725668674,0.005457025920873124,,
"3",0,0,14698,308,0.0,,0.0,1.0,,,
"4",0,0,14950,56,0.0,,0.0,1.0,,,
"5",0,0,14974,32,0.0,,0.0,1.0,,,
"6",0,0,14984,22,0.0,,0.0,1.0,,,
"7",0,0,15003,3,0.0,,0.0,1.0,,,
"8",0,0,15003,3,0.0,,0.0,1.0,,,
"9",0,0,15003,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5207916833266694,0.09312534846696219
"0",5494,4469,3041,2002,0.7329242262540021,0.551440329218107,0.7329242262540021,0.4049267643142477,0.6293602153617045,,
"1",2556,2485,6162,3803,0.40194999213712845,0.5070422535211268,0.40194999213712845,0.7126170926332832,0.4484210526315789,,
"2",0,2,14280,724,0.0,0.0,0.0,0.9998599635905335,NaN,,
"3",0,0,14698,308,0.0,,0.0,1.0,,,
"4",0,0,14950,56,0.0,,0.0,1.0,,,
"5",0,0,14974,32,0.0,,0.0,1.0,,,
"6",0,0,14984,22,0.0,,0.0,1.0,,,
"7",0,0,15003,3,0.0,,0.0,1.0,,,
"8",0,0,15003,3,0.0,,0.0,1.0,,,
"9",0,0,15003,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5364520858323337,0.11869688253958932
"0",5650,4476,3034,1846,0.753735325506937,0.557969583251037,0.753735325506937,0.40399467376830894,0.641243899670866,,
"1",2541,2338,6309,3818,0.39959113068092467,0.5208034433285509,0.39959113068092467,0.7296172082803284,0.45221569674319273,,
"2",0,1,14281,724,0.0,0.0,0.0,0.9999299817952668,NaN,,
"3",0,0,14698,308,0.0,,0.0,1.0,,,
"4",0,0,14950,56,0.0,,0.0,1.0,,,
"5",0,0,14974,32,0.0,,0.0,1.0,,,
"6",0,0,14984,22,0.0,,0.0,1.0,,,
"7",0,0,15003,3,0.0,,0.0,1.0,,,
"8",0,0,15003,3,0.0,,0.0,1.0,,,
"9",0,0,15003,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5458483273357324,0.13516672895740445
"0",5608,4257,3253,1888,0.7481323372465315,0.5684744044602129,0.7481323372465315,0.43315579227696405,0.6460457346927021,,
"1",2751,2385,6262,3608,0.43261519106777796,0.5356308411214953,0.43261519106777796,0.7241817971550827,0.4786428882122662,,
"2",1,3,14279,723,0.0013812154696132596,0.25,0.0013812154696132596,0.9997899453858003,0.002747252747252747,,
"3",1,0,14698,307,0.003246753246753247,1.0,0.003246753246753247,1.0,0.006472491909385114,,
"4",0,0,14950,56,0.0,,0.0,1.0,,,
"5",0,0,14974,32,0.0,,0.0,1.0,,,
"6",0,0,14984,22,0.0,,0.0,1.0,,,
"7",0,0,15003,3,0.0,,0.0,1.0,,,
"8",0,0,15003,3,0.0,,0.0,1.0,,,
"9",0,0,15003,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5571771291483406,0.1590137648832366
"0",5703,4218,3292,1793,0.7608057630736392,0.574841245842153,0.7608057630736392,0.4383488681757656,0.6548774186139978,,
"1",2789,2292,6355,3570,0.43859097342349423,0.5489076953355638,0.43859097342349423,0.7349369723603562,0.4875874125874125,,
"2",0,4,14278,724,0.0,0.0,0.0,0.9997199271810671,NaN,,
"3",0,0,14698,308,0.0,,0.0,1.0,,,
"4",0,0,14950,56,0.0,,0.0,1.0,,,
"5",0,0,14974,32,0.0,,0.0,1.0,,,
"6",0,0,14984,22,0.0,,0.0,1.0,,,
"7",0,0,15003,3,0.0,,0.0,1.0,,,
"8",0,0,15003,3,0.0,,0.0,1.0,,,
"9",0,0,15003,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5659069705451153,0.17510795954860303
"0",5797,4157,3353,1699,0.7733457844183564,0.5823789431384369,0.7733457844183564,0.44647137150466043,0.6644126074498568,,
"1",2832,2219,6428,3527,0.4453530429312785,0.5606810532567809,0.4453530429312785,0.7433792066612698,0.4964066608238387,,
"2",0,1,14281,724,0.0,0.0,0.0,0.9999299817952668,NaN,,
"3",0,0,14698,308,0.0,,0.0,1.0,,,
"4",0,0,14950,56,0.0,,0.0,1.0,,,
"5",0,0,14974,32,0.0,,0.0,1.0,,,
"6",0,0,14984,22,0.0,,0.0,1.0,,,
"7",0,0,15003,3,0.0,,0.0,1.0,,,
"8",0,0,15003,3,0.0,,0.0,1.0,,,
"9",0,0,15003,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5750366520058643,0.1920857087045741
"0",5833,4036,3474,1663,0.7781483457844184,0.591042658830682,0.7781483457844184,0.4625832223701731,0.6718111143103945,,
"1",2949,2186,6461,3410,0.4637521622896682,0.5742940603700097,0.4637521622896682,0.7471955591534636,0.5131372890203585,,
"2",0,2,14280,724,0.0,0.0,0.0,0.9998599635905335,NaN,,
"3",0,0,14698,308,0.0,,0.0,1.0,,,
"4",0,0,14950,56,0.0,,0.0,1.0,,,
"5",0,0,14974,32,0.0,,0.0,1.0,,,
"6",0,0,14984,22,0.0,,0.0,1.0,,,
"7",0,0,15003,3,0.0,,0.0,1.0,,,
"8",0,0,15003,3,0.0,,0.0,1.0,,,
"9",0,0,15003,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5852325736372118,0.212149898328596
"0",5908,4013,3497,1588,0.7881536819637139,0.595504485434936,0.7881536819637139,0.46564580559254326,0.6784176379399437,,
"1",2961,2121,6526,3398,0.46563925145463125,0.5826446280991735,0.46563925145463125,0.7547126170926333,0.5176120968446813,,
"2",0,3,14279,724,0.0,0.0,0.0,0.9997899453858003,NaN,,
"3",0,0,14698,308,0.0,,0.0,1.0,,,
"4",0,0,14950,56,0.0,,0.0,1.0,,,
"5",0,0,14974,32,0.0,,0.0,1.0,,,
"6",0,0,14984,22,0.0,,0.0,1.0,,,
"7",0,0,15003,3,0.0,,0.0,1.0,,,
"8",0,0,15003,3,0.0,,0.0,1.0,,,
"9",0,0,15003,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5910302545648407,0.2228119136550908
