row ID,TruePositives,FalsePositives,TrueNegatives,FalseNegatives,Recall,Precision,Sensitivity,Specifity,F-measure,Accuracy,Cohen's kappa
0,3385,3234,1773,1612,0.677406444,0.511406557,0.677406444,0.354104254,0.582816804,,
1,1487,1895,3869,2753,0.350707547,0.439680662,0.350707547,0.671235253,0.390186303,,
2,0,3,9519,482,0,0,0,0.99968494,NaN,,
3,0,0,9799,205,0,,0,1,,,
4,0,0,9967,37,0,,0,1,,,
5,0,0,9982,22,0,,0,1,,,
6,0,0,9990,14,0,,0,1,,,
7,0,0,10001,3,0,,0,1,,,
8,0,0,10002,2,0,,0,1,,,
9,0,0,10002,2,0,,0,1,,,
Overall,,,,,,,,,,0.487005198,0.025125804
0,3416,3129,1878,1581,0.683610166,0.521925134,0.683610166,0.375074895,0.591925143,,
1,1558,1901,3863,2682,0.36745283,0.450419196,0.36745283,0.67019431,0.404727887,,
2,0,0,9522,482,0,,0,1,,,
3,0,0,9799,205,0,,0,1,,,
4,0,0,9967,37,0,,0,1,,,
5,0,0,9982,22,0,,0,1,,,
6,0,0,9990,14,0,,0,1,,,
7,0,0,10001,3,0,,0,1,,,
8,0,0,10002,2,0,,0,1,,,
9,0,0,10002,2,0,,0,1,,,
Overall,,,,,,,,,,0.49720112,0.045312832
0,3518,3192,1815,1479,0.704022413,0.524292101,0.704022413,0.36249251,0.601007944,,
1,1512,1779,3985,2728,0.356603774,0.459434822,0.356603774,0.691360167,0.4015403,,
2,1,2,9520,481,0.002074689,0.333333333,0.002074689,0.99978996,0.004123711,,
3,0,0,9799,205,0,,0,1,,,
4,0,0,9967,37,0,,0,1,,,
5,0,0,9982,22,0,,0,1,,,
6,0,0,9990,14,0,,0,1,,,
7,0,0,10001,3,0,,0,1,,,
8,0,0,10002,2,0,,0,1,,,
9,0,0,10002,2,0,,0,1,,,
Overall,,,,,,,,,,0.50289884,0.05409213
0,3425,3093,1914,1572,0.685411247,0.525467935,0.685411247,0.382264829,0.594876248,,
1,1601,1885,3879,2639,0.37759434,0.459265634,0.37759434,0.67297016,0.414444732,,
2,0,0,9522,482,0,,0,1,,,
3,0,0,9799,205,0,,0,1,,,
4,0,0,9967,37,0,,0,1,,,
5,0,0,9982,22,0,,0,1,,,
6,0,0,9990,14,0,,0,1,,,
7,0,0,10001,3,0,,0,1,,,
8,0,0,10002,2,0,,0,1,,,
9,0,0,10002,2,0,,0,1,,,
Overall,,,,,,,,,,0.50239904,0.055548595
0,3471,3144,1863,1526,0.69461677,0.524716553,0.69461677,0.372079089,0.597829831,,
1,1530,1856,3908,2710,0.360849057,0.451860602,0.360849057,0.678001388,0.401258851,,
2,1,2,9520,481,0.002074689,0.333333333,0.002074689,0.99978996,0.004123711,,
3,0,0,9799,205,0,,0,1,,,
4,0,0,9967,37,0,,0,1,,,
5,0,0,9982,22,0,,0,1,,,
6,0,0,9990,14,0,,0,1,,,
7,0,0,10001,3,0,,0,1,,,
8,0,0,10002,2,0,,0,1,,,
9,0,0,10002,2,0,,0,1,,,
Overall,,,,,,,,,,0.5,0.04987522
0,3532,3094,1913,1465,0.706824094,0.533051615,0.706824094,0.382065109,0.607760475,,
1,1570,1805,3959,2670,0.370283019,0.465185185,0.370283019,0.68684941,0.412344058,,
2,0,3,9519,482,0,0,0,0.99968494,NaN,,
3,0,0,9799,205,0,,0,1,,,
4,0,0,9967,37,0,,0,1,,,
5,0,0,9982,22,0,,0,1,,,
6,0,0,9990,14,0,,0,1,,,
7,0,0,10001,3,0,,0,1,,,
8,0,0,10002,2,0,,0,1,,,
9,0,0,10002,2,0,,0,1,,,
