"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"0",578,395,363,164,0.7789757412398922,0.5940390544707091,0.7789757412398922,0.4788918205804749,0.6740524781341107,,
"1",322,205,654,319,0.5023400936037441,0.6110056925996205,0.5023400936037441,0.7613504074505238,0.5513698630136986,,
"2",0,0,1429,71,0.0,,0.0,1.0,,,
"3",0,0,1468,32,0.0,,0.0,1.0,,,
"4",0,0,1495,5,0.0,,0.0,1.0,,,
"5",0,0,1495,5,0.0,,0.0,1.0,,,
"6",0,0,1500,0,,,,1.0,,,
"7",0,0,1499,1,0.0,,0.0,1.0,,,
"8",0,0,1498,2,0.0,,0.0,1.0,,,
"9",0,0,1499,1,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6,0.243841720949029
"0",1160,797,716,328,0.7795698924731183,0.5927439959121104,0.7795698924731183,0.47323198942498346,0.6734397677793904,,
"1",622,422,1309,648,0.48976377952755906,0.5957854406130269,0.48976377952755906,0.756210283073368,0.5375972342264478,,
"2",0,0,2847,154,0.0,,0.0,1.0,,,
"3",0,0,2933,68,0.0,,0.0,1.0,,,
"4",0,0,2992,9,0.0,,0.0,1.0,,,
"5",0,0,2995,6,0.0,,0.0,1.0,,,
"6",0,0,2996,5,0.0,,0.0,1.0,,,
"7",0,0,3001,0,,,,1.0,,,
"8",0,0,3000,1,0.0,,0.0,1.0,,,
"9",0,0,3001,0,,,,1.0,,,
"Overall",,,,,,,,,,0.5938020659780073,0.23277297794406793
"0",1788,1227,992,494,0.7835232252410167,0.5930348258706468,0.7835232252410167,0.4470482199188824,0.675099112705305,,
"1",866,620,1975,1040,0.45435466946484787,0.5827725437415882,0.45435466946484787,0.7610789980732178,0.5106132075471699,,
"2",0,0,4310,191,0.0,,0.0,1.0,,,
"3",0,0,4417,84,0.0,,0.0,1.0,,,
"4",0,0,4481,20,0.0,,0.0,1.0,,,
"5",0,0,4492,9,0.0,,0.0,1.0,,,
"6",0,0,4496,5,0.0,,0.0,1.0,,,
"7",0,0,4500,1,0.0,,0.0,1.0,,,
"8",0,0,4500,1,0.0,,0.0,1.0,,,
"9",0,0,4499,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5896467451677405,0.21174015344492536
"0",2399,1559,1412,632,0.7914879577697129,0.6061141990904497,0.7914879577697129,0.4752608549309997,0.6865073687222779,,
"1",1214,828,2647,1313,0.48041155520379897,0.594515181194907,0.48041155520379897,0.761726618705036,0.5314073101335084,,
"2",0,1,5725,276,0.0,0.0,0.0,0.9998253580160671,NaN,,
"3",0,1,5873,128,0.0,0.0,0.0,0.9998297582567246,NaN,,
"4",0,0,5982,20,0.0,,0.0,1.0,,,
