"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"0",3201,3062,1945,1796,0.6405843506103662,0.5110969184097078,0.6405843506103662,0.3884561613740763,0.5685612788632327,,
"1",1604,2137,3627,2636,0.37830188679245286,0.42876236300454423,0.37830188679245286,0.6292505204718946,0.4019546422754041,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.4803078768492603,0.017217217841401067
"0",3446,3150,1857,1551,0.6896137682609566,0.5224378411158278,0.6896137682609566,0.3708807669263032,0.5944966790304494,,
"1",1534,1871,3893,2706,0.3617924528301887,0.45051395007342143,0.3617924528301887,0.6753990284524636,0.4013080444735121,,
"2",0,2,9520,482,0.0,0.0,0.0,0.9997899600924176,NaN,,
"3",0,1,9798,205,0.0,0.0,0.0,0.9998979487702827,NaN,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.49780087964814074,0.04596190289805124
"0",3390,3140,1867,1607,0.678407044226536,0.5191424196018377,0.678407044226536,0.37287797084082286,0.5881842630346144,,
"1",1530,1942,3822,2710,0.3608490566037736,0.440668202764977,0.3608490566037736,0.6630811936155447,0.39678423236514526,,
"2",0,2,9520,482,0.0,0.0,0.0,0.9997899600924176,NaN,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.4918032786885246,0.035409053841912286
"0",3285,3056,1951,1712,0.6573944366619972,0.5180570887872575,0.6573944366619972,0.3896544837227881,0.5794672781795732,,
"1",1600,2063,3701,2640,0.37735849056603776,0.4368004368004368,0.37735849056603776,0.642088827203331,0.4049095280273314,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.4883046781287485,0.03125901920020724
"0",3426,3135,1872,1571,0.685611366820092,0.5221764974851395,0.685611366820092,0.3738765727980827,0.5928361308184807,,
"1",1546,1897,3867,2694,0.36462264150943396,0.4490270113273308,0.36462264150943396,0.6708882720333103,0.40244696082259535,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.49700119952019195,0.044713717426390964
"0",3466,3127,1880,1531,0.693616169701821,0.5257090853935993,0.693616169701821,0.3754743359296984,0.5981018119068162,,
"1",1546,1862,3902,2694,0.36462264150943396,0.4536384976525822,0.36462264150943396,0.6769604441360166,0.4042887029288703,,
"2",0,3,9519,482,0.0,0.0,0.0,0.9996849401386263,NaN,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.500999600159936,0.05207445779582798
"0",3400,3103,1904,1597,0.6804082449469682,0.5228356143318469,0.6804082449469682,0.3802676253245456,0.591304347826087,,
"1",1558,1942,3822,2682,0.36745283018867925,0.4451428571428571,0.36745283018867925,0.6630811936155447,0.40258397932816536,,
"2",1,0,9522,481,0.002074688796680498,1.0,0.002074688796680498,1.0,0.004140786749482402,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.4957017193122751,0.04311127609235421
"0",3510,3145,1862,1487,0.7024214528717231,0.5274229902329076,0.7024214528717231,0.371879368883563,0.6024716786817714,,
"1",1517,1831,3933,2723,0.3577830188679245,0.4531063321385902,0.3577830188679245,0.6823386537126995,0.3998418555614128,,
"2",0,1,9521,482,0.0,0.0,0.0,0.9998949800462088,NaN,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5024990003998401,0.05394501382973815
"0",3472,3071,1936,1525,0.6948168901340804,0.5306434357328442,0.6948168901340804,0.3866586778510086,0.601733102253033,,
"1",1581,1880,3884,2659,0.372877358490566,0.4568043917942791,0.372877358490566,0.6738376127689105,0.4105960264900662,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5050979608156737,0.06033391573383462
"0",3457,3073,1934,1540,0.691815089053432,0.5294027565084226,0.691815089053432,0.38625923706810467,0.5998091437494577,,
"1",1581,1891,3873,2659,0.372877358490566,0.45535714285714285,0.372877358490566,0.6719292158223455,0.4100103734439834,,
"2",0,2,9520,482,0.0,0.0,0.0,0.9997899600924176,NaN,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5035985605757697,0.057797278005298325
"0",3801,3684,1323,1196,0.7606563938363018,0.507815631262525,0.7606563938363018,0.26423007789095265,0.6090370132991507,,
"1",1111,1408,4356,3129,0.26202830188679244,0.4410480349344978,0.26202830188679244,0.7557251908396947,0.32874685604379345,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.4910035985605758,0.020319341662430657
"0",3261,2974,2033,1736,0.6525915549329597,0.5230152365677626,0.6525915549329597,0.4060315558218494,0.5806623931623931,,
"1",1693,2071,3693,2547,0.39929245283018866,0.4497874601487779,0.39929245283018866,0.6407009021512838,0.4230384807596202,,
"2",0,3,9519,482,0.0,0.0,0.0,0.9996849401386263,NaN,,
"3",0,2,9797,205,0.0,0.0,0.0,0.9997958975405654,NaN,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.49520191923230705,0.046113849788638195
"0",3410,3225,1782,1587,0.6824094456674005,0.5139412207987942,0.6824094456674005,0.3559017375674056,0.5863136176066025,,
"1",1468,1900,3864,2772,0.3462264150943396,0.4358669833729216,0.3462264150943396,0.6703678001387925,0.38590956887486855,,
"2",0,1,9521,482,0.0,0.0,0.0,0.9998949800462088,NaN,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.48760495801679327,0.025902513441244945
"0",3452,3191,1816,1545,0.6908144886932159,0.519644738822821,0.6908144886932159,0.3626922308767725,0.5931271477663231,,
"1",1485,1874,3890,2755,0.35023584905660377,0.4420958618636499,0.35023584905660377,0.6748785565579458,0.39084090011843664,,
"2",0,1,9521,482,0.0,0.0,0.0,0.9998949800462088,NaN,,
"3",0,1,9798,205,0.0,0.0,0.0,0.9998979487702827,NaN,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.4935025989604158,0.03707735964474668
"0",3490,3123,1884,1507,0.6984190514308585,0.527748374414033,0.6984190514308585,0.3762732174955063,0.6012058570198104,,
"1",1533,1855,3909,2707,0.3615566037735849,0.4524793388429752,0.3615566037735849,0.6781748785565579,0.40194022024121656,,
"2",0,3,9519,482,0.0,0.0,0.0,0.9996849401386263,NaN,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
