"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"0",4461,3493,4017,3035,0.5951173959445037,0.560849886849384,0.5951173959445037,0.5348868175765645,0.5774757281553398,,
"1",2980,3108,5539,3379,0.4686271426324894,0.4894875164257556,0.4686271426324894,0.6405689834624725,0.47883024021852655,,
"2",99,451,13831,625,0.13674033149171272,0.18,0.13674033149171272,0.968421789665313,0.15541601255886972,,
"3",40,253,14445,268,0.12987012987012986,0.13651877133105803,0.12987012987012986,0.982786773710709,0.13311148086522462,,
"4",6,40,14910,50,0.10714285714285714,0.13043478260869565,0.10714285714285714,0.9973244147157191,0.11764705882352941,,
"5",5,30,14944,27,0.15625,0.14285714285714285,0.15625,0.997996527314011,0.14925373134328357,,
"6",4,28,14956,18,0.18181818181818182,0.125,0.18181818181818182,0.9981313400961025,0.14814814814814814,,
"7",1,7,14996,2,0.3333333333333333,0.125,0.3333333333333333,0.9995334266480037,0.18181818181818182,,
"8",0,0,15003,3,0.0,,0.0,1.0,,,
"9",0,0,15003,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5061975209916033,0.11995160252450976
"0",5029,3217,4293,2467,0.6708911419423693,0.6098714528256124,0.6708911419423693,0.5716378162450066,0.6389277093126667,,
"1",3224,2565,6082,3135,0.5069979556534047,0.5569182933149076,0.5069979556534047,0.7033653290158437,0.5307869608165954,,
"2",177,402,13880,547,0.24447513812154695,0.30569948186528495,0.24447513812154695,0.9718526816972413,0.27168073676132004,,
"3",87,210,14488,221,0.2824675324675325,0.29292929292929293,0.2824675324675325,0.985712341815213,0.287603305785124,,
"4",17,38,14912,39,0.30357142857142855,0.3090909090909091,0.30357142857142855,0.9974581939799331,0.3063063063063063,,
"5",10,19,14955,22,0.3125,0.3448275862068966,0.3125,0.9987311339655403,0.3278688524590164,,
"6",3,1,14983,19,0.13636363636363635,0.75,0.13636363636363635,0.9999332621462894,0.23076923076923075,,
"7",1,2,15001,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.999866693328001,0.3333333333333333,,
"8",3,1,15002,0,1.0,0.75,1.0,0.9999333466640006,0.8571428571428571,,
