"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"0",2771,2369,2638,2226,0.5545327196317791,0.5391050583657587,0.5545327196317791,0.5268623926502896,0.5467100720134163,,
"1",2103,2509,3255,2137,0.49599056603773584,0.4559843885516045,0.49599056603773584,0.5647120055517002,0.47514685946678714,,
"2",9,173,9349,473,0.01867219917012448,0.04945054945054945,0.01867219917012448,0.9818315479941189,0.02710843373493976,,
"3",4,66,9733,201,0.01951219512195122,0.05714285714285714,0.01951219512195122,0.993264618838657,0.029090909090909094,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.4885045981607357,0.06481754462975431
"0",3422,1949,3058,1575,0.6848108865319191,0.6371253025507354,0.6848108865319191,0.6107449570601159,0.6601080246913581,,
"1",2296,2049,3715,1944,0.5415094339622641,0.5284234752589183,0.5415094339622641,0.6445176960444136,0.5348864298194526,,
"2",24,206,9316,458,0.04979253112033195,0.10434782608695652,0.04979253112033195,0.9783658895190086,0.06741573033707864,,
"3",3,55,9744,202,0.014634146341463415,0.05172413793103448,0.014634146341463415,0.9943871823655475,0.022813688212927757,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5742702918832467,0.22101499282053494
"0",4171,1346,3661,826,0.8347008204922953,0.7560268261736451,0.8347008204922953,0.7311763531056521,0.7934182994103101,,
"1",2708,1413,4351,1532,0.6386792452830189,0.6571220577529726,0.6386792452830189,0.7548577376821651,0.647769405573496,,
"2",61,228,9294,421,0.12655601659751037,0.21107266435986158,0.12655601659751037,0.9760554505356017,0.15823605706874186,,
"3",2,64,9735,203,0.00975609756097561,0.030303030303030304,0.00975609756097561,0.9934687212980916,0.014760147601476014,,
"4",0,11,9956,37,0.0,0.0,0.0,0.9988963579813385,NaN,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.693922431027589,0.4418860338758879
"0",4929,447,4560,68,0.9863918351010607,0.9168526785714286,0.9863918351010607,0.9107249850209707,0.9503518750602525,,
"1",3672,721,5043,568,0.8660377358490566,0.8358752560892329,0.8660377358490566,0.8749132546842471,0.8506892157998379,,
"2",25,100,9422,457,0.05186721991701245,0.2,0.05186721991701245,0.989498004620878,0.08237232289950577,,
"3",6,93,9706,199,0.02926829268292683,0.06060606060606061,0.02926829268292683,0.9905092356362895,0.03947368421052632,,
"4",0,7,9960,37,0.0,0.0,0.0,0.9992976823517609,NaN,,
"5",1,3,9979,21,0.045454545454545456,0.25,0.045454545454545456,0.9996994590262472,0.07692307692307693,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.8629548180727709,0.748380980937216
"0",4987,64,4943,10,0.9979987992795677,0.98732924173431,0.9979987992795677,0.9872178949470741,0.9926353503184714,,
"1",4210,695,5069,30,0.9929245283018868,0.8583078491335372,0.9929245283018868,0.8794240111034004,0.9207217058501914,,
"3",12,30,9769,193,0.05853658536585366,0.2857142857142857,0.05853658536585366,0.9969384631084804,0.09716599190283401,,
"4",0,6,9961,37,0.0,0.0,0.0,0.9993980134443664,NaN,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.920531787285086,0.8528119362765061
"0",4989,61,4946,8,0.9983990394236542,0.9879207920792079,0.9983990394236542,0.98781705612143,0.9931322782920274,,
