"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"0",735,5,760,0,1.0,0.9932432432432432,1.0,0.9934640522875817,0.9966101694915254,,
"1",659,3,838,0,1.0,0.9954682779456193,1.0,0.9964328180737217,0.9977289931869796,,
"2",67,0,1433,0,1.0,1.0,1.0,1.0,1.0,,
"3",31,0,1469,0,1.0,1.0,1.0,1.0,1.0,,
"4",0,0,1494,6,0.0,,0.0,1.0,,,
"5",0,0,1500,0,,,,1.0,,,
"6",0,0,1498,2,0.0,,0.0,1.0,,,
"7",0,0,1500,0,,,,1.0,,,
"8",0,0,1500,0,,,,1.0,,,
"9",0,0,1500,0,,,,1.0,,,
"Overall",,,,,,,,,,0.9946666666666667,0.9905092724408253
"0",1521,14,1466,0,1.0,0.9908794788273616,1.0,0.9905405405405405,0.9954188481675393,,
"1",1247,24,1728,2,0.9983987189751802,0.981117230527144,0.9983987189751802,0.9863013698630136,0.9896825396825398,,
"2",144,2,2845,10,0.935064935064935,0.9863013698630136,0.935064935064935,0.9992975061468212,0.9600000000000001,,
"3",48,1,2942,10,0.8275862068965517,0.9795918367346939,0.8275862068965517,0.9996602106693849,0.897196261682243,,
"4",0,0,2992,9,0.0,,0.0,1.0,,,
"5",0,0,2995,6,0.0,,0.0,1.0,,,
"6",0,0,2999,2,0.0,,0.0,1.0,,,
"7",0,0,3000,1,0.0,,0.0,1.0,,,
"8",0,0,3001,0,,,,1.0,,,
"9",0,0,3000,1,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.9863378873708764,0.9756761987489871
"0",2273,25,2203,0,1.0,0.9891209747606614,1.0,0.9887791741472173,0.9945307372566179,,
"1",1872,54,2573,2,0.9989327641408752,0.9719626168224299,0.9989327641408752,0.9794442329653598,0.9852631578947368,,
"2",195,5,4279,22,0.8986175115207373,0.975,0.8986175115207373,0.9988328664799253,0.9352517985611511,,
"3",63,2,4401,35,0.6428571428571429,0.9692307692307692,0.6428571428571429,0.9995457642516467,0.7730061349693251,,
"4",12,0,4485,4,0.75,1.0,0.75,1.0,0.8571428571428571,,
"5",0,0,4492,9,0.0,,0.0,1.0,,,
"6",0,0,4490,11,0.0,,0.0,1.0,,,
"7",0,0,4500,1,0.0,,0.0,1.0,,,
"8",0,0,4500,1,0.0,,0.0,1.0,,,
"9",0,0,4500,1,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.9808931348589203,0.9659745326295465
"0",3016,28,2958,0,1.0,0.9908015768725361,1.0,0.9906229068988613,0.9953795379537953,,
"1",2499,203,3300,0,1.0,0.9248704663212435,1.0,0.9420496717099629,0.9609690444145357,,
"2",121,11,5693,177,0.40604026845637586,0.9166666666666666,0.40604026845637586,0.9980715287517532,0.5627906976744186,,
"3",97,0,5864,41,0.7028985507246377,1.0,0.7028985507246377,1.0,0.825531914893617,,
"4",20,2,5976,4,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.9996654399464704,0.8695652173913043,,
"5",5,0,5988,9,0.35714285714285715,1.0,0.35714285714285715,1.0,0.5263157894736842,,
"6",0,0,5991,11,0.0,,0.0,1.0,,,
"7",0,0,6000,2,0.0,,0.0,1.0,,,
"8",0,0,6002,0,,,,1.0,,,
"9",0,0,6002,0,,,,1.0,,,
"Overall",,,,,,,,,,0.9593468843718761,0.9269133026464837
"0",3701,25,3777,0,1.0,0.9932903918411164,1.0,0.9934245134139926,0.9966339033257035,,
"1",3207,411,3884,1,0.9996882793017456,0.8864013266998342,0.9996882793017456,0.9043073341094295,0.9396425432171112,,
"3",149,1,7351,2,0.9867549668874173,0.9933333333333333,0.9867549668874173,0.9998639825897715,0.9900332225913622,,
"4",9,0,7477,17,0.34615384615384615,1.0,0.34615384615384615,1.0,0.5142857142857142,,
"2",0,0,7122,381,0.0,,0.0,1.0,,,
"5",0,0,7489,14,0.0,,0.0,1.0,,,
"6",0,0,7488,15,0.0,,0.0,1.0,,,
"7",0,0,7500,3,0.0,,0.0,1.0,,,
"8",0,0,7501,2,0.0,,0.0,1.0,,,
"9",0,0,7501,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.9417566306810609,0.8938059451694224
"0",4476,17,4510,0,1.0,0.996216336523481,1.0,0.9962447537000221,0.9981045824506634,,
"1",3837,448,4718,0,1.0,0.8954492415402567,1.0,0.9132791327913279,0.9448411721250923,,
"3",189,0,8813,1,0.9947368421052631,1.0,0.9947368421052631,1.0,0.9973614775725593,,
"4",26,1,8971,5,0.8387096774193549,0.9629629629629629,0.8387096774193549,0.9998885421310745,0.896551724137931,,
"5",6,3,8981,13,0.3157894736842105,0.6666666666666666,0.3157894736842105,0.9996660730186999,0.42857142857142855,,
"2",0,0,8570,433,0.0,,0.0,1.0,,,
"6",0,0,8994,9,0.0,,0.0,1.0,,,
"7",0,0,9000,3,0.0,,0.0,1.0,,,
"8",0,0,9001,2,0.0,,0.0,1.0,,,
"9",0,0,9000,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.9479062534710652,0.9050395010641883
"0",5292,22,5190,0,1.0,0.9958599924727136,1.0,0.9957789716039908,0.9979257024325854,,
"1",4414,526,5564,0,1.0,0.8935222672064778,1.0,0.9136288998357964,0.943767372247167,,
"3",206,5,10285,8,0.9626168224299065,0.976303317535545,0.9626168224299065,0.999514091350826,0.9694117647058823,,
"4",21,4,10461,18,0.5384615384615384,0.84,0.5384615384615384,0.999617773530817,0.6562499999999999,,
"5",11,3,10479,11,0.5,0.7857142857142857,0.5,0.9997137950772753,0.6111111111111112,,
"2",0,0,10005,499,0.0,,0.0,1.0,,,
"6",0,0,10488,16,0.0,,0.0,1.0,,,
"7",0,0,10501,3,0.0,,0.0,1.0,,,
"8",0,0,10502,2,0.0,,0.0,1.0,,,
"9",0,0,10501,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.9466869763899467,0.9025485625745653
"0",6037,23,5944,0,1.0,0.9962046204620462,1.0,0.9961454667337021,0.9980987021575597,,
"1",5078,575,6351,0,1.0,0.898284096939678,1.0,0.9169794975454808,0.9464169229335571,,
"3",231,2,11769,2,0.9914163090128756,0.9914163090128756,0.9914163090128756,0.9998300909013678,0.9914163090128756,,
"4",46,0,11954,4,0.92,1.0,0.92,1.0,0.9583333333333334,,
"5",11,1,11974,18,0.3793103448275862,0.9166666666666666,0.3793103448275862,0.9999164926931107,0.5365853658536586,,
"2",0,0,11451,553,0.0,,0.0,1.0,,,
"6",0,0,11986,18,0.0,,0.0,1.0,,,
"7",0,0,12002,2,0.0,,0.0,1.0,,,
"8",0,0,12001,3,0.0,,0.0,1.0,,,
"9",0,0,12003,1,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.9499333555481506,0.9083872700484483
"0",6774,24,6707,0,1.0,0.9964695498676082,1.0,0.9964344079631555,0.9982316534040672,,
"1",5699,685,7121,0,1.0,0.8927005012531328,1.0,0.9122469894952601,0.9433087809318877,,
"3",270,0,13234,1,0.996309963099631,1.0,0.996309963099631,1.0,0.9981515711645101,,
"4",52,1,13452,0,1.0,0.9811320754716981,1.0,0.9999256671374415,0.9904761904761905,,
"2",0,0,12852,653,0.0,,0.0,1.0,,,
"5",0,0,13476,29,0.0,,0.0,1.0,,,
"6",0,0,13486,19,0.0,,0.0,1.0,,,
