"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"0",2785,2447,2560,2212,0.5573344006403842,0.5323012232415902,0.5573344006403842,0.5112842021170362,0.5445302571121321,,
"1",1921,2440,3324,2319,0.4530660377358491,0.44049529924329284,0.4530660377358491,0.5766828591256072,0.4466922450877805,,
"2",21,251,9271,461,0.043568464730290454,0.07720588235294118,0.043568464730290454,0.9736399915984036,0.05570291777188329,,
"3",6,120,9679,199,0.02926829268292683,0.047619047619047616,0.02926829268292683,0.9877538524339218,0.03625377643504532,,
"4",0,13,9954,37,0.0,0.0,0.0,0.9986956957961273,NaN,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.47311075569772093,0.04624129758293072
"0",3068,2251,2756,1929,0.6139683810286172,0.5768001504042113,0.6139683810286172,0.5504293988416217,0.5948041876696394,,
"1",2077,2338,3426,2163,0.48985849056603775,0.47044167610419024,0.48985849056603775,0.5943789035392089,0.4799537839399191,,
"2",21,172,9350,461,0.043568464730290454,0.10880829015544041,0.043568464730290454,0.9819365679479101,0.062222222222222213,,
"3",2,68,9731,203,0.00975609756097561,0.02857142857142857,0.00975609756097561,0.9930605163792223,0.014545454545454547,,
"4",0,7,9960,37,0.0,0.0,0.0,0.9992976823517609,NaN,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.516593362654938,0.11512646162953044
"0",3430,1505,3502,1567,0.686411847108265,0.6950354609929078,0.686411847108265,0.6994208108647892,0.6906967378171568,,
"1",2639,2085,3679,1601,0.6224056603773584,0.5586367485182049,0.6224056603773584,0.6382720333102012,0.5887996430165104,,
"2",27,252,9270,455,0.056016597510373446,0.0967741935483871,0.056016597510373446,0.9735349716446124,0.07095926412614981,,
"3",1,28,9771,204,0.004878048780487805,0.034482758620689655,0.004878048780487805,0.9971425655679151,0.008547008547008548,,
"4",1,30,9937,36,0.02702702702702703,0.03225806451612903,0.02702702702702703,0.996990067221832,0.029411764705882353,,
"5",0,6,9976,22,0.0,0.0,0.0,0.9993989180524945,NaN,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6095561775289884,0.2927278799357642
"0",4905,191,4816,92,0.9815889533720232,0.9625196232339089,0.9815889533720232,0.9618534052326743,0.9719607648865549,,
