"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"0",749,6,745,0,1.0,0.9920529801324504,1.0,0.9920106524633822,0.9960106382978723,,
"1",636,2,862,0,1.0,0.9968652037617555,1.0,0.9976851851851852,0.9984301412872841,,
"2",69,0,1428,3,0.9583333333333334,1.0,0.9583333333333334,1.0,0.9787234042553191,,
"3",30,2,1467,1,0.967741935483871,0.9375,0.967741935483871,0.998638529611981,0.9523809523809523,,
"4",4,1,1493,2,0.6666666666666666,0.8,0.6666666666666666,0.999330655957162,0.7272727272727272,,
"5",1,0,1497,2,0.3333333333333333,1.0,0.3333333333333333,1.0,0.5,,
"6",0,0,1498,2,0.0,,0.0,1.0,,,
"7",0,0,1500,0,,,,1.0,,,
"8",0,0,1500,0,,,,1.0,,,
"9",0,0,1499,1,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.9926666666666667,0.98703588467123
"0",1497,59,1443,2,0.9986657771847899,0.962082262210797,0.9986657771847899,0.9607190412782957,0.9800327332242226,,
"1",1268,70,1659,4,0.9968553459119497,0.9476831091180867,0.9968553459119497,0.9595141700404858,0.9716475095785442,,
"2",75,5,2851,70,0.5172413793103449,0.9375,0.5172413793103449,0.998249299719888,0.6666666666666667,,
"3",22,3,2936,40,0.3548387096774194,0.88,0.3548387096774194,0.9989792446410344,0.5057471264367815,,
"4",2,0,2990,9,0.18181818181818182,1.0,0.18181818181818182,1.0,0.3076923076923077,,
"5",0,0,2995,6,0.0,,0.0,1.0,,,
"6",0,0,2997,4,0.0,,0.0,1.0,,,
"7",0,0,3001,0,,,,1.0,,,
"8",0,0,3000,1,0.0,,0.0,1.0,,,
"9",0,0,3000,1,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.9543485504831722,0.9170835476980805
"0",2181,62,2191,67,0.9701957295373665,0.9723584485064646,0.9701957295373665,0.9724811362627608,0.9712758851035403,,
"1",1888,205,2389,19,0.9900367068694285,0.9020544672718586,0.9900367068694285,0.9209714726291441,0.9440000000000001,,
"2",111,13,4271,106,0.511520737327189,0.8951612903225806,0.511520737327189,0.9969654528478058,0.6510263929618768,,
"3",23,0,4409,69,0.25,1.0,0.25,1.0,0.4,,
"4",7,9,4475,10,0.4117647058823529,0.4375,0.4117647058823529,0.997992863514719,0.42424242424242425,,
"5",0,2,4489,10,0.0,0.0,0.0,0.9995546648853262,NaN,,
"6",0,0,4494,7,0.0,,0.0,1.0,,,
"7",0,0,4500,1,0.0,,0.0,1.0,,,
"8",0,0,4500,1,0.0,,0.0,1.0,,,
"9",0,0,4500,1,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.9353477005109976,0.8830133252114358
"0",2998,21,2983,0,1.0,0.9930440543226234,1.0,0.9930093209054593,0.9965098886488283,,
"1",2543,301,3158,0,1.0,0.8941631504922645,1.0,0.9129806302399538,0.9441247447558938,,
