"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"0",4934,4915,92,63,0.9873924354612768,0.5009645649304498,0.9873924354612768,0.018374276013580985,0.6646908258116665,,
"1",74,81,5683,4166,0.017452830188679245,0.4774193548387097,0.017452830188679245,0.9859472588480223,0.033674630261660975,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5005997600959616,0.004528797897631054
"0",4398,4337,670,599,0.8801280768461076,0.503491700057241,0.8801280768461076,0.13381266227281804,0.6405476259831051,,
"1",550,719,5045,3690,0.12971698113207547,0.43341213553979513,0.12971698113207547,0.8752602359472589,0.19967326193501542,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.4946021591363455,0.009215101054225294
"0",4988,4990,17,9,0.998198919351611,0.49989977951493286,0.998198919351611,0.003395246654683443,0.6661769616026711,,
"1",15,11,5753,4225,0.003537735849056604,0.5769230769230769,0.003537735849056604,0.9980916030534351,0.007032348804500705,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5000999600159935,0.00159062984000502
"0",4997,5006,1,0,1.0,0.49955013495951217,1.0,1.9972039145196724E-4,0.6662666666666667,,
"1",0,1,5763,4240,0.0,0.0,0.0,0.9998265093684942,NaN,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.499500199920032,1.5112560124541652E-5
"0",4997,5004,3,0,1.0,0.49965003499650035,1.0,5.991611743559018E-4,0.6663555140685425,,
"1",1,2,5762,4239,2.358490566037736E-4,0.3333333333333333,2.358490566037736E-4,0.9996530187369882,4.71364600518501E-4,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
