"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"0",718,684,97,1,0.9986091794158554,0.5121255349500713,0.9986091794158554,0.12419974391805377,0.6770391324846771,,
"1",60,38,803,599,0.09104704097116843,0.6122448979591837,0.09104704097116843,0.9548156956004756,0.15852047556142668,,
"2",0,0,1430,70,0.0,,0.0,1.0,,,
"3",0,0,1460,40,0.0,,0.0,1.0,,,
"4",0,0,1491,9,0.0,,0.0,1.0,,,
"5",0,0,1499,1,0.0,,0.0,1.0,,,
"6",0,0,1498,2,0.0,,0.0,1.0,,,
"7",0,0,1500,0,,,,1.0,,,
"8",0,0,1500,0,,,,1.0,,,
"9",0,0,1500,0,,,,1.0,,,
"Overall",,,,,,,,,,0.5186666666666667,0.08016103551954334
"0",1453,957,545,46,0.9693128752501667,0.6029045643153527,0.9693128752501667,0.362849533954727,0.7434126375031979,,
"1",502,89,1631,779,0.3918813427010148,0.8494077834179357,0.3918813427010148,0.9482558139534883,0.5363247863247863,,
"2",0,0,2858,143,0.0,,0.0,1.0,,,
"3",0,0,2939,62,0.0,,0.0,1.0,,,
"4",0,0,2994,7,0.0,,0.0,1.0,,,
"5",0,0,2997,4,0.0,,0.0,1.0,,,
"6",0,0,2997,4,0.0,,0.0,1.0,,,
"7",0,0,3001,0,,,,1.0,,,
"8",0,0,3000,1,0.0,,0.0,1.0,,,
"9",0,0,3001,0,,,,1.0,,,
"Overall",,,,,,,,,,0.6514495168277241,0.3229474111044488
"0",2252,2192,56,1,0.9995561473590768,0.5067506750675067,0.9995561473590768,0.02491103202846975,0.6725399432581752,,
"1",48,9,2581,1863,0.02511773940345369,0.8421052631578947,0.02511773940345369,0.9965250965250966,0.04878048780487805,,
"2",0,0,4285,216,0.0,,0.0,1.0,,,
"3",0,0,4419,82,0.0,,0.0,1.0,,,
"4",0,0,4483,18,0.0,,0.0,1.0,,,
"5",0,0,4487,14,0.0,,0.0,1.0,,,
"6",0,0,4496,5,0.0,,0.0,1.0,,,
"7",0,0,4500,1,0.0,,0.0,1.0,,,
"8",0,0,4501,0,,,,1.0,,,
"9",0,0,4500,1,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5109975560986447,0.02279018345505346
"0",3015,2980,7,0,1.0,0.5029190992493745,1.0,0.002343488449949782,0.6692563817980023,,
"1",0,2,3476,2524,0.0,0.0,0.0,0.9994249568717654,NaN,,
"5",5,0,5992,5,0.5,1.0,0.5,1.0,0.6666666666666666,,
"2",0,0,5722,280,0.0,,0.0,1.0,,,
"3",0,0,5865,137,0.0,,0.0,1.0,,,
"4",0,0,5979,23,0.0,,0.0,1.0,,,
"6",0,0,5992,10,0.0,,0.0,1.0,,,
"7",0,0,6002,0,,,,1.0,,,
"8",0,0,6000,2,0.0,,0.0,1.0,,,
"9",0,0,6001,1,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5031656114628457,0.0025644810925735673
