"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"0",4961,4983,24,36,0.9927956774064439,0.49889380530973454,0.9927956774064439,0.004793289394847214,0.6640787095910583,,
"1",19,41,5723,4221,0.004481132075471698,0.31666666666666665,0.004481132075471698,0.9928868841082582,0.008837209302325582,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.49780087964814074,-0.0024862249161512473
"0",4995,5004,3,2,0.9995997598559135,0.49954995499549953,0.9995997598559135,5.991611743559018E-4,0.6661776473726327,,
"1",1,4,5760,4239,2.358490566037736E-4,0.2,2.358490566037736E-4,0.9993060374739764,4.711425206124853E-4,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.49940023990403837,-1.2414706782259977E-4
"0",4997,5006,1,0,1.0,0.49955013495951217,1.0,1.9972039145196724E-4,0.6662666666666667,,
"5",1,0,9982,21,0.045454545454545456,1.0,0.045454545454545456,1.0,0.08695652173913045,,
"1",0,0,5764,4240,0.0,,0.0,1.0,,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.4996001599360256,2.9901185952618814E-4
"0",4992,5004,3,5,0.9989993996397839,0.49939975990396157,0.9989993996397839,5.991611743559018E-4,0.6659107583538986,,
"1",2,6,5758,4238,4.716981132075472E-4,0.25,4.716981132075472E-4,0.9989590562109646,9.416195856873821E-4,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.49920031987205116,-4.782010506050316E-4
"0",4995,5006,1,2,0.9995997598559135,0.49945005499450057,0.9995997598559135,1.9972039145196724E-4,0.6660888118415789,,
"1",0,1,5763,4240,0.0,0.0,0.0,0.9998265093684942,NaN,,
"5",0,2,9980,22,0.0,0.0,0.0,0.9997996393508315,NaN,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.49930027988804476,-1.8564597904591196E-4
"0",4763,4746,261,234,0.9531719031418852,0.5008938899989483,0.9531719031418852,0.05212702216896345,0.6566937818833587,,
"1",214,278,5486,4026,0.05047169811320755,0.4349593495934959,0.05047169811320755,0.9517696044413602,0.0904480135249366,,
"5",1,2,9980,21,0.045454545454545456,0.3333333333333333,0.045454545454545456,0.9997996393508315,0.08,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.4976009596161535,0.003908541480457051
"0",4995,5000,7,2,0.9995997598559135,0.49974987493746875,0.9995997598559135,0.0013980427401637707,0.6663553895410885,,
"1",1,0,5764,4239,2.358490566037736E-4,1.0,2.358490566037736E-4,1.0,4.715868898844613E-4,,
"5",3,5,9977,19,0.13636363636363635,0.375,0.13636363636363635,0.9994990983770787,0.19999999999999998,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.4997001199520192,0.0012081446885170433
"0",4991,4997,10,6,0.9987992795677406,0.499699639567481,0.9987992795677406,0.0019972039145196726,0.6661327994661328,,
"1",2,3,5761,4238,4.716981132075472E-4,0.4,4.716981132075472E-4,0.9994795281054824,9.422850412249705E-4,,
"5",3,8,9974,19,0.13636363636363635,0.2727272727272727,0.13636363636363635,0.999198557403326,0.1818181818181818,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
