"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"0",749,662,89,0,1.0,0.5308291991495393,1.0,0.118508655126498,0.6935185185185185,,
"1",60,29,835,576,0.09433962264150944,0.6741573033707865,0.09433962264150944,0.9664351851851852,0.16551724137931034,,
"2",0,0,1428,72,0.0,,0.0,1.0,,,
"3",0,0,1469,31,0.0,,0.0,1.0,,,
"4",0,0,1494,6,0.0,,0.0,1.0,,,
"5",0,0,1497,3,0.0,,0.0,1.0,,,
"6",0,0,1498,2,0.0,,0.0,1.0,,,
"7",0,0,1500,0,,,,1.0,,,
"8",0,0,1500,0,,,,1.0,,,
"9",0,0,1499,1,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5393333333333333,0.08803517993378251
"0",1499,1487,15,0,1.0,0.5020093770931011,1.0,0.009986684420772303,0.6684503901895206,,
"1",0,15,1714,1272,0.0,0.0,0.0,0.9913244650086755,NaN,,
"2",0,0,2856,145,0.0,,0.0,1.0,,,
"3",0,0,2939,62,0.0,,0.0,1.0,,,
"4",0,0,2990,11,0.0,,0.0,1.0,,,
"5",0,0,2995,6,0.0,,0.0,1.0,,,
"6",0,0,2997,4,0.0,,0.0,1.0,,,
"7",0,0,3001,0,,,,1.0,,,
"8",0,0,3000,1,0.0,,0.0,1.0,,,
"9",0,0,3000,1,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.4995001666111296,7.548371092553907E-4
"0",2248,2241,12,0,1.0,0.5007796836711963,1.0,0.005326231691078562,0.667359358765029,,
"1",1,3,2591,1906,5.243838489774515E-4,0.25,5.243838489774515E-4,0.9988434849653045,0.0010465724751439038,,
"5",8,0,4491,2,0.8,1.0,0.8,1.0,0.888888888888889,,
"2",0,0,4284,217,0.0,,0.0,1.0,,,
"3",0,0,4409,92,0.0,,0.0,1.0,,,
"4",0,0,4484,17,0.0,,0.0,1.0,,,
"6",0,0,4494,7,0.0,,0.0,1.0,,,
"7",0,0,4500,1,0.0,,0.0,1.0,,,
"8",0,0,4500,1,0.0,,0.0,1.0,,,
"9",0,0,4500,1,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5014441235281049,0.005883550831243367
"0",2998,2924,80,0,1.0,0.5062478892266127,1.0,0.02663115845539281,0.6721973094170404,,
"1",1,77,3382,2542,3.9323633503735744E-4,0.01282051282051282,3.9323633503735744E-4,0.9777392309916161,7.630675314765356E-4,,
"3",2,0,5879,121,0.016260162601626018,1.0,0.016260162601626018,1.0,0.032,,
"2",0,0,5712,290,0.0,,0.0,1.0,,,
"4",0,0,5980,22,0.0,,0.0,1.0,,,
"5",0,0,5989,13,0.0,,0.0,1.0,,,
"6",0,0,5993,9,0.0,,0.0,1.0,,,
"7",0,0,6001,1,0.0,,0.0,1.0,,,
"8",0,0,6001,1,0.0,,0.0,1.0,,,
"9",0,0,6000,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5,0.0032784675413674025
"0",3748,3736,19,0,1.0,0.5008017103153394,1.0,0.005059920106524634,0.6673789173789173,,
"1",1,5,4318,3179,3.1446540880503143E-4,0.16666666666666666,3.1446540880503143E-4,0.9988433957899607,6.277463904582549E-4,,
"5",12,1,7486,4,0.75,0.9230769230769231,0.75,0.9998664351542674,0.8275862068965517,,
"2",0,0,7141,362,0.0,,0.0,1.0,,,
"3",0,0,7349,154,0.0,,0.0,1.0,,,
"4",0,0,7475,28,0.0,,0.0,1.0,,,
"6",0,0,7492,11,0.0,,0.0,1.0,,,
"7",0,0,7503,0,,,,1.0,,,
"8",0,0,7501,2,0.0,,0.0,1.0,,,
"9",0,0,7501,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5012661602025856,0.005295282605855989
"0",4472,3628,878,25,0.9944407382699577,0.5520987654320988,0.9944407382699577,0.19485130936529071,0.7100103199174407,,
"1",793,91,5097,3022,0.20786369593709042,0.8970588235294118,0.20786369593709042,0.9824595219737856,0.33751862098318786,,
"5",19,0,8984,0,1.0,1.0,1.0,1.0,1.0,,
"2",0,0,8569,434,0.0,,0.0,1.0,,,
"3",0,0,8818,185,0.0,,0.0,1.0,,,
"4",0,0,8969,34,0.0,,0.0,1.0,,,
"6",0,0,8990,13,0.0,,0.0,1.0,,,
"7",0,0,9001,2,0.0,,0.0,1.0,,,
"8",0,0,9001,2,0.0,,0.0,1.0,,,
"9",0,0,9001,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5869154726202377,0.18841932011566553
"0",5247,5218,39,0,1.0,0.5013855709507884,1.0,0.007418679855430854,0.6678971486761711,,
"1",2,15,6038,4449,4.4933722758930576E-4,0.11764705882352941,4.4933722758930576E-4,0.9975218899719147,8.952551477170994E-4,,
"5",20,2,10480,2,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9998091967181836,0.9090909090909091,,
"2",0,0,9997,507,0.0,,0.0,1.0,,,
"3",0,0,10288,216,0.0,,0.0,1.0,,,
"4",0,0,10465,39,0.0,,0.0,1.0,,,
"6",0,0,10489,15,0.0,,0.0,1.0,,,
"7",0,0,10502,2,0.0,,0.0,1.0,,,
"8",0,0,10502,2,0.0,,0.0,1.0,,,
"9",0,0,10501,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5016184310738766,0.006496529866204748
"0",5995,5966,42,1,0.9998332221480988,0.5012122732213026,0.9998332221480988,0.006990679094540613,0.6677061870022831,,
"1",4,13,6904,5083,7.863180656575585E-4,0.23529411764705882,7.863180656575585E-4,0.99812057250253,0.0015673981191222572,,
"5",24,2,11976,2,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9998330272165638,0.9230769230769231,,
"2",0,0,11425,579,0.0,,0.0,1.0,,,
"3",0,0,11758,246,0.0,,0.0,1.0,,,
"4",0,0,11959,45,0.0,,0.0,1.0,,,
"6",0,0,11986,18,0.0,,0.0,1.0,,,
"7",0,0,12002,2,0.0,,0.0,1.0,,,
"8",0,0,12002,2,0.0,,0.0,1.0,,,
"9",0,0,12001,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5017494168610463,0.006844323900285665
"0",6746,6729,30,0,1.0,0.5006307977736549,1.0,0.004438526409232135,0.6672271401018743,,
"1",2,1,7781,5721,3.4946706272933774E-4,0.6666666666666666,3.4946706272933774E-4,0.9998714983294783,6.985679357317499E-4,,
"5",25,2,13474,4,0.8620689655172413,0.9259259259259259,0.8620689655172413,0.9998515880083111,0.8928571428571429,,
"2",0,0,12853,652,0.0,,0.0,1.0,,,
"3",0,0,13228,277,0.0,,0.0,1.0,,,
"4",0,0,13455,50,0.0,,0.0,1.0,,,
"6",0,0,13485,20,0.0,,0.0,1.0,,,
"7",0,0,13503,2,0.0,,0.0,1.0,,,
"8",0,0,13502,3,0.0,,0.0,1.0,,,
"9",0,0,13502,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5015179563124769,0.006003002928243739
"0",7496,7471,39,0,1.0,0.5008351707088929,1.0,0.0051930758988015975,0.6674086275208121,,
"1",3,8,8639,6356,4.7177229124076113E-4,0.2727272727272727,4.7177229124076113E-4,0.9990748236382561,9.419152276295134E-4,,
"5",26,2,14972,6,0.8125,0.9285714285714286,0.8125,0.9998664351542674,0.8666666666666666,,
"2",0,0,14282,724,0.0,,0.0,1.0,,,
"3",0,0,14698,308,0.0,,0.0,1.0,,,
"4",0,0,14950,56,0.0,,0.0,1.0,,,
