"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"win",26684,0,13850,0,1.0,1.0,1.0,1.0,1.0,,
"draw",3869,0,36665,0,1.0,1.0,1.0,1.0,1.0,,
"loss",9981,0,30553,0,1.0,1.0,1.0,1.0,1.0,,
"Overall",,,,,,,,,,1.0,1.0
"win",26684,0,13850,0,1.0,1.0,1.0,1.0,1.0,,
"draw",3869,0,36665,0,1.0,1.0,1.0,1.0,1.0,,
"loss",9981,0,30553,0,1.0,1.0,1.0,1.0,1.0,,
"Overall",,,,,,,,,,1.0,1.0
"win",26684,0,13850,0,1.0,1.0,1.0,1.0,1.0,,
"draw",3869,0,36665,0,1.0,1.0,1.0,1.0,1.0,,
"loss",9981,0,30553,0,1.0,1.0,1.0,1.0,1.0,,
"Overall",,,,,,,,,,1.0,1.0
"win",26684,0,13850,0,1.0,1.0,1.0,1.0,1.0,,
"draw",3869,0,36665,0,1.0,1.0,1.0,1.0,1.0,,
"loss",9981,0,30553,0,1.0,1.0,1.0,1.0,1.0,,
"Overall",,,,,,,,,,1.0,1.0
"win",26684,0,13850,0,1.0,1.0,1.0,1.0,1.0,,
"draw",3869,0,36665,0,1.0,1.0,1.0,1.0,1.0,,
"loss",9981,0,30553,0,1.0,1.0,1.0,1.0,1.0,,
"Overall",,,,,,,,,,1.0,1.0
"win",26684,0,13850,0,1.0,1.0,1.0,1.0,1.0,,
"draw",3869,0,36665,0,1.0,1.0,1.0,1.0,1.0,,
"loss",9981,0,30553,0,1.0,1.0,1.0,1.0,1.0,,
"Overall",,,,,,,,,,1.0,1.0
"win",26684,0,13850,0,1.0,1.0,1.0,1.0,1.0,,
"draw",3869,0,36665,0,1.0,1.0,1.0,1.0,1.0,,
"loss",9981,0,30553,0,1.0,1.0,1.0,1.0,1.0,,
"Overall",,,,,,,,,,1.0,1.0
"win",26684,0,13850,0,1.0,1.0,1.0,1.0,1.0,,
"draw",3869,0,36665,0,1.0,1.0,1.0,1.0,1.0,,
"loss",9981,0,30553,0,1.0,1.0,1.0,1.0,1.0,,
"Overall",,,,,,,,,,1.0,1.0
"win",26684,0,13850,0,1.0,1.0,1.0,1.0,1.0,,
"draw",3869,0,36665,0,1.0,1.0,1.0,1.0,1.0,,
"loss",9981,0,30553,0,1.0,1.0,1.0,1.0,1.0,,
"Overall",,,,,,,,,,1.0,1.0
"win",26684,0,13850,0,1.0,1.0,1.0,1.0,1.0,,
"draw",3869,0,36665,0,1.0,1.0,1.0,1.0,1.0,,
"loss",9981,0,30553,0,1.0,1.0,1.0,1.0,1.0,,
"Overall",,,,,,,,,,1.0,1.0
"win",26684,0,13850,0,1.0,1.0,1.0,1.0,1.0,,
"draw",3869,0,36665,0,1.0,1.0,1.0,1.0,1.0,,
"loss",9981,0,30553,0,1.0,1.0,1.0,1.0,1.0,,
"Overall",,,,,,,,,,1.0,1.0
"win",26684,0,13850,0,1.0,1.0,1.0,1.0,1.0,,
"draw",3869,0,36665,0,1.0,1.0,1.0,1.0,1.0,,
"loss",9981,0,30553,0,1.0,1.0,1.0,1.0,1.0,,
"Overall",,,,,,,,,,1.0,1.0
