"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"win",17193,4937,4297,596,0.9664961493057508,0.7769091730682331,0.9664961493057508,0.46534546242148583,0.8613943235050977,,
"draw",216,248,24195,2364,0.08372093023255814,0.46551724137931033,0.08372093023255814,0.9898539459149859,0.14191852825229961,,
"loss",3486,943,19426,3168,0.5238954012623985,0.7870851207947618,0.5238954012623985,0.9537041582797389,0.6290715510240908,,
"Overall",,,,,,,,,,0.773230211301484,0.4586641684472319
"win",17196,4944,4290,593,0.9666647928495138,0.7766937669376693,0.9666647928495138,0.4645873944119558,0.8613288587242355,,
"draw",215,247,24196,2365,0.08333333333333333,0.4653679653679654,0.08333333333333333,0.9898948574233932,0.14135437212360288,,
"loss",3481,940,19429,3173,0.5231439735497445,0.7873784211716807,0.5231439735497445,0.9538514409151161,0.6286230248306999,,
"Overall",,,,,,,,,,0.7731191947600192,0.458187501323439
"win",17203,4953,4281,586,0.9670582944516274,0.7764488174760787,0.9670582944516274,0.4636127355425601,0.8613343347102266,,
"draw",215,247,24196,2365,0.08333333333333333,0.4653679653679654,0.08333333333333333,0.9898948574233932,0.14135437212360288,,
"loss",3472,933,19436,3182,0.5217914036669672,0.7881952326901248,0.5217914036669672,0.9541951003976631,0.6279048738583959,,
"Overall",,,,,,,,,,0.7730451837323761,0.4576947917177775
"win",17220,4991,4243,569,0.9680139411996177,0.7752915222187204,0.9680139411996177,0.45949750920511157,0.8609999999999999,,
"draw",212,232,24211,2368,0.08217054263565891,0.4774774774774775,0.08217054263565891,0.9905085300495029,0.1402116402116402,,
"loss",3446,922,19447,3208,0.5178839795611662,0.7889194139194139,0.5178839795611662,0.9547351367273799,0.6252948648158229,,
"Overall",,,,,,,,,,0.7726011175665174,0.4554116891537804
"win",17233,5043,4191,556,0.9687447298892574,0.7736128568863351,0.9687447298892574,0.453866146848603,0.8602520903531761,,
"draw",205,225,24218,2375,0.07945736434108527,0.47674418604651164,0.07945736434108527,0.9907949106083541,0.1362126245847176,,
"loss",3405,912,19457,3249,0.5117222723174031,0.7887421820708825,0.5117222723174031,0.9552260788453042,0.6207273721629751,,
"Overall",,,,,,,,,,0.7713059245827628,0.4509038134001472
"win",17261,5143,4091,528,0.970318736297712,0.7704427780753437,0.970318736297712,0.4430366038553173,0.8589057796133656,,
"draw",193,210,24233,2387,0.0748062015503876,0.47890818858560796,0.0748062015503876,0.9914085832344639,0.12939993295340263,,
"loss",3329,887,19482,3325,0.5003005710850617,0.7896110056925996,0.5003005710850617,0.9564534341401149,0.6125114995400184,,
"Overall",,,,,,,,,,0.7690855937534693,0.4427598726971814
"win",17269,5273,3961,520,0.9707684524144135,0.7660810930707125,0.9707684524144135,0.42895819796404594,0.8563635912821403,,
"draw",180,194,24249,2400,0.06976744186046512,0.48128342245989303,0.06976744186046512,0.9920631673689809,0.12186865267433987,,
"loss",3240,867,19502,3414,0.48692515779981965,0.7888970051132214,0.48692515779981965,0.9574353183759635,0.6021745190967381,,
"Overall",,,,,,,,,,0.7656070754542427,0.4312554046146796
