"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"win",26684,1,13849,0,1.0,0.9999625257635376,1.0,0.999927797833935,0.9999812625306826,,
"draw",3869,0,36665,0,1.0,1.0,1.0,1.0,1.0,,
"loss",9980,0,30553,1,0.9998998096383128,1.0,0.9998998096383128,1.0,0.9999499023095035,,
"Overall",,,,,,,,,,0.9999753293531356,0.9999503480727616
"win",26210,6477,7373,474,0.9822365462449408,0.8018478294123046,0.9822365462449408,0.5323465703971119,0.8829226389988378,,
"draw",530,217,36448,3339,0.136986301369863,0.7095046854082999,0.136986301369863,0.9940815491613255,0.22963604852686306,,
"loss",6099,1001,29552,3882,0.6110610159302675,0.8590140845070423,0.6110610159302675,0.9672372598435506,0.71412680756396,,
"Overall",,,,,,,,,,0.8101593723787438,0.5525169250066932
"win",26213,6497,7353,471,0.9823489731674412,0.8013757260776521,0.9823489731674412,0.5309025270758123,0.8826817523655589,,
"draw",524,216,36449,3345,0.13543551305246834,0.7081081081081081,0.13543551305246834,0.994108823128324,0.22738121067476674,,
"loss",6088,996,29557,3893,0.6099589219517082,0.8594014680971203,0.6099589219517082,0.9674009098942821,0.713507178435394,,
"Overall",,,,,,,,,,0.8098139833226428,0.5514280261867127
"win",26220,6540,7310,464,0.9826113026532753,0.8003663003663004,0.9826113026532753,0.527797833935018,0.8821748199986542,,
"draw",520,212,36453,3349,0.13440165417420522,0.7103825136612022,0.13440165417420522,0.9942179189963181,0.22603781786568136,,
"loss",6051,991,29562,3930,0.6062518785692816,0.8592729338256178,0.6062518785692816,0.9675645599450136,0.7109205192974212,,
"Overall",,,,,,,,,,0.8089751813292545,0.5488771195076421
"win",26215,6604,7246,469,0.9824239244491081,0.7987750997897559,0.9824239244491081,0.5231768953068592,0.8811320437624994,,
"draw",498,203,36462,3371,0.12871543034375807,0.7104136947218259,0.12871543034375807,0.9944633846993045,0.21794310722100652,,
"loss",6020,994,29559,3961,0.6031459773569783,0.8582834331337326,0.6031459773569783,0.9674663699145747,0.7084436598999706,,
"Overall",,,,,,,,,,0.8075442838111215,0.544729048052311
"win",26227,6733,7117,457,0.9828736321391096,0.7957220873786408,0.9828736321391096,0.5138628158844766,0.8794514117094763,,
"draw",484,201,36464,3385,0.12509692426983718,0.7065693430656934,0.12509692426983718,0.9945179326333015,0.21256038647342995,,
"loss",5911,978,29575,4070,0.5922252279330729,0.8580345478298738,0.5922252279330729,0.9679900500769155,0.7007705986959099,,
"Overall",,,,,,,,,,0.8048058420091775,0.5366144882692343
"win",26228,6919,6931,456,0.9829111077799431,0.7912631610703834,0.9829111077799431,0.5004332129963899,0.8767361401280273,,
"draw",473,194,36471,3396,0.12225381235461359,0.7091454272863568,0.12225381235461359,0.9947088504022911,0.20855379188712522,,
"loss",5746,974,29579,4235,0.5756938182546839,0.8550595238095238,0.5756938182546839,0.9681209701175008,0.6881025088318065,,
"Overall",,,,,,,,,,0.8004884788079143,0.5241419604440345
