row ID,TruePositives,FalsePositives,TrueNegatives,FalseNegatives,Recall,Precision,Sensitivity,Specifity,F-measure,Accuracy,Cohen's kappa,,
win,16567,4877,4357,1222,0.931305863,0.772570416,0.931305863,0.471843188,0.844544134,,,,
draw,18,36,24407,2562,0.006976744,0.333333333,0.006976744,0.998527186,0.013667426,,,,
loss,3597,1928,18441,3057,0.540577096,0.651040724,0.540577096,0.90534636,0.590688891,,,,
Overall,,,,,,,,,,0.74684528,0.40724393,,10
win,16348,4444,4790,1441,0.918994884,0.786263948,0.918994884,0.518735109,0.847463778,,,,
loss,4009,2222,18147,2645,0.60249474,0.643395924,0.60249474,0.890912661,0.622273962,,,,
draw,0,0,24443,2580,0,,0,1,,,,,
Overall,,,,,,,,,,0.753321245,0.435157668,,100
win,16084,4021,5213,1705,0.904154253,0.8,0.904154253,0.564544076,0.848894284,,,,
loss,4317,2601,17768,2337,0.648782687,0.624024284,0.648782687,0.872305955,0.636162688,,,,
draw,0,0,24443,2580,0,,0,1,,,,,
Overall,,,,,,,,,,0.754949487,0.452030135,,150
win,15929,3754,5480,1860,0.895441003,0.809277041,0.895441003,0.593458956,0.850181469,,,,
loss,4474,2866,17503,2180,0.672377517,0.609536785,0.672377517,0.859295989,0.639416893,,,,
draw,0,0,24443,2580,0,,0,1,,,,,
Overall,,,,,,,,,,0.755023499,0.459966287,,200
win,16077,3928,5306,1712,0.903760751,0.803649088,0.903760751,0.574615551,0.850769963,,,,
loss,4352,2666,17703,2302,0.654042681,0.620119692,0.654042681,0.869114831,0.636629608,,,,
draw,0,0,24443,2580,0,,0,1,,,,,
Overall,,,,,,,,,,0.755985642,0.456201357,,250
win,16164,4022,5212,1625,0.908651414,0.800752997,0.908651414,0.564435781,0.851296906,,,,
loss,4316,2521,17848,2338,0.648632402,0.631271025,0.648632402,0.876233492,0.639833963,,,,
draw,0,0,24443,2580,0,,0,1,,,,,
Overall,,,,,,,,,,0.757872923,0.457067849,,300
win,15974,3908,5326,1815,0.897970656,0.803440298,0.897970656,0.57678146,0.848079424,,,,
loss,4392,2749,17620,2262,0.660054103,0.61503991,0.660054103,0.865040012,0.636752447,,,,
draw,0,0,24443,2580,0,,0,1,,,,,
Overall,,,,,,,,,,0.753654294,0.453290939,,500
win,15972,3768,5466,1817,0.897858227,0.809118541,0.897858227,0.59194282,0.851181753,,,,
loss,4501,2782,17587,2153,0.676435227,0.618014554,0.676435227,0.863419903,0.64590658,,,,
draw,0,0,24443,2580,0,,0,1,,,,,
Overall,,,,,,,,,,0.757613884,0.464650887,,600
win,16121,4005,5229,1668,0.90623419,0.801003677,0.90623419,0.566276803,0.850375841,,,,
loss,4338,2559,17810,2316,0.651938683,0.628969117,0.651938683,0.874367912,0.640247952,,,,
draw,0,0,24443,2580,0,,0,1,,,,,
Overall,,,,,,,,,,0.757095807,0.456440414,,1000
