row ID,TruePositives,FalsePositives,TrueNegatives,FalseNegatives,Recall,Precision,Sensitivity,Specifity,F-measure,Accuracy,Cohen's kappa,,
win,17362,7588,1646,427,0.975996402,0.695871743,0.975996402,0.178254278,0.812466366,,,,
loss,1474,599,19770,5180,0.22152089,0.711046792,0.22152089,0.970592567,0.337802223,,,,
draw,0,0,24443,2580,0,,0,1,,,,,
Overall,,,,,,,,,,0.697035858,0.188457232,,o = 3
win,15972,3768,5466,1817,0.897858227,0.809118541,0.897858227,0.59194282,0.851181753,,,,
loss,4501,2782,17587,2153,0.676435227,0.618014554,0.676435227,0.863419903,0.64590658,,,,
draw,0,0,24443,2580,0,,0,1,,,,,
Overall,,,,,,,,,,0.757613884,0.464650887,,a = 3+108 / 2 = 55
win,16299,3532,5702,1490,0.916240373,0.821895013,0.916240373,0.617500541,0.866507177,,,,
draw,18,32,24411,2562,0.006976744,0.36,0.006976744,0.998690832,0.013688213,,,,
loss,4686,2456,17913,1968,0.704238052,0.656118734,0.704238052,0.879424616,0.679327341,,,,
Overall,,,,,,,,,,0.777226807,0.506761449,,i = 36*3 = 108
win,15998,3289,5945,1791,0.899319804,0.829470628,0.899319804,0.643816331,0.862984141,,,,
draw,133,237,24206,2447,0.051550388,0.359459459,0.051550388,0.990303973,0.090169492,,,,
loss,4701,2665,17704,1953,0.706492335,0.638202552,0.706492335,0.869163926,0.670613409,,,,
Overall,,,,,,,,,,0.770898864,0.503824886,,t = 3+108 = 111
