"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"win",24985,7384,6466,1699,0.9363288862239544,0.7718805029503537,0.9363288862239544,0.4668592057761733,0.8461890166460637,,
"draw",26,38,36627,3843,0.006720082708710261,0.40625,0.006720082708710261,0.998963589254057,0.013221459445715738,,
"loss",5419,2682,27871,4562,0.5429315699829677,0.6689297617578077,0.5429315699829677,0.912218112787615,0.5993805994912067,,
"Overall",,,,,,,,,,0.7507277840824986,0.41338462138251864
"win",24865,6455,7395,1819,0.9318318093239394,0.7939016602809706,0.9318318093239394,0.5339350180505416,0.8573546651955037,,
"loss",6258,2956,27597,3723,0.6269912834385332,0.679183850662036,0.6269912834385332,0.9032500900075279,0.6520448033342016,,
"draw",0,0,36665,3869,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.7678245423595007,0.4667036327390687
"win",24483,5759,8091,2201,0.9175161145255584,0.8095694729184578,0.9175161145255584,0.5841877256317689,0.8601693426553771,,
"loss",6762,3530,27023,3219,0.6774872257288849,0.6570151574038088,0.6774872257288849,0.8844630641835499,0.6670941646524935,,
"draw",0,0,36665,3869,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.7708343612769527,0.48654207656125026
"win",24269,5386,8464,2415,0.9094963273871983,0.8183780138256618,0.9094963273871983,0.6111191335740073,0.8615346385274854,,
"loss",6985,3894,26659,2996,0.6998296763851317,0.6420626895854399,0.6998296763851317,0.8725493404902955,0.6697027804410355,,
"draw",0,0,36665,3869,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.771056397098732,0.4938076262005564
"win",24538,5606,8244,2146,0.9195772747713986,0.814026008492569,0.9195772747713986,0.5952346570397112,0.8635883719293306,,
"loss",6879,3511,27042,3102,0.689209498046288,0.6620789220404235,0.689209498046288,0.8850849343763296,0.675371852142752,,
"draw",0,0,36665,3869,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.7750777125376227,0.49717195580314455
"win",24581,5727,8123,2103,0.9211887273272373,0.8110399894417315,0.9211887273272373,0.5864981949458484,0.8626122964626616,,
"loss",6801,3425,27128,3180,0.6813946498346859,0.6650694308625074,0.6813946498346859,0.8878997152489118,0.67313307269758,,
"draw",0,0,36665,3869,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.7742142398973701,0.493353217933893
"win",24398,5305,8545,2286,0.9143306850547145,0.8213985119348214,0.9143306850547145,0.6169675090252708,0.8653767712415982,,
"loss",7125,3706,26847,2856,0.7138563270213405,0.6578339950143107,0.7138563270213405,0.8787025823978005,0.6847011339611763,,
"draw",0,0,36665,3869,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.777692801105245,0.5079497831900459
"win",24401,5550,8300,2283,0.9144431119772148,0.8146973389870121,0.9144431119772148,0.5992779783393501,0.8616932991966099,,
"loss",6924,3659,26894,3057,0.6937180643222122,0.6542568269866768,0.6937180643222122,0.8802408928746768,0.6734098424431044,,
"draw",0,0,36665,3869,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.7728080130261016,0.49431598814533495
"win",24662,5647,8203,2022,0.9242242542347474,0.8136857039163284,0.9242242542347474,0.592274368231047,0.8654396153913638,,
"loss",6900,3325,27228,3081,0.6913134956417193,0.6748166259168704,0.6913134956417193,0.891172716263542,0.6829654558052064,,
"draw",0,0,36665,3869,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.778654956332955,0.5033065312162108
