"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"win",16423,5240,3994,1366,0.9232109730732475,0.7581129114157781,0.9232109730732475,0.4325319471518302,0.8325560174389133,,
"draw",355,489,23954,2225,0.1375968992248062,0.4206161137440758,0.1375968992248062,0.979994272388823,0.20735981308411214,,
"loss",2916,1600,18769,3738,0.4382326420198377,0.645704162976085,0.4382326420198377,0.9214492611321126,0.5221128021486123,,
"Overall",,,,,,,,,,0.7287865892017911,0.366543986456936
"win",16302,4387,4847,1487,0.9164090168081399,0.7879549519068104,0.9164090168081399,0.524907948884557,0.8473413379073756,,
"draw",381,506,23937,2199,0.14767441860465116,0.4295377677564825,0.14767441860465116,0.9792987767458986,0.21978655898471297,,
"loss",3600,1847,18522,3054,0.5410279531109107,0.6609142647328805,0.5410279531109107,0.9093229908193824,0.5949921494091397,,
"Overall",,,,,,,,,,0.7505828368426896,0.4372871444279075
"win",16300,3908,5326,1489,0.9162965877789645,0.8066112430720507,0.9162965877789645,0.5767814598223955,0.8579624707213727,,
"draw",421,537,23906,2159,0.1631782945736434,0.4394572025052192,0.1631782945736434,0.9780305199852719,0.23798756359525156,,
"loss",3977,1880,18489,2677,0.5976856026450256,0.6790165613795458,0.5976856026450256,0.9077028818302322,0.6357605307329549,,
"Overall",,,,,,,,,,0.7659401250786367,0.4809870100780522
"win",16313,3708,5526,1476,0.9170273764686042,0.8147944658108985,0.9170273764686042,0.5984405458089669,0.8628934144406243,,
"draw",430,526,23917,2150,0.16666666666666666,0.4497907949790795,0.16666666666666666,0.9784805465777523,0.2432126696832579,,
"loss",4175,1871,18498,2479,0.6274421400661256,0.6905391994707244,0.6274421400661256,0.9081447297363641,0.6574803149606299,,
"Overall",,,,,,,,,,0.7740813381193797,0.5021750136958483
"win",16346,3558,5676,1443,0.9188824554499971,0.821241961414791,0.9188824554499971,0.6146848602988954,0.8673228450906003,,
"draw",438,521,23922,2142,0.1697674418604651,0.456725755995829,0.1697674418604651,0.9786851041197889,0.24752755015541114,,
"loss",4304,1856,18513,2350,0.6468289750526,0.6987012987012987,0.6468289750526,0.9088811429132505,0.6717652567504291,,
"Overall",,,,,,,,,,0.7803722754690449,0.5179503108937341
