"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"win",24769,7632,6218,1915,0.9282341478039274,0.7644517144532577,0.9282341478039274,0.44895306859205775,0.8384192265380384,,
"draw",708,664,36001,3161,0.18299302145257174,0.5160349854227405,0.18299302145257174,0.9818900859129961,0.2701774470520893,,
"loss",4412,2349,28204,5569,0.4420398757639515,0.6525661884336637,0.4420398757639515,0.9231172061663339,0.5270576991996176,,
"Overall",,,,,,,,,,0.7373809641288794,0.38850923862595677
"win",24641,6301,7549,2043,0.9234372657772448,0.7963609333591881,0.9234372657772448,0.5450541516245487,0.8552042480824628,,
"draw",781,649,36016,3088,0.20186094598087362,0.5461538461538461,0.20186094598087362,0.9822991954179735,0.29477259860351007,,
"loss",5510,2652,27901,4471,0.5520488928965034,0.6750796373437883,0.5520488928965034,0.913200013092004,0.607396792151243,,
"Overall",,,,,,,,,,0.7631124488084078,0.46709548938176915
"win",24699,5567,8283,1985,0.9256108529455853,0.8160642304896584,0.9256108529455853,0.5980505415162455,0.8673924495171202,,
"draw",841,665,36000,3028,0.21736882915482036,0.5584329349269588,0.21736882915482036,0.9818628119459976,0.3129302325581395,,
"loss",6115,2647,27906,3866,0.6126640617172628,0.6979000228258389,0.6126640617172628,0.9133636631427355,0.6525102705009871,,
"Overall",,,,,,,,,,0.7809493264913406,0.5150276204922779
"win",24779,5145,8705,1905,0.928608904212262,0.8280644298890523,0.928608904212262,0.6285198555956679,0.8754592990390051,,
"draw",876,635,36030,2993,0.22641509433962265,0.5797485109199206,0.22641509433962265,0.9826810309559525,0.32565055762081785,,
"loss",6487,2612,27941,3494,0.6499348762649033,0.7129354874161996,0.6499348762649033,0.9145092134978562,0.6799790356394129,,
"Overall",,,,,,,,,,0.7929639315142843,0.5451476294920237
"win",24884,4847,9003,1800,0.9325438464997752,0.836971511217248,0.9325438464997752,0.6500361010830324,0.8821767260480368,,
"draw",891,594,36071,2978,0.23029206513310932,0.6,0.23029206513310932,0.983799263602891,0.3328352633545013,,
"loss",6778,2540,28013,3203,0.6790902715158802,0.7274093153037132,0.6790902715158802,0.91686577422839,0.7024198144981605,,
"Overall",,,,,,,,,,0.8031035673755366,0.56918962765478
