row ID,TruePositives,FalsePositives,TrueNegatives,FalseNegatives,Recall,Precision,Sensitivity,Specifity,F-measure,Accuracy,Cohen's kappa,,,
0,3639,1795,3212,1358,0.728236942,0.669672433,0.728236942,0.641501897,0.697727926,,,,,
1,2383,1905,3859,1857,0.562028302,0.55573694,0.562028302,0.669500347,0.558864916,,,,,
2,48,148,9374,434,0.099585062,0.244897959,0.099585062,0.984457047,0.14159292,,,,,
3,22,46,9753,183,0.107317073,0.323529412,0.107317073,0.995305643,0.161172161,,,,,
4,0,10,9957,37,0,0,0,0.998996689,NaN,,,,,
5,0,5,9977,22,0,0,0,0.999499098,NaN,,,,,
6,0,2,9988,14,0,0,0,0.9997998,NaN,,,,,
8,0,1,10001,2,0,0,0,0.99990002,NaN,,,,,
7,0,0,10001,3,0,,0,1,,,,,,
9,0,0,10002,2,0,,0,1,,,,,,
Overall,,,,,,,,,,0.608956417,0.283705793,,,10
0,3851,1662,3345,1146,0.770662397,0.698530746,0.770662397,0.668064709,0.73282588,,,,,
1,2557,1745,4019,1683,0.603066038,0.594374709,0.603066038,0.697258848,0.598688832,,,,,
2,35,107,9415,447,0.072614108,0.246478873,0.072614108,0.988762865,0.112179487,,,,,
3,13,24,9775,192,0.063414634,0.351351351,0.063414634,0.99755077,0.107438017,,,,,
4,0,7,9960,37,0,0,0,0.999297682,NaN,,,,,
5,0,2,9980,22,0,0,0,0.999799639,NaN,,,,,
8,0,1,10001,2,0,0,0,0.99990002,NaN,,,,,
6,0,0,9990,14,0,,0,1,,,,,,
7,0,0,10001,3,0,,0,1,,,,,,
9,0,0,10002,2,0,,0,1,,,,,,
Overall,,,,,,,,,,0.645341863,0.345303669,,,20
0,3891,1637,3370,1106,0.7786672,0.703871201,0.7786672,0.673057719,0.739382423,,,,,
1,2584,1696,4068,1656,0.609433962,0.603738318,0.609433962,0.705759889,0.60657277,,,,,
2,36,111,9411,446,0.074688797,0.244897959,0.074688797,0.988342785,0.114467409,,,,,
3,14,26,9773,191,0.068292683,0.35,0.068292683,0.997346668,0.114285714,,,,,
4,0,6,9961,37,0,0,0,0.999398013,NaN,,,,,
5,0,2,9980,22,0,0,0,0.999799639,NaN,,,,,
8,0,1,10001,2,0,0,0,0.99990002,NaN,,,,,
6,0,0,9990,14,0,,0,1,,,,,,
7,0,0,10001,3,0,,0,1,,,,,,
9,0,0,10002,2,0,,0,1,,,,,,
Overall,,,,,,,,,,0.652239104,0.358217482,,,30
0,3936,1561,3446,1061,0.787672604,0.716026924,0.787672604,0.688236469,0.750142939,,,,,
1,2658,1671,4093,1582,0.626886792,0.613998614,0.626886792,0.710097155,0.620375773,,,,,
2,29,102,9420,453,0.060165975,0.221374046,0.060165975,0.989287965,0.094616639,,,,,
3,13,22,9777,192,0.063414634,0.371428571,0.063414634,0.997754873,0.108333333,,,,,
4,0,9,9958,37,0,0,0,0.99909702,NaN,,,,,
5,0,2,9980,22,0,0,0,0.999799639,NaN,,,,,
8,0,1,10001,2,0,0,0,0.99990002,NaN,,,,,
6,0,0,9990,14,0,,0,1,,,,,,
7,0,0,10001,3,0,,0,1,,,,,,
9,0,0,10002,2,0,,0,1,,,,,,
Overall,,,,,,,,,,0.663334666,0.3781869,,,40
