"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"0",4997,5007,0,0,1.0,0.499500199920032,1.0,0.0,0.6662222518498767,,
"1",0,0,5764,4240,0.0,,0.0,1.0,,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.499500199920032,0.0
"0",4169,3294,1713,828,0.834300580348209,0.5586225378534102,0.834300580348209,0.3421210305572199,0.6691813804173355,,
"1",1328,1172,4592,2912,0.3132075471698113,0.5312,0.3132075471698113,0.7966689798750868,0.3940652818991098,,
"2",6,25,9497,476,0.012448132780082987,0.1935483870967742,0.012448132780082987,0.9973745011552195,0.023391812865497075,,
"3",0,4,9795,205,0.0,0.0,0.0,0.9995917950811307,NaN,,
"4",0,6,9961,37,0.0,0.0,0.0,0.9993980134443664,NaN,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5500799680127949,0.13692203246677903
"0",3876,2667,2340,1121,0.7756653992395437,0.5923888124713435,0.7756653992395437,0.46734571599760333,0.6717504332755633,,
"1",1799,1561,4203,2441,0.4242924528301887,0.5354166666666667,0.4242924528301887,0.7291811242192922,0.47342105263157896,,
"2",17,53,9469,465,0.035269709543568464,0.24285714285714285,0.035269709543568464,0.9944339424490654,0.061594202898550714,,
"3",1,17,9782,204,0.004878048780487805,0.05555555555555555,0.004878048780487805,0.9982651290948056,0.008968609865470854,,
"4",0,7,9960,37,0.0,0.0,0.0,0.9992976823517609,NaN,,
"5",0,3,9979,22,0.0,0.0,0.0,0.9996994590262472,NaN,,
"6",0,1,9989,14,0.0,0.0,0.0,0.9998998998998999,NaN,,
"9",0,2,10000,2,0.0,0.0,0.0,0.9998000399920016,NaN,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5690723710515794,0.1878180668525884
"0",3748,2428,2579,1249,0.7500500300180108,0.6068652849740933,0.7500500300180108,0.5150788895546236,0.6709030699006534,,
"1",1930,1686,4078,2310,0.455188679245283,0.5337389380530974,0.455188679245283,0.7074947952810549,0.4913441955193483,,
"2",31,113,9409,451,0.06431535269709543,0.2152777777777778,0.06431535269709543,0.9881327452215921,0.09904153354632587,,
"3",8,42,9757,197,0.03902439024390244,0.16,0.03902439024390244,0.9957138483518726,0.06274509803921569,,
"4",0,8,9959,37,0.0,0.0,0.0,0.9991973512591552,NaN,,
"5",0,3,9979,22,0.0,0.0,0.0,0.9996994590262472,NaN,,
"6",0,5,9985,14,0.0,0.0,0.0,0.9994994994994995,NaN,,
"9",0,2,10000,2,0.0,0.0,0.0,0.9998000399920016,NaN,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5714714114354258,0.20293904410629104
"0",3714,2382,2625,1283,0.7432459475685411,0.609251968503937,0.7432459475685411,0.524266027561414,0.6696114666907059,,
"1",1946,1712,4052,2294,0.4589622641509434,0.5319846910880263,0.4589622641509434,0.7029840388619014,0.49278298303367946,,
"2",32,135,9387,450,0.06639004149377593,0.19161676646706588,0.06639004149377593,0.9858223062381852,0.09861325115562404,,
"3",16,48,9751,189,0.07804878048780488,0.25,0.07804878048780488,0.9951015409735687,0.11895910780669144,,
"4",0,9,9958,37,0.0,0.0,0.0,0.9990970201665497,NaN,,
"5",0,3,9979,22,0.0,0.0,0.0,0.9996994590262472,NaN,,
"6",0,5,9985,14,0.0,0.0,0.0,0.9994994994994995,NaN,,
"9",0,2,10000,2,0.0,0.0,0.0,0.9998000399920016,NaN,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5705717712914834,0.20433688140012263
"0",3568,2239,2768,1429,0.7140284170502301,0.614430859307732,0.7140284170502301,0.5528260435390453,0.660496112550907,,
"1",1964,1776,3988,2276,0.46320754716981133,0.5251336898395722,0.46320754716981133,0.6918806384455239,0.49223057644110274,,
"2",54,226,9296,428,0.11203319502074689,0.19285714285714287,0.11203319502074689,0.9762654904431842,0.14173228346456693,,
"3",35,102,9697,170,0.17073170731707318,0.25547445255474455,0.17073170731707318,0.9895907745688336,0.20467836257309943,,
"4",1,16,9951,36,0.02702702702702703,0.058823529411764705,0.02702702702702703,0.9983947025183104,0.03703703703703704,,
"5",0,15,9967,22,0.0,0.0,0.0,0.9984972951312362,NaN,,
"6",0,6,9984,14,0.0,0.0,0.0,0.9993993993993994,NaN,,
"9",0,2,10000,2,0.0,0.0,0.0,0.9998000399920016,NaN,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5619752099160336,0.20354406540100434
"0",3568,2239,2768,1429,0.7140284170502301,0.614430859307732,0.7140284170502301,0.5528260435390453,0.660496112550907,,
"1",1964,1776,3988,2276,0.46320754716981133,0.5251336898395722,0.46320754716981133,0.6918806384455239,0.49223057644110274,,
"2",54,226,9296,428,0.11203319502074689,0.19285714285714287,0.11203319502074689,0.9762654904431842,0.14173228346456693,,
"3",35,102,9697,170,0.17073170731707318,0.25547445255474455,0.17073170731707318,0.9895907745688336,0.20467836257309943,,
"4",1,16,9951,36,0.02702702702702703,0.058823529411764705,0.02702702702702703,0.9983947025183104,0.03703703703703704,,
"5",0,15,9967,22,0.0,0.0,0.0,0.9984972951312362,NaN,,
"6",0,6,9984,14,0.0,0.0,0.0,0.9993993993993994,NaN,,
"9",0,2,10000,2,0.0,0.0,0.0,0.9998000399920016,NaN,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5619752099160336,0.20354406540100434
"0",3568,2239,2768,1429,0.7140284170502301,0.614430859307732,0.7140284170502301,0.5528260435390453,0.660496112550907,,
"1",1964,1776,3988,2276,0.46320754716981133,0.5251336898395722,0.46320754716981133,0.6918806384455239,0.49223057644110274,,
"2",54,226,9296,428,0.11203319502074689,0.19285714285714287,0.11203319502074689,0.9762654904431842,0.14173228346456693,,
"3",35,102,9697,170,0.17073170731707318,0.25547445255474455,0.17073170731707318,0.9895907745688336,0.20467836257309943,,
"4",1,16,9951,36,0.02702702702702703,0.058823529411764705,0.02702702702702703,0.9983947025183104,0.03703703703703704,,
"5",0,15,9967,22,0.0,0.0,0.0,0.9984972951312362,NaN,,
"6",0,6,9984,14,0.0,0.0,0.0,0.9993993993993994,NaN,,
"9",0,2,10000,2,0.0,0.0,0.0,0.9998000399920016,NaN,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5619752099160336,0.20354406540100434
"0",3568,2239,2768,1429,0.7140284170502301,0.614430859307732,0.7140284170502301,0.5528260435390453,0.660496112550907,,
"1",1964,1776,3988,2276,0.46320754716981133,0.5251336898395722,0.46320754716981133,0.6918806384455239,0.49223057644110274,,
"2",54,226,9296,428,0.11203319502074689,0.19285714285714287,0.11203319502074689,0.9762654904431842,0.14173228346456693,,
"3",35,102,9697,170,0.17073170731707318,0.25547445255474455,0.17073170731707318,0.9895907745688336,0.20467836257309943,,
"4",1,16,9951,36,0.02702702702702703,0.058823529411764705,0.02702702702702703,0.9983947025183104,0.03703703703703704,,
"5",0,15,9967,22,0.0,0.0,0.0,0.9984972951312362,NaN,,
"6",0,6,9984,14,0.0,0.0,0.0,0.9993993993993994,NaN,,
"9",0,2,10000,2,0.0,0.0,0.0,0.9998000399920016,NaN,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5619752099160336,0.20354406540100434
"0",3568,2239,2768,1429,0.7140284170502301,0.614430859307732,0.7140284170502301,0.5528260435390453,0.660496112550907,,
"1",1964,1776,3988,2276,0.46320754716981133,0.5251336898395722,0.46320754716981133,0.6918806384455239,0.49223057644110274,,
"2",54,226,9296,428,0.11203319502074689,0.19285714285714287,0.11203319502074689,0.9762654904431842,0.14173228346456693,,
"3",35,102,9697,170,0.17073170731707318,0.25547445255474455,0.17073170731707318,0.9895907745688336,0.20467836257309943,,
"4",1,16,9951,36,0.02702702702702703,0.058823529411764705,0.02702702702702703,0.9983947025183104,0.03703703703703704,,
"5",0,15,9967,22,0.0,0.0,0.0,0.9984972951312362,NaN,,
"6",0,6,9984,14,0.0,0.0,0.0,0.9993993993993994,NaN,,
"9",0,2,10000,2,0.0,0.0,0.0,0.9998000399920016,NaN,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5619752099160336,0.20354406540100434
