"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"0",7496,7510,0,0,1.0,0.4995335199253632,1.0,0.0,0.6662518887210026,,
"1",0,0,8647,6359,0.0,,0.0,1.0,,,
"2",0,0,14282,724,0.0,,0.0,1.0,,,
"3",0,0,14698,308,0.0,,0.0,1.0,,,
"4",0,0,14950,56,0.0,,0.0,1.0,,,
"5",0,0,14974,32,0.0,,0.0,1.0,,,
"6",0,0,14984,22,0.0,,0.0,1.0,,,
"7",0,0,15003,3,0.0,,0.0,1.0,,,
"8",0,0,15003,3,0.0,,0.0,1.0,,,
"9",0,0,15003,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.4995335199253632,0.0
"0",6987,3914,3596,509,0.9320971184631803,0.6409503715255481,0.9320971184631803,0.47882822902796274,0.759580366364081,,
"1",3000,1029,7618,3359,0.47177229124076114,0.7446016381236039,0.47177229124076114,0.8809991904706834,0.5775895263765884,,
"2",45,7,14275,679,0.062154696132596686,0.8653846153846154,0.062154696132596686,0.9995098725668674,0.11597938144329896,,
"3",13,1,14697,295,0.04220779220779221,0.9285714285714286,0.04220779220779221,0.9999319635324534,0.08074534161490683,,
"4",6,3,14947,50,0.10714285714285714,0.6666666666666666,0.10714285714285714,0.9997993311036789,0.18461538461538463,,
"8",1,0,15003,2,0.3333333333333333,1.0,0.3333333333333333,1.0,0.5,,
"5",0,0,14974,32,0.0,,0.0,1.0,,,
"6",0,0,14984,22,0.0,,0.0,1.0,,,
"7",0,0,15003,3,0.0,,0.0,1.0,,,
"9",0,0,15003,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.669865387178462,0.3689502078473854
"0",6961,2511,4999,535,0.9286286019210246,0.7349028716216216,0.9286286019210246,0.6656458055925433,0.8204856199905705,,
"1",4188,1166,7481,2171,0.6585941185721025,0.7822189017556966,0.6585941185721025,0.8651555452758182,0.7151028771450525,,
"2",112,14,14268,612,0.15469613259668508,0.8888888888888888,0.15469613259668508,0.9990197451337348,0.26352941176470585,,
"3",30,2,14696,278,0.09740259740259741,0.9375,0.09740259740259741,0.9998639270649068,0.17647058823529413,,
"4",12,3,14947,44,0.21428571428571427,0.8,0.21428571428571427,0.9997993311036789,0.3380281690140845,,
"5",4,0,14974,28,0.125,1.0,0.125,1.0,0.2222222222222222,,
"6",1,0,14984,21,0.045454545454545456,1.0,0.045454545454545456,1.0,0.08695652173913045,,
"8",1,0,15003,2,0.3333333333333333,1.0,0.3333333333333333,1.0,0.5,,
"9",1,0,15003,2,0.3333333333333333,1.0,0.3333333333333333,1.0,0.5,,
"7",0,0,15003,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.7536985205917633,0.5379298011104946
"0",7016,1848,5662,480,0.935965848452508,0.7915162454873647,0.935965848452508,0.7539280958721705,0.8577017114914426,,
"1",4744,1064,7583,1615,0.7460292498820569,0.8168044077134986,0.7460292498820569,0.8769515438880536,0.779814251664338,,
"2",204,24,14258,520,0.281767955801105,0.8947368421052632,0.281767955801105,0.9983195630864025,0.4285714285714286,,
"3",77,2,14696,231,0.25,0.9746835443037974,0.25,0.9998639270649068,0.39793281653746776,,
"4",13,0,14950,43,0.23214285714285715,1.0,0.23214285714285715,1.0,0.37681159420289856,,
