row ID,TruePositives,FalsePositives,TrueNegatives,FalseNegatives,Recall,Precision,Sensitivity,Specifity,F-measure,Accuracy,Cohen's kappa,,
0,3291,2415,2592,1706,0.658595157,0.576761304,0.658595157,0.517675255,0.614967766,,,,
1,1805,1942,3822,2435,0.425707547,0.481718708,0.425707547,0.663081194,0.451984475,,,,
2,44,325,9197,438,0.091286307,0.119241192,0.091286307,0.965868515,0.103407756,,,,
3,11,122,9677,194,0.053658537,0.082706767,0.053658537,0.98754975,0.065088757,,,,
4,0,20,9947,37,0,0,0,0.997993378,NaN,,,,
5,0,15,9967,22,0,0,0,0.998497295,NaN,,,,
6,0,7,9983,14,0,0,0,0.999299299,NaN,,,,
7,0,2,9999,3,0,0,0,0.99980002,NaN,,,,
8,0,3,9999,2,0,0,0,0.99970006,NaN,,,,
9,0,2,10000,2,0,0,0,0.99980004,NaN,,,,
Overall,,,,,,,,,,0.514894042,0.124818682,,1
0,3780,2943,2064,1217,0.756453872,0.562248996,0.756453872,0.412222888,0.645051195,,,,
1,1576,1589,4175,2664,0.371698113,0.497946288,0.371698113,0.724323387,0.425658339,,,,
2,15,77,9445,467,0.031120332,0.163043478,0.031120332,0.991913464,0.052264808,,,,
3,0,24,9775,205,0,0,0,0.99755077,NaN,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.536885246,0.12576861,,2
0,3539,2654,2353,1458,0.708224935,0.571451639,0.708224935,0.469942081,0.632529044,,,,
1,1819,1867,3897,2421,0.429009434,0.493488877,0.429009434,0.676092991,0.45899571,,,,
2,13,78,9444,469,0.026970954,0.142857143,0.026970954,0.991808444,0.045375218,,,,
3,2,30,9769,203,0.009756098,0.0625,0.009756098,0.996938463,0.016877637,,,,
4,0,2,9965,37,0,0,0,0.999799338,NaN,,,,
