row ID,TruePositives,FalsePositives,TrueNegatives,FalseNegatives,Recall,Precision,Sensitivity,Specifity,F-measure,Accuracy,Cohen's kappa,,,
0,7496,295,7215,0,1,0.962135798,1,0.960719041,0.980702558,,,,,
1,6095,62,8585,264,0.958484038,0.989930161,0.958484038,0.992829883,0.97395334,,,,,
2,663,4,14278,61,0.915745856,0.994002999,0.915745856,0.999719927,0.953271028,,,,,
3,282,0,14698,26,0.915584416,1,0.915584416,1,0.955932203,,,,,
4,52,0,14950,4,0.928571429,1,0.928571429,1,0.962962963,,,,,
5,28,0,14974,4,0.875,1,0.875,1,0.933333333,,,,,
6,21,0,14984,1,0.954545455,1,0.954545455,1,0.976744186,,,,,
7,2,0,15003,1,0.666666667,1,0.666666667,1,0.8,,,,,
8,3,0,15003,0,1,1,1,1,1,,,,,
9,3,0,15003,0,1,1,1,1,1,,,,,
Overall,,,,,,,,,,0.975942956,0.957362701,,,1
0,7143,2930,4580,353,0.952908218,0.709123399,0.952908218,0.609853529,0.813136775,,,,,
1,3809,913,7734,2550,0.598993552,0.806649725,0.598993552,0.894414248,0.687483079,,,,,
2,121,33,14249,603,0.167127072,0.785714286,0.167127072,0.997689399,0.275626424,,,,,
3,46,5,14693,262,0.149350649,0.901960784,0.149350649,0.999659818,0.256267409,,,,,
4,5,1,14949,51,0.089285714,0.833333333,0.089285714,0.99993311,0.161290323,,,,,
5,0,0,14974,32,0,,0,1,,,,,,
6,0,0,14984,22,0,,0,1,,,,,,
7,0,0,15003,3,0,,0,1,,,,,,
8,0,0,15003,3,0,,0,1,,,,,,
9,0,0,15003,3,0,,0,1,,,,,,
Overall,,,,,,,,,,0.741303479,0.512598536,,,2
0,6525,2649,4861,971,0.870464248,0.711249182,0.870464248,0.647270306,0.782843431,,,,,
1,4131,1471,7176,2228,0.649630445,0.737415209,0.649630445,0.829883196,0.690744921,,,,,
2,114,44,14238,610,0.157458564,0.721518987,0.157458564,0.996919199,0.258503401,,,,,
3,49,14,14684,259,0.159090909,0.777777778,0.159090909,0.999047489,0.264150943,,,,,
4,6,3,14947,50,0.107142857,0.666666667,0.107142857,0.999799331,0.184615385,,,,,
5,0,0,14974,32,0,,0,1,,,,,,
6,0,0,14984,22,0,,0,1,,,,,,
7,0,0,15003,3,0,,0,1,,,,,,
8,0,0,15003,3,0,,0,1,,,,,,
9,0,0,15003,3,0,,0,1,,,,,,
Overall,,,,,,,,,,0.721378115,0.480001304,,,3
0,6521,3071,4439,975,0.86993063,0.679837364,0.86993063,0.591078562,0.763225655,,,,,
1,3665,1585,7062,2694,0.576348482,0.698095238,0.576348482,0.816699433,0.631406667,,,,,
2,74,44,14238,650,0.102209945,0.627118644,0.102209945,0.996919199,0.175771971,,,,,
3,22,17,14681,286,0.071428571,0.564102564,0.071428571,0.99884338,0.126801153,,,,,
4,5,2,14948,51,0.089285714,0.714285714,0.089285714,0.999866221,0.158730159,,,,,
5,0,0,14974,32,0,,0,1,,,,,,
6,0,0,14984,22,0,,0,1,,,,,,
7,0,0,15003,3,0,,0,1,,,,,,
8,0,0,15003,3,0,,0,1,,,,,,
9,0,0,15003,3,0,,0,1,,,,,,
Overall,,,,,,,,,,0.68552579,0.408883255,,,4
0,6313,2981,4529,1183,0.842182497,0.679255434,0.842182497,0.603062583,0.751995235,,,,,
1,3791,1809,6838,2568,0.596162919,0.676964286,0.596162919,0.790794495,0.633999498,,,,,
2,58,31,14251,666,0.080110497,0.651685393,0.080110497,0.997829436,0.142681427,,,,,
3,10,8,14690,298,0.032467532,0.555555556,0.032467532,0.999455708,0.061349693,,,,,
4,3,2,14948,53,0.053571429,0.6,0.053571429,0.999866221,0.098360656,,,,,
5,0,0,14974,32,0,,0,1,,,,,,
6,0,0,14984,22,0,,0,1,,,,,,
7,0,0,15003,3,0,,0,1,,,,,,
8,0,0,15003,3,0,,0,1,,,,,,
9,0,0,15003,3,0,,0,1,,,,,,
Overall,,,,,,,,,,0.678062108,0.395034239,,,5
0,6366,3160,4350,1130,0.849252935,0.668276296,0.849252935,0.579227696,0.747973211,,,,,
1,3585,1800,6847,2774,0.563767888,0.665738162,0.563767888,0.791835319,0.610524523,,,,,
2,47,33,14249,677,0.064917127,0.5875,0.064917127,0.997689399,0.116915423,,,,,
3,5,9,14689,303,0.016233766,0.357142857,0.016233766,0.999387672,0.031055901,,,,,
4,1,0,14950,55,0.017857143,1,0.017857143,1,0.035087719,,,,,
5,0,0,14974,32,0,,0,1,,,,,,
6,0,0,14984,22,0,,0,1,,,,,,
7,0,0,15003,3,0,,0,1,,,,,,
8,0,0,15003,3,0,,0,1,,,,,,
9,0,0,15003,3,0,,0,1,,,,,,
Overall,,,,,,,,,,0.666666667,0.371712592,,,6
0,6233,3141,4369,1263,0.831510139,0.664924259,0.831510139,0.581757656,0.738944873,,,,,
1,3627,1929,6718,2732,0.5703727,0.652807775,0.5703727,0.77691685,0.608812421,,,,,
2,37,28,14254,687,0.051104972,0.569230769,0.051104972,0.99803949,0.093789607,,,,,
3,6,4,14694,302,0.019480519,0.6,0.019480519,0.999727854,0.037735849,,,,,
4,1,0,14950,55,0.017857143,1,0.017857143,1,0.035087719,,,,,
5,0,0,14974,32,0,,0,1,,,,,,
6,0,0,14984,22,0,,0,1,,,,,,
7,0,0,15003,3,0,,0,1,,,,,,
8,0,0,15003,3,0,,0,1,,,,,,
9,0,0,15003,3,0,,0,1,,,,,,
Overall,,,,,,,,,,0.660002666,0.359495502,,,7
0,6247,3257,4253,1249,0.833377801,0.657302189,0.833377801,0.566311585,0.734941176,,,,,
1,3516,1936,6711,2843,0.552917125,0.644900954,0.552917125,0.77610732,0.595377191,,,,,
2,24,18,14264,700,0.033149171,0.571428571,0.033149171,0.998739672,0.062663185,,,,,
3,5,2,14696,303,0.016233766,0.714285714,0.016233766,0.999863927,0.031746032,,,,,
4,1,0,14950,55,0.017857143,1,0.017857143,1,0.035087719,,,,,
5,0,0,14974,32,0,,0,1,,,,,,
6,0,0,14984,22,0,,0,1,,,,,,
7,0,0,15003,3,0,,0,1,,,,,,
8,0,0,15003,3,0,,0,1,,,,,,
9,0,0,15003,3,0,,0,1,,,,,,
Overall,,,,,,,,,,0.652605624,0.343938321,,,8
0,6182,3265,4245,1314,0.82470651,0.654387636,0.82470651,0.565246338,0.729740896,,,,,
1,3514,2004,6643,2845,0.55260261,0.636824937,0.55260261,0.768243321,0.591731919,,,,,
2,16,18,14264,708,0.022099448,0.470588235,0.022099448,0.998739672,0.042216359,,,,,
3,2,3,14695,306,0.006493506,0.4,0.006493506,0.999795891,0.012779553,,,,,
4,1,1,14949,55,0.017857143,0.5,0.017857143,0.99993311,0.034482759,,,,,
5,0,0,14974,32,0,,0,1,,,,,,
6,0,0,14984,22,0,,0,1,,,,,,
7,0,0,15003,3,0,,0,1,,,,,,
8,0,0,15003,3,0,,0,1,,,,,,
9,0,0,15003,3,0,,0,1,,,,,,
Overall,,,,,,,,,,0.647407704,0.33419972,,,9
0,6201,3363,4147,1295,0.827241195,0.648368883,0.827241195,0.552197071,0.726963658,,,,,
1,3412,1999,6648,2947,0.536562353,0.630567363,0.536562353,0.768821557,0.579779099,,,,,
2,16,10,14272,708,0.022099448,0.615384615,0.022099448,0.999299818,0.042666667,,,,,
3,2,3,14695,306,0.006493506,0.4,0.006493506,0.999795891,0.012779553,,,,,
4,0,0,14950,56,0,,0,1,,,,,,
5,0,0,14974,32,0,,0,1,,,,,,
6,0,0,14984,22,0,,0,1,,,,,,
7,0,0,15003,3,0,,0,1,,,,,,
8,0,0,15003,3,0,,0,1,,,,,,
9,0,0,15003,3,0,,0,1,,,,,,
Overall,,,,,,,,,,0.641809943,0.322546021,,,10
0,6154,3369,4141,1342,0.820971185,0.646224929,0.820971185,0.551398136,0.723191727,,,,,
1,3417,2036,6611,2942,0.53734864,0.626627544,0.53734864,0.764542616,0.578564172,,,,,
2,12,14,14268,712,0.016574586,0.461538462,0.016574586,0.999019745,0.032,,,,,
3,2,2,14696,306,0.006493506,0.5,0.006493506,0.999863927,0.012820513,,,,,
4,0,0,14950,56,0,,0,1,,,,,,
5,0,0,14974,32,0,,0,1,,,,,,
6,0,0,14984,22,0,,0,1,,,,,,
7,0,0,15003,3,0,,0,1,,,,,,
8,0,0,15003,3,0,,0,1,,,,,,
9,0,0,15003,3,0,,0,1,,,,,,
Overall,,,,,,,,,,0.638744502,0.316980994,,,11
0,6169,3440,4070,1327,0.822972252,0.64200229,0.822972252,0.541944075,0.721309559,,,,,
1,3345,2030,6617,3014,0.526026105,0.622325581,0.526026105,0.765236498,0.57013806,,,,,
2,11,8,14274,713,0.01519337,0.578947368,0.01519337,0.999439854,0.02960969,,,,,
3,1,2,14696,307,0.003246753,0.333333333,0.003246753,0.999863927,0.006430868,,,,,
4,0,0,14950,56,0,,0,1,,,,,,
5,0,0,14974,32,0,,0,1,,,,,,
6,0,0,14984,22,0,,0,1,,,,,,
7,0,0,15003,3,0,,0,1,,,,,,
8,0,0,15003,3,0,,0,1,,,,,,
9,0,0,15003,3,0,,0,1,,,,,,
Overall,,,,,,,,,,0.634812742,0.308715669,,,12
0,6154,3421,4089,1342,0.820971185,0.642715405,0.820971185,0.544474035,0.720988811,,,,,
1,3364,2047,6600,2995,0.529013996,0.621696544,0.529013996,0.763270498,0.57162277,,,,,
2,9,9,14273,715,0.012430939,0.5,0.012430939,0.999369836,0.02425876,,,,,
3,1,1,14697,307,0.003246753,0.5,0.003246753,0.999931964,0.006451613,,,,,
4,0,0,14950,56,0,,0,1,,,,,,
5,0,0,14974,32,0,,0,1,,,,,,
6,0,0,14984,22,0,,0,1,,,,,,
7,0,0,15003,3,0,,0,1,,,,,,
8,0,0,15003,3,0,,0,1,,,,,,
9,0,0,15003,3,0,,0,1,,,,,,
Overall,,,,,,,,,,0.634946022,0.30912461,,,13
0,6158,3450,4060,1338,0.821504803,0.64092423,0.821504803,0.540612517,0.720065482,,,,,
1,3330,2051,6596,3029,0.523667243,0.618844081,0.523667243,0.76280791,0.567291312,,,,,
2,7,9,14273,717,0.009668508,0.4375,0.009668508,0.999369836,0.018918919,,,,,
3,1,0,14698,307,0.003246753,1,0.003246753,1,0.006472492,,,,,
4,0,0,14950,56,0,,0,1,,,,,,
5,0,0,14974,32,0,,0,1,,,,,,
6,0,0,14984,22,0,,0,1,,,,,,
7,0,0,15003,3,0,,0,1,,,,,,
8,0,0,15003,3,0,,0,1,,,,,,
9,0,0,15003,3,0,,0,1,,,,,,
Overall,,,,,,,,,,0.632813541,0.304768382,,,14
0,6145,3453,4057,1351,0.819770544,0.640237549,0.819770544,0.540213049,0.718965719,,,,,
1,3314,2080,6567,3045,0.521151124,0.614386355,0.521151124,0.759454146,0.563941121,,,,,
2,3,8,14274,721,0.004143646,0.272727273,0.004143646,0.999439854,0.008163265,,,,,
3,1,2,14696,307,0.003246753,0.333333333,0.003246753,0.999863927,0.006430868,,,,,
4,0,0,14950,56,0,,0,1,,,,,,
5,0,0,14974,32,0,,0,1,,,,,,
6,0,0,14984,22,0,,0,1,,,,,,
7,0,0,15003,3,0,,0,1,,,,,,
8,0,0,15003,3,0,,0,1,,,,,,
9,0,0,15003,3,0,,0,1,,,,,,
Overall,,,,,,,,,,0.630614421,0.300576904,,,15
0,6140,3467,4043,1356,0.819103522,0.63911731,0.819103522,0.538348868,0.71800269,,,,,
1,3299,2086,6561,3060,0.518792263,0.612627669,0.518792263,0.758760264,0.561818801,,,,,
2,3,8,14274,721,0.004143646,0.272727273,0.004143646,0.999439854,0.008163265,,,,,
3,1,2,14696,307,0.003246753,0.333333333,0.003246753,0.999863927,0.006430868,,,,,
4,0,0,14950,56,0,,0,1,,,,,,
5,0,0,14974,32,0,,0,1,,,,,,
6,0,0,14984,22,0,,0,1,,,,,,
7,0,0,15003,3,0,,0,1,,,,,,
8,0,0,15003,3,0,,0,1,,,,,,
9,0,0,15003,3,0,,0,1,,,,,,
Overall,,,,,,,,,,0.629281621,0.297992872,,,16
0,6122,3448,4062,1374,0.816702241,0.639707419,0.816702241,0.540878828,0.7174499,,,,,
1,3318,2106,6541,3041,0.521780154,0.611725664,0.521780154,0.756447323,0.563184248,,,,,
2,5,5,14277,719,0.006906077,0.5,0.006906077,0.999649909,0.013623978,,,,,
3,1,1,14697,307,0.003246753,0.5,0.003246753,0.999931964,0.006451613,,,,,
4,0,0,14950,56,0,,0,1,,,,,,
5,0,0,14974,32,0,,0,1,,,,,,
6,0,0,14984,22,0,,0,1,,,,,,
7,0,0,15003,3,0,,0,1,,,,,,
8,0,0,15003,3,0,,0,1,,,,,,
9,0,0,15003,3,0,,0,1,,,,,,
Overall,,,,,,,,,,0.629481541,0.298550672,,,17
0,6137,3469,4041,1359,0.818703308,0.638871539,0.818703308,0.538082557,0.717693837,,,,,
1,3294,2098,6549,3065,0.518005976,0.610905045,0.518005976,0.757372499,0.560633138,,,,,
2,3,3,14279,721,0.004143646,0.5,0.004143646,0.999789945,0.008219178,,,,,
3,1,1,14697,307,0.003246753,0.5,0.003246753,0.999931964,0.006451613,,,,,
4,0,0,14950,56,0,,0,1,,,,,,
5,0,0,14974,32,0,,0,1,,,,,,
6,0,0,14984,22,0,,0,1,,,,,,
7,0,0,15003,3,0,,0,1,,,,,,
8,0,0,15003,3,0,,0,1,,,,,,
9,0,0,15003,3,0,,0,1,,,,,,
Overall,,,,,,,,,,0.628748501,0.296787659,,,18
0,6144,3484,4026,1352,0.81963714,0.638138762,0.81963714,0.53608522,0.717589348,,,,,
1,3283,2088,6559,3076,0.516276144,0.611245578,0.516276144,0.75852897,0.559761296,,,,,
2,3,2,14280,721,0.004143646,0.6,0.004143646,0.999859964,0.008230453,,,,,
3,1,1,14697,307,0.003246753,0.5,0.003246753,0.999931964,0.006451613,,,,,
4,0,0,14950,56,0,,0,1,,,,,,
5,0,0,14974,32,0,,0,1,,,,,,
6,0,0,14984,22,0,,0,1,,,,,,
7,0,0,15003,3,0,,0,1,,,,,,
8,0,0,15003,3,0,,0,1,,,,,,
9,0,0,15003,3,0,,0,1,,,,,,
