row ID,TruePositives,FalsePositives,TrueNegatives,FalseNegatives,Recall,Precision,Sensitivity,Specifity,F-measure,Accuracy,Cohen's kappa,,,,
0,4980,56,4951,17,0.996597959,0.988880064,0.996597959,0.988815658,0.992724011,,,,,,
1,4197,675,5089,43,0.989858491,0.861453202,0.989858491,0.882893824,0.921202809,,,,,,
3,28,46,9753,177,0.136585366,0.378378378,0.136585366,0.995305643,0.200716846,,,,,,
4,1,15,9952,36,0.027027027,0.0625,0.027027027,0.998495034,0.037735849,,,,,,
5,4,2,9980,18,0.181818182,0.666666667,0.181818182,0.999799639,0.285714286,,,,,,
2,0,0,9522,482,0,,0,1,,,,,,,
6,0,0,9990,14,0,,0,1,,,,,,,
7,0,0,10001,3,0,,0,1,,,,,,,
8,0,0,10002,2,0,,0,1,,,,,,,
9,0,0,10002,2,0,,0,1,,,,,,,
Overall,,,,,,,,,,0.920631747,0.853560279,,a,85+10/2,47
0,4990,64,4943,7,0.998599159,0.987336763,0.998599159,0.987217895,0.992936026,,,,,,
1,4218,645,5119,22,0.994811321,0.867365824,0.994811321,0.888098543,0.926727452,,,,,,
3,58,22,9777,147,0.282926829,0.725,0.282926829,0.997754873,0.407017544,,,,,,
4,1,6,9961,36,0.027027027,0.142857143,0.027027027,0.999398013,0.045454545,,,,,,
2,0,0,9522,482,0,,0,1,,,,,,,
5,0,0,9982,22,0,,0,1,,,,,,,
6,0,0,9990,14,0,,0,1,,,,,,,
7,0,0,10001,3,0,,0,1,,,,,,,
8,0,0,10002,2,0,,0,1,,,,,,,
9,0,0,10002,2,0,,0,1,,,,,,,
Overall,,,,,,,,,,0.926329468,0.863941137,,i,85,85
0,4391,1624,3383,606,0.878727236,0.730008313,0.878727236,0.675654084,0.797493643,,,,,,
1,2773,1216,4548,1467,0.654009434,0.695161695,0.654009434,0.789035392,0.673957954,,,,,,
2,0,0,9522,482,0,,0,1,,,,,,,
3,0,0,9799,205,0,,0,1,,,,,,,
4,0,0,9967,37,0,,0,1,,,,,,,
5,0,0,9982,22,0,,0,1,,,,,,,
6,0,0,9990,14,0,,0,1,,,,,,,
7,0,0,10001,3,0,,0,1,,,,,,,
8,0,0,10002,2,0,,0,1,,,,,,,
9,0,0,10002,2,0,,0,1,,,,,,,
Overall,,,,,,,,,,0.716113555,0.465043872,,o,10,10
0,4994,54,4953,3,0.99939964,0.989302694,0.99939964,0.989215099,0.994325535,,,,,,
1,4220,648,5116,20,0.995283019,0.866885785,0.995283019,0.887578071,0.926657883,,,,,,
3,58,21,9778,147,0.282926829,0.734177215,0.282926829,0.997856924,0.408450704,,,,,,
4,4,2,9965,33,0.108108108,0.666666667,0.108108108,0.999799338,0.186046512,,,,,,
5,2,1,9981,20,0.090909091,0.666666667,0.090909091,0.99989982,0.16,,,,,,
2,0,0,9522,482,0,,0,1,,,,,,,
6,0,0,9990,14,0,,0,1,,,,,,,
7,0,0,10001,3,0,,0,1,,,,,,,
8,0,0,10002,2,0,,0,1,,,,,,,
9,0,0,10002,2,0,,0,1,,,,,,,
Overall,,,,,,,,,,0.927429028,0.865994019,,t,85+10,95
