"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"0",7496,7510,0,0,1.0,0.4995335199253632,1.0,0.0,0.6662518887210026,,
"1",0,0,8647,6359,0.0,,0.0,1.0,,,
"2",0,0,14282,724,0.0,,0.0,1.0,,,
"3",0,0,14698,308,0.0,,0.0,1.0,,,
"4",0,0,14950,56,0.0,,0.0,1.0,,,
"5",0,0,14974,32,0.0,,0.0,1.0,,,
"6",0,0,14984,22,0.0,,0.0,1.0,,,
"7",0,0,15003,3,0.0,,0.0,1.0,,,
"8",0,0,15003,3,0.0,,0.0,1.0,,,
"9",0,0,15003,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.4995335199253632,0.0
"0",5776,2569,4941,1720,0.7705442902881536,0.6921509886159377,0.7705442902881536,0.6579227696404794,0.7292468909791048,,
"1",4036,2625,6022,2323,0.6346909891492373,0.6059150277736076,0.6346909891492373,0.6964265063027639,0.6199692780337941,,
"2",0,0,14282,724,0.0,,0.0,1.0,,,
"3",0,0,14698,308,0.0,,0.0,1.0,,,
"4",0,0,14950,56,0.0,,0.0,1.0,,,
"5",0,0,14974,32,0.0,,0.0,1.0,,,
"6",0,0,14984,22,0.0,,0.0,1.0,,,
"7",0,0,15003,3,0.0,,0.0,1.0,,,
"8",0,0,15003,3,0.0,,0.0,1.0,,,
"9",0,0,15003,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6538717846194856,0.3519409639507204
"0",7495,76,7434,1,0.9998665955176094,0.9899616959450535,0.9998665955176094,0.9898801597869508,0.9948894935952745,,
"1",6327,927,7720,32,0.9949677622267652,0.8722084367245657,0.9949677622267652,0.8927951890829189,0.929552633512084,,
"3",139,42,14656,169,0.4512987012987013,0.7679558011049724,0.4512987012987013,0.9971424683630425,0.5685071574642128,,
"2",0,0,14282,724,0.0,,0.0,1.0,,,
"4",0,0,14950,56,0.0,,0.0,1.0,,,
"5",0,0,14974,32,0.0,,0.0,1.0,,,
"6",0,0,14984,22,0.0,,0.0,1.0,,,
"7",0,0,15003,3,0.0,,0.0,1.0,,,
"8",0,0,15003,3,0.0,,0.0,1.0,,,
"9",0,0,15003,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.9303611888577902,0.871721437258629
"0",7496,76,7434,0,1.0,0.9899630216587427,1.0,0.9898801597869508,0.9949561985664985,,
"1",6350,826,7821,9,0.9985846831262777,0.8848940914158305,0.9985846831262777,0.9044755406499364,0.9383080901366826,,
"3",238,12,14686,70,0.7727272727272727,0.952,0.7727272727272727,0.9991835623894407,0.8530465949820788,,
"4",6,2,14948,50,0.10714285714285714,0.75,0.10714285714285714,0.9998662207357859,0.1875,,
"2",0,0,14282,724,0.0,,0.0,1.0,,,
"5",0,0,14974,32,0.0,,0.0,1.0,,,
"6",0,0,14984,22,0.0,,0.0,1.0,,,
"7",0,0,15003,3,0.0,,0.0,1.0,,,
"8",0,0,15003,3,0.0,,0.0,1.0,,,
"9",0,0,15003,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.93895775023324,0.887984528683124
"0",7495,65,7445,1,0.9998665955176094,0.9914021164021164,0.9998665955176094,0.9913448735019973,0.9956163655685442,,
