"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"0",7496,36,7474,0,1.0,0.9952203929899097,1.0,0.9952063914780293,0.9976044716529145,,
"1",6358,777,7870,1,0.9998427425695864,0.8911002102312544,0.9998427425695864,0.9101422458656181,0.9423447458129539,,
"3",280,4,14694,28,0.9090909090909091,0.9859154929577465,0.9090909090909091,0.9997278541298136,0.9459459459459459,,
"4",34,1,14949,22,0.6071428571428571,0.9714285714285714,0.6071428571428571,0.999933110367893,0.7472527472527473,,
"5",16,4,14970,16,0.5,0.8,0.5,0.9997328703085347,0.6153846153846154,,
"2",0,0,14282,724,0.0,,0.0,1.0,,,
"6",0,0,14984,22,0.0,,0.0,1.0,,,
"7",0,0,15003,3,0.0,,0.0,1.0,,,
"8",0,0,15003,3,0.0,,0.0,1.0,,,
"9",0,0,15003,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.9452219112355058,0.8999264205660834
"0",7496,21,7489,0,1.0,0.9972063323134229,1.0,0.9972037283621837,0.9986012122826884,,
"1",6359,750,7897,0,1.0,0.8944999296666197,1.0,0.913264716086504,0.9443124443124442,,
"3",305,2,14696,3,0.9902597402597403,0.993485342019544,0.9902597402597403,0.9998639270649068,0.9918699186991871,,
"4",51,2,14948,5,0.9107142857142857,0.9622641509433962,0.9107142857142857,0.9998662207357859,0.9357798165137615,,
"5",18,2,14972,14,0.5625,0.9,0.5625,0.9998664351542674,0.6923076923076923,,
"2",0,0,14282,724,0.0,,0.0,1.0,,,
"6",0,0,14984,22,0.0,,0.0,1.0,,,
"7",0,0,15003,3,0.0,,0.0,1.0,,,
"8",0,0,15003,3,0.0,,0.0,1.0,,,
"9",0,0,15003,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.9482207117153139,0.9056114173796389
"0",6766,2086,5424,730,0.902614727854856,0.7643470402169001,0.902614727854856,0.722237017310253,0.8277465133349646,,
"1",4497,1657,6990,1862,0.707186664569901,0.7307442313942152,0.707186664569901,0.8083728460737828,0.7187724766243108,,
"2",0,0,14282,724,0.0,,0.0,1.0,,,
"3",0,0,14698,308,0.0,,0.0,1.0,,,
"4",0,0,14950,56,0.0,,0.0,1.0,,,
"5",0,0,14974,32,0.0,,0.0,1.0,,,
"6",0,0,14984,22,0.0,,0.0,1.0,,,
"7",0,0,15003,3,0.0,,0.0,1.0,,,
"8",0,0,15003,3,0.0,,0.0,1.0,,,
"9",0,0,15003,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.7505664400906304,0.5307340185143958
"0",7496,29,7481,0,1.0,0.9961461794019933,1.0,0.996138482023968,0.9980693695492977,,
"1",6359,761,7886,0,1.0,0.8931179775280899,1.0,0.9119925985891061,0.9435418057719416,,
"3",301,2,14696,7,0.9772727272727273,0.9933993399339934,0.9772727272727273,0.9998639270649068,0.9852700490998364,,
"4",42,7,14943,14,0.75,0.8571428571428571,0.75,0.9995317725752508,0.7999999999999999,,
"5",9,0,14974,23,0.28125,1.0,0.28125,1.0,0.43902439024390244,,
"2",0,0,14282,724,0.0,,0.0,1.0,,,
"6",0,0,14984,22,0.0,,0.0,1.0,,,
"7",0,0,15003,3,0.0,,0.0,1.0,,,
"8",0,0,15003,3,0.0,,0.0,1.0,,,
"9",0,0,15003,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.946754631480741,0.9028381315427365
