"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"0",4524,4299,708,473,0.9053432059235541,0.5127507650459028,0.9053432059235541,0.14140203714799282,0.6547033285094066,,
"1",581,600,5164,3659,0.13702830188679246,0.49195596951735815,0.13702830188679246,0.8959056210964608,0.2143515956465597,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5102958816473411,0.03872680168864595
"0",4187,3874,1133,810,0.837902741644987,0.5194144647066121,0.837902741644987,0.22628320351507888,0.6412926941338645,,
"1",912,1031,4733,3328,0.21509433962264152,0.46937725167267114,0.21509433962264152,0.8211311589174185,0.29500242600679283,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5096961215513794,0.048316845025081934
"0",4071,3641,1366,926,0.8146888132879728,0.5278786307053942,0.8146888132879728,0.27281805472338727,0.6406483594303249,,
"1",1097,1195,4569,3143,0.25872641509433963,0.47862129144851656,0.25872641509433963,0.7926786953504511,0.33588487446417636,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.516593362654938,0.06648766450338939
"0",4026,3606,1401,971,0.8056834100460276,0.5275157232704403,0.8056834100460276,0.2798082684242061,0.6375801726185762,,
"1",1123,1249,4515,3117,0.2648584905660377,0.4734401349072513,0.2648584905660377,0.7833102012491325,0.33968542044767086,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5146941223510596,0.06391387889425726
"0",3981,3531,1476,1016,0.7966780068040824,0.5299520766773163,0.7966780068040824,0.29478729778310364,0.636501718762491,,
"1",1179,1313,4451,3061,0.27806603773584904,0.4731139646869984,0.27806603773584904,0.7722068008327551,0.35026737967914434,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5157936825269892,0.06766707828880725
"0",3897,3469,1538,1100,0.7798679207524515,0.5290524029323921,0.7798679207524515,0.30716996205312563,0.6304295074011163,,
"1",1222,1416,4348,3018,0.28820754716981134,0.4632297194844579,0.28820754716981134,0.7543372657876475,0.3553358534457691,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5116953218712516,0.061770775253415455
"0",3829,3375,1632,1168,0.7662597558535121,0.5315102720710716,0.7662597558535121,0.32594367884961056,0.627653471026965,,
"1",1300,1500,4264,2940,0.30660377358490565,0.4642857142857143,0.30660377358490565,0.739764052741152,0.36931818181818177,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5126949220311875,0.065890682078792
"0",3875,3438,1569,1122,0.7754652791675005,0.529878298919732,0.7754652791675005,0.31336129418813663,0.6295694557270513,,
"1",1252,1439,4325,2988,0.2952830188679245,0.4652545522110739,0.2952830188679245,0.7503469812630118,0.3612754292309912,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5124950019992003,0.0640282317561599
"0",3848,3372,1635,1149,0.7700620372223334,0.5329639889196676,0.7700620372223334,0.32654284002396644,0.6299418842596382,,
"1",1307,1476,4288,2933,0.30825471698113205,0.46963708228530365,0.30825471698113205,0.7439278278972935,0.3722056101381176,,
"9",0,1,10001,2,0.0,0.0,0.0,0.9999000199960008,NaN,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5152938824470212,0.0707324508674555
"0",3843,3328,1679,1154,0.7690614368621173,0.5359085204295078,0.7690614368621173,0.335330537247853,0.6316568047337279,,
"1",1341,1492,4272,2899,0.3162735849056604,0.47334980585951286,0.3162735849056604,0.7411519777931992,0.37918846316980065,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5181927229108356,0.0768710454021011
