"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"0",6915,6350,1160,581,0.9224919957310566,0.5212966453071994,0.9224919957310566,0.15446071904127828,0.6661528828091133,,
"1",958,783,7864,5401,0.15065261833621638,0.5502584721424468,0.15065261833621638,0.9094483635943101,0.23654320987654323,,
"2",0,0,14282,724,0.0,,0.0,1.0,,,
"3",0,0,14698,308,0.0,,0.0,1.0,,,
"4",0,0,14950,56,0.0,,0.0,1.0,,,
"5",0,0,14974,32,0.0,,0.0,1.0,,,
"6",0,0,14984,22,0.0,,0.0,1.0,,,
"7",0,0,15003,3,0.0,,0.0,1.0,,,
"8",0,0,15003,3,0.0,,0.0,1.0,,,
"9",0,0,15003,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5246568039450886,0.06659522275804863
"0",6680,5364,2146,816,0.8911419423692636,0.5546330122882763,0.8911419423692636,0.28575233022636487,0.6837256908904811,,
"1",1787,1175,7472,4572,0.28101902814908003,0.6033085752869682,0.28101902814908003,0.8641147218688563,0.38343525372814075,,
"2",0,0,14282,724,0.0,,0.0,1.0,,,
"3",0,0,14698,308,0.0,,0.0,1.0,,,
"4",0,0,14950,56,0.0,,0.0,1.0,,,
"5",0,0,14974,32,0.0,,0.0,1.0,,,
"6",0,0,14984,22,0.0,,0.0,1.0,,,
"7",0,0,15003,3,0.0,,0.0,1.0,,,
"8",0,0,15003,3,0.0,,0.0,1.0,,,
"9",0,0,15003,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5642409702785552,0.15455952858095323
"0",6667,4749,2761,829,0.8894076840981857,0.5840049053959355,0.8894076840981857,0.3676431424766977,0.7050549915397631,,
"1",2326,1260,7387,4033,0.36578078314200346,0.6486335750139431,0.36578078314200346,0.8542847230253267,0.4677727501256913,,
"5",2,0,14974,30,0.0625,1.0,0.0625,1.0,0.11764705882352941,,
"9",2,0,15003,1,0.6666666666666666,1.0,0.6666666666666666,1.0,0.8,,
"2",0,0,14282,724,0.0,,0.0,1.0,,,
"3",0,0,14698,308,0.0,,0.0,1.0,,,
"4",0,0,14950,56,0.0,,0.0,1.0,,,
"6",0,0,14984,22,0.0,,0.0,1.0,,,
"7",0,0,15003,3,0.0,,0.0,1.0,,,
"8",0,0,15003,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5995601759296282,0.2280024625551753
"0",6763,4428,3082,733,0.9022145144076841,0.6043249039406666,0.9022145144076841,0.4103861517976032,0.7238186974902339,,
"1",2627,1183,7464,3732,0.41311526969649315,0.689501312335958,0.41311526969649315,0.8631895455071122,0.5166683056347724,,
"5",2,0,14974,30,0.0625,1.0,0.0625,1.0,0.11764705882352941,,
"8",1,0,15003,2,0.3333333333333333,1.0,0.3333333333333333,1.0,0.5,,
"9",2,0,15003,1,0.6666666666666666,1.0,0.6666666666666666,1.0,0.8,,
"2",0,0,14282,724,0.0,,0.0,1.0,,,
"3",0,0,14698,308,0.0,,0.0,1.0,,,
"4",0,0,14950,56,0.0,,0.0,1.0,,,
"6",0,0,14984,22,0.0,,0.0,1.0,,,
"7",0,0,15003,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6260829001732641,0.28074940470605947
"0",6831,3979,3531,665,0.9112860192102454,0.6319148936170212,0.9112860192102454,0.47017310252996003,0.7463126843657816,,
"1",3027,1160,7487,3332,0.476018241861928,0.7229519942679723,0.476018241861928,0.8658494275471261,0.574056514318225,,
"5",7,0,14974,25,0.21875,1.0,0.21875,1.0,0.358974358974359,,
"9",2,0,15003,1,0.6666666666666666,1.0,0.6666666666666666,1.0,0.8,,
"2",0,0,14282,724,0.0,,0.0,1.0,,,
"3",0,0,14698,308,0.0,,0.0,1.0,,,
"4",0,0,14950,56,0.0,,0.0,1.0,,,
"6",0,0,14984,22,0.0,,0.0,1.0,,,
"7",0,0,15003,3,0.0,,0.0,1.0,,,
"8",0,0,15003,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6575369852059176,0.34382298709699277
"0",6899,3559,3951,597,0.9203575240128068,0.6596863645056417,0.9203575240128068,0.5260985352862849,0.7685195499610116,,
"1",3419,1120,7527,2940,0.5376631545840541,0.7532496144525226,0.5376631545840541,0.8704753093558459,0.6274545788218022,,
"5",7,0,14974,25,0.21875,1.0,0.21875,1.0,0.358974358974359,,
"8",1,0,15003,2,0.3333333333333333,1.0,0.3333333333333333,1.0,0.5,,
"9",1,0,15003,2,0.3333333333333333,1.0,0.3333333333333333,1.0,0.5,,
"2",0,0,14282,724,0.0,,0.0,1.0,,,
"3",0,0,14698,308,0.0,,0.0,1.0,,,
"4",0,0,14950,56,0.0,,0.0,1.0,,,
"6",0,0,14984,22,0.0,,0.0,1.0,,,
"7",0,0,15003,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6881913901106225,0.4045861076439986
"0",6961,3152,4358,535,0.9286286019210246,0.6883219618313062,0.9286286019210246,0.5802929427430094,0.790618433755466,,
"1",3790,1100,7547,2569,0.5960056612674949,0.7750511247443763,0.5960056612674949,0.8727882502602059,0.673837674459952,,
"5",3,0,14974,29,0.09375,1.0,0.09375,1.0,0.17142857142857143,,
"2",0,0,14282,724,0.0,,0.0,1.0,,,
"3",0,0,14698,308,0.0,,0.0,1.0,,,
"4",0,0,14950,56,0.0,,0.0,1.0,,,
"6",0,0,14984,22,0.0,,0.0,1.0,,,
"7",0,0,15003,3,0.0,,0.0,1.0,,,
"8",0,0,15003,3,0.0,,0.0,1.0,,,
"9",0,0,15003,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.716646674663468,0.46054341987380143
"0",7103,2960,4550,393,0.947572038420491,0.7058531253105436,0.947572038420491,0.6058588548601864,0.8090437952047383,,
"1",3972,959,7688,2387,0.6246265136027678,0.8055161224903671,0.6246265136027678,0.8890944836359431,0.7036315323294953,,
"5",10,0,14974,22,0.3125,1.0,0.3125,1.0,0.47619047619047616,,
"9",2,0,15003,1,0.6666666666666666,1.0,0.6666666666666666,1.0,0.8,,
"2",0,0,14282,724,0.0,,0.0,1.0,,,
"3",0,0,14698,308,0.0,,0.0,1.0,,,
"4",0,0,14950,56,0.0,,0.0,1.0,,,
"6",0,0,14984,22,0.0,,0.0,1.0,,,
"7",0,0,15003,3,0.0,,0.0,1.0,,,
"8",0,0,15003,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.7388377982140477,0.5032696888966433
"0",7172,2563,4947,324,0.9567769477054429,0.7367231638418079,0.9567769477054429,0.6587217043941411,0.8324531367883465,,
"1",4285,977,7670,2074,0.6738480893222205,0.814329152413531,0.6738480893222205,0.8870128368220191,0.7374580500817486,,
"5",6,0,14974,26,0.1875,1.0,0.1875,1.0,0.3157894736842105,,
"9",3,0,15003,0,1.0,1.0,1.0,1.0,1.0,,
"2",0,0,14282,724,0.0,,0.0,1.0,,,
"3",0,0,14698,308,0.0,,0.0,1.0,,,
"4",0,0,14950,56,0.0,,0.0,1.0,,,
"6",0,0,14984,22,0.0,,0.0,1.0,,,
"7",0,0,15003,3,0.0,,0.0,1.0,,,
"8",0,0,15003,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.764094362255098,0.5526452235966692
"0",7227,2249,5261,269,0.9641141942369263,0.7626635711270578,0.9641141942369263,0.7005326231691078,0.8516379919868019,,
"1",4569,948,7699,1790,0.7185091995596792,0.8281674823273518,0.7185091995596792,0.8903666011333411,0.7694509936005389,,
"5",10,0,14974,22,0.3125,1.0,0.3125,1.0,0.47619047619047616,,
"9",3,0,15003,0,1.0,1.0,1.0,1.0,1.0,,
"2",0,0,14282,724,0.0,,0.0,1.0,,,
"3",0,0,14698,308,0.0,,0.0,1.0,,,
"4",0,0,14950,56,0.0,,0.0,1.0,,,
"6",0,0,14984,22,0.0,,0.0,1.0,,,
"7",0,0,15003,3,0.0,,0.0,1.0,,,
"8",0,0,15003,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.7869518859123017,0.5970757252206291
